R_DATE,TPERIOD,STATION,CTGRY,RIDERS
3/29/20,4PM-7PM,"145 St (A,B,C,D)",STUDENT,1
3/29/20,6AM-9AM,"145 St (A,B,C,D)",COLLEGE,1
3/29/20,7PM-12AM,"145 St (A,B,C,D)",COLLEGE,4
3/29/20,9AM-4PM,"145 St (A,B,C,D)",COLLEGE,4
3/29/20,9AM-4PM,"145 St (A,B,C,D)",STUDENT,2
3/29/20,12AM-6AM,"149 St-Grand Concourse (2,4,5)",COLLEGE,2
3/29/20,4PM-7PM,"149 St-Grand Concourse (2,4,5)",COLLEGE,1
3/29/20,6AM-9AM,"149 St-Grand Concourse (2,4,5)",COLLEGE,7
3/29/20,7PM-12AM,"149 St-Grand Concourse (2,4,5)",COLLEGE,2
3/29/20,7PM-12AM,"149 St-Grand Concourse (2,4,5)",STUDENT,2
3/29/20,9AM-4PM,"149 St-Grand Concourse (2,4,5)",COLLEGE,2
3/29/20,9AM-4PM,"149 St-Grand Concourse (2,4,5)",STUDENT,1
3/29/20,6AM-9AM,"15 St-Prospect Park (F,G)",COLLEGE,1
3/29/20,12AM-6AM,"155 St (B,D)",COLLEGE,1
3/29/20,4PM-7PM,"155 St (B,D)",COLLEGE,1
3/29/20,4PM-7PM,"155 St (B,D)",STUDENT,1
3/29/20,6AM-9AM,"155 St (B,D)",COLLEGE,3
3/29/20,7PM-12AM,"155 St (B,D)",COLLEGE,4
3/29/20,7PM-12AM,"155 St (B,D)",STUDENT,1
3/29/20,9AM-4PM,"155 St (B,D)",COLLEGE,1
3/29/20,6AM-9AM,155 St (C),COLLEGE,1
3/29/20,4PM-7PM,157 St (1),COLLEGE,2
3/29/20,6AM-9AM,157 St (1),COLLEGE,1
3/29/20,7PM-12AM,157 St (1),COLLEGE,1
3/29/20,9AM-4PM,157 St (1),COLLEGE,3
3/29/20,12AM-6AM,"161 St-Yankee Stadium (B,D,4)",COLLEGE,1
3/29/20,4PM-7PM,"161 St-Yankee Stadium (B,D,4)",COLLEGE,4
3/29/20,6AM-9AM,"161 St-Yankee Stadium (B,D,4)",COLLEGE,5
3/29/20,7PM-12AM,"161 St-Yankee Stadium (B,D,4)",COLLEGE,6
3/29/20,9AM-4PM,"161 St-Yankee Stadium (B,D,4)",COLLEGE,11
3/29/20,9AM-4PM,"161 St-Yankee Stadium (B,D,4)",STUDENT,1
3/29/20,9AM-4PM,163 St-Amsterdam Av (C),COLLEGE,1
3/29/20,12AM-6AM,167 St (4),COLLEGE,1
3/29/20,4PM-7PM,167 St (4),COLLEGE,1
3/29/20,6AM-9AM,167 St (4),COLLEGE,3
3/29/20,7PM-12AM,167 St (4),COLLEGE,1
3/29/20,9AM-4PM,167 St (4),COLLEGE,7
3/29/20,9AM-4PM,167 St (4),STUDENT,1
3/29/20,12AM-6AM,"167 St (B,D)",COLLEGE,3
3/29/20,4PM-7PM,"167 St (B,D)",COLLEGE,1
3/29/20,4PM-7PM,"167 St (B,D)",STUDENT,1
3/29/20,6AM-9AM,"167 St (B,D)",COLLEGE,4
3/29/20,9AM-4PM,"167 St (B,D)",COLLEGE,9
3/29/20,6AM-9AM,"168 St (A,C,1)",COLLEGE,1
3/29/20,7PM-12AM,"168 St (A,C,1)",COLLEGE,1
3/29/20,9AM-4PM,"168 St (A,C,1)",COLLEGE,2
3/29/20,9AM-4PM,169 St (F),COLLEGE,2
3/29/20,12AM-6AM,170 St (4),COLLEGE,1
3/29/20,4PM-7PM,170 St (4),COLLEGE,3
3/29/20,6AM-9AM,170 St (4),COLLEGE,2
3/29/20,7PM-12AM,170 St (4),COLLEGE,1
3/29/20,9AM-4PM,170 St (4),COLLEGE,14
3/29/20,12AM-6AM,"170 St (B,D)",COLLEGE,2
3/29/20,4PM-7PM,"170 St (B,D)",COLLEGE,1
3/29/20,6AM-9AM,"170 St (B,D)",COLLEGE,2
3/29/20,7PM-12AM,"170 St (B,D)",COLLEGE,1
3/29/20,9AM-4PM,"170 St (B,D)",COLLEGE,3
3/29/20,6AM-9AM,"174 St (2,5)",COLLEGE,2
3/29/20,9AM-4PM,"174 St (2,5)",COLLEGE,5
3/29/20,9AM-4PM,"174 St (2,5)",STUDENT,1
3/29/20,12AM-6AM,"174-175 Sts (B,D)",COLLEGE,1
3/29/20,7PM-12AM,"174-175 Sts (B,D)",COLLEGE,1
3/29/20,9AM-4PM,"174-175 Sts (B,D)",COLLEGE,4
3/29/20,4PM-7PM,175 St (A),COLLEGE,3
3/29/20,7PM-12AM,175 St (A),COLLEGE,1
3/29/20,9AM-4PM,175 St (A),COLLEGE,1
3/29/20,9AM-4PM,175 St (A),STUDENT,1
3/29/20,4PM-7PM,176 St (4),COLLEGE,3
3/29/20,6AM-9AM,176 St (4),COLLEGE,3
3/29/20,7PM-12AM,176 St (4),COLLEGE,2
3/29/20,9AM-4PM,176 St (4),COLLEGE,7
3/29/20,4PM-7PM,18 Av (D),COLLEGE,1
3/29/20,9AM-4PM,18 Av (D),COLLEGE,1
3/29/20,7PM-12AM,18 Av (F),COLLEGE,1
3/29/20,7PM-12AM,18 Av (F),STUDENT,2
3/29/20,9AM-4PM,18 Av (F),COLLEGE,1
3/29/20,9AM-4PM,18 Av (F),STUDENT,1
3/29/20,7PM-12AM,18 St (1),STUDENT,1
3/29/20,12AM-6AM,181 St (1),COLLEGE,1
3/29/20,4PM-7PM,181 St (1),COLLEGE,1
3/29/20,7PM-12AM,181 St (1),COLLEGE,1
3/29/20,9AM-4PM,181 St (1),COLLEGE,8
3/29/20,4PM-7PM,181 St (A),COLLEGE,1
3/29/20,6AM-9AM,181 St (A),COLLEGE,1
3/29/20,7PM-12AM,181 St (A),COLLEGE,1
3/29/20,9AM-4PM,181 St (A),COLLEGE,1
3/29/20,7PM-12AM,"182-183 Sts (B,D)",COLLEGE,1
3/29/20,9AM-4PM,"182-183 Sts (B,D)",COLLEGE,6
3/29/20,4PM-7PM,183 St (4),COLLEGE,2
3/29/20,6AM-9AM,183 St (4),COLLEGE,1
3/29/20,7PM-12AM,183 St (4),COLLEGE,3
3/29/20,7PM-12AM,183 St (4),STUDENT,1
3/29/20,9AM-4PM,183 St (4),COLLEGE,6
3/29/20,9AM-4PM,191 St (1),COLLEGE,1
3/29/20,4PM-7PM,2 Av (F),COLLEGE,1
3/29/20,6AM-9AM,2 Av (F),COLLEGE,1
3/29/20,7PM-12AM,2 Av (F),COLLEGE,2
3/29/20,9AM-4PM,2 Av (F),COLLEGE,1
3/29/20,7PM-12AM,20 Av (D),COLLEGE,1
3/29/20,12AM-6AM,207 St (1),COLLEGE,1
3/29/20,7PM-12AM,207 St (1),COLLEGE,3
3/29/20,9AM-4PM,207 St (1),COLLEGE,2
3/29/20,9AM-4PM,207 St (1),STUDENT,1
3/29/20,4PM-7PM,21 St-Queensbridge (F),COLLEGE,1
3/29/20,7PM-12AM,21 St-Queensbridge (F),COLLEGE,1
3/29/20,9AM-4PM,21 St-Queensbridge (F),COLLEGE,1
3/29/20,4PM-7PM,215 St (1),COLLEGE,1
3/29/20,12AM-6AM,"219 St (2,5)",COLLEGE,1
3/29/20,4PM-7PM,"219 St (2,5)",COLLEGE,3
3/29/20,6AM-9AM,"219 St (2,5)",COLLEGE,2
3/29/20,9AM-4PM,"219 St (2,5)",COLLEGE,1
3/29/20,4PM-7PM,"225 St (2,5)",COLLEGE,1
3/29/20,9AM-4PM,"225 St (2,5)",COLLEGE,3
3/29/20,4PM-7PM,23 St (1),COLLEGE,1
3/29/20,9AM-4PM,23 St (1),COLLEGE,1
3/29/20,4PM-7PM,23 St (6),COLLEGE,1
3/29/20,7PM-12AM,23 St (6),COLLEGE,4
3/29/20,9AM-4PM,23 St (6),COLLEGE,1
3/29/20,7PM-12AM,"23 St (C,E)",COLLEGE,3
3/29/20,9AM-4PM,"23 St (C,E)",COLLEGE,1
3/29/20,7PM-12AM,"23 St (F,M)",COLLEGE,4
3/29/20,9AM-4PM,"23 St (F,M)",COLLEGE,1
3/29/20,4PM-7PM,231 St (1),COLLEGE,2
3/29/20,6AM-9AM,231 St (1),COLLEGE,1
3/29/20,9AM-4PM,231 St (1),COLLEGE,2
3/29/20,12AM-6AM,"233 St (2,5)",COLLEGE,1
3/29/20,4PM-7PM,"233 St (2,5)",COLLEGE,1
3/29/20,6AM-9AM,"233 St (2,5)",COLLEGE,1
3/29/20,7PM-12AM,"233 St (2,5)",COLLEGE,2
3/29/20,9AM-4PM,"233 St (2,5)",COLLEGE,1
3/29/20,4PM-7PM,238 St (1),COLLEGE,2
3/29/20,9AM-4PM,238 St (1),COLLEGE,2
3/29/20,12AM-6AM,25 Av (D),COLLEGE,1
3/29/20,9AM-4PM,25 Av (D),COLLEGE,1
3/29/20,9AM-4PM,25 St (R),COLLEGE,3
3/29/20,4PM-7PM,28 St (6),COLLEGE,1
3/29/20,7PM-12AM,"28 St (R,W)",COLLEGE,1
3/29/20,4PM-7PM,3 Av (L),COLLEGE,1
3/29/20,12AM-6AM,3 Av-138 St (6),COLLEGE,1
3/29/20,7PM-12AM,3 Av-138 St (6),COLLEGE,2
3/29/20,9AM-4PM,3 Av-138 St (6),COLLEGE,6
3/29/20,9AM-4PM,3 Av-138 St (6),STUDENT,1
3/29/20,4PM-7PM,"3 Av-149 St (2,5)",COLLEGE,2
3/29/20,6AM-9AM,"3 Av-149 St (2,5)",COLLEGE,2
3/29/20,7PM-12AM,"3 Av-149 St (2,5)",COLLEGE,4
3/29/20,9AM-4PM,"3 Av-149 St (2,5)",COLLEGE,9
3/29/20,9AM-4PM,"3 Av-149 St (2,5)",STUDENT,1
3/29/20,4PM-7PM,"30 Av (N,W)",STUDENT,1
3/29/20,6AM-9AM,"30 Av (N,W)",COLLEGE,1
3/29/20,7PM-12AM,"30 Av (N,W)",COLLEGE,2
3/29/20,9AM-4PM,"30 Av (N,W)",COLLEGE,1
3/29/20,12AM-6AM,33 St (6),COLLEGE,1
3/29/20,7PM-12AM,33 St (6),COLLEGE,2
3/29/20,9AM-4PM,33 St (6),COLLEGE,3
3/29/20,6AM-9AM,33 St-Rawson St (7),COLLEGE,1
3/29/20,4PM-7PM,"34 St-Herald Sq (B,D,F,M,N,Q,R,W)",COLLEGE,5
3/29/20,6AM-9AM,"34 St-Herald Sq (B,D,F,M,N,Q,R,W)",COLLEGE,4
3/29/20,7PM-12AM,"34 St-Herald Sq (B,D,F,M,N,Q,R,W)",COLLEGE,15
3/29/20,9AM-4PM,"34 St-Herald Sq (B,D,F,M,N,Q,R,W)",COLLEGE,5
3/29/20,12AM-6AM,34 St-Hudson Yards (7),COLLEGE,1
3/29/20,6AM-9AM,34 St-Hudson Yards (7),COLLEGE,1
3/29/20,7PM-12AM,34 St-Hudson Yards (7),COLLEGE,3
3/29/20,12AM-6AM,"34 St-Penn Station (1,2,3)",COLLEGE,1
3/29/20,4PM-7PM,"34 St-Penn Station (1,2,3)",COLLEGE,3
3/29/20,6AM-9AM,"34 St-Penn Station (1,2,3)",COLLEGE,2
3/29/20,7PM-12AM,"34 St-Penn Station (1,2,3)",COLLEGE,5
3/29/20,9AM-4PM,"34 St-Penn Station (1,2,3)",COLLEGE,5
3/29/20,4PM-7PM,"34 St-Penn Station (A,C,E)",COLLEGE,1
3/29/20,6AM-9AM,"34 St-Penn Station (A,C,E)",COLLEGE,1
3/29/20,7PM-12AM,"34 St-Penn Station (A,C,E)",COLLEGE,3
3/29/20,9AM-4PM,"34 St-Penn Station (A,C,E)",COLLEGE,4
3/29/20,9AM-4PM,"34 St-Penn Station (A,C,E)",STUDENT,1
3/29/20,9AM-4PM,"36 Av (N,W)",COLLEGE,1
3/29/20,4PM-7PM,"36 St (D,N,R)",COLLEGE,2
3/29/20,6AM-9AM,"36 St (D,N,R)",COLLEGE,1
3/29/20,7PM-12AM,"36 St (D,N,R)",COLLEGE,2
3/29/20,9AM-4PM,"36 St (D,N,R)",COLLEGE,2
3/29/20,9AM-4PM,"36 St (M,R)",COLLEGE,1
3/29/20,12AM-6AM,"4 Av (F,G)/9 St (R)",COLLEGE,1
3/29/20,4PM-7PM,"4 Av (F,G)/9 St (R)",STUDENT,1
3/29/20,6AM-9AM,"4 Av (F,G)/9 St (R)",COLLEGE,3
3/29/20,9AM-4PM,"4 Av (F,G)/9 St (R)",COLLEGE,2
3/29/20,4PM-7PM,40 St-Lowery St (7),COLLEGE,1
3/29/20,4PM-7PM,45 St (R),COLLEGE,2
3/29/20,6AM-9AM,45 St (R),COLLEGE,1
3/29/20,7PM-12AM,45 St (R),STUDENT,1
3/29/20,9AM-4PM,45 St (R),COLLEGE,2
3/29/20,9AM-4PM,"46 St (M,R)",COLLEGE,2
3/29/20,6AM-9AM,46 St-Bliss St (7),COLLEGE,1
3/29/20,9AM-4PM,46 St-Bliss St (7),COLLEGE,2
3/29/20,4PM-7PM,"47-50 Sts-Rockefeller Center (B,D,F,M)",COLLEGE,1
3/29/20,6AM-9AM,"47-50 Sts-Rockefeller Center (B,D,F,M)",COLLEGE,1
3/29/20,4PM-7PM,"49 St (N,R,W)",STUDENT,1
3/29/20,6AM-9AM,"49 St (N,R,W)",COLLEGE,2
3/29/20,9AM-4PM,"49 St (N,R,W)",COLLEGE,1
3/29/20,6AM-9AM,50 St (1),COLLEGE,1
3/29/20,9AM-4PM,50 St (1),COLLEGE,1
3/29/20,7PM-12AM,"50 St (C,E)",COLLEGE,1
3/29/20,4PM-7PM,50 St (D),COLLEGE,1
3/29/20,6AM-9AM,50 St (D),COLLEGE,1
3/29/20,9AM-4PM,50 St (D),COLLEGE,1
3/29/20,12AM-6AM,53 St (R),COLLEGE,2
3/29/20,4PM-7PM,53 St (R),COLLEGE,1
3/29/20,6AM-9AM,53 St (R),COLLEGE,4
3/29/20,7PM-12AM,53 St (R),COLLEGE,2
3/29/20,9AM-4PM,53 St (R),COLLEGE,5
3/29/20,9AM-4PM,53 St (R),STUDENT,1
3/29/20,4PM-7PM,55 St (D),COLLEGE,1
3/29/20,7PM-12AM,55 St (D),COLLEGE,1
3/29/20,9AM-4PM,55 St (D),STUDENT,3
3/29/20,12AM-6AM,57 St (F),COLLEGE,1
3/29/20,7PM-12AM,57 St (F),COLLEGE,2
3/29/20,9AM-4PM,57 St (F),COLLEGE,1
3/29/20,12AM-6AM,"57 St-7 Av (N,Q,R,W)",COLLEGE,1
3/29/20,6AM-9AM,"57 St-7 Av (N,Q,R,W)",COLLEGE,1
3/29/20,7PM-12AM,"57 St-7 Av (N,Q,R,W)",COLLEGE,5
3/29/20,9AM-4PM,"57 St-7 Av (N,Q,R,W)",COLLEGE,4
3/29/20,4PM-7PM,"59 St (N,R)",STUDENT,1
3/29/20,7PM-12AM,"59 St (N,R)",COLLEGE,1
3/29/20,12AM-6AM,"59 St-Columbus Circle (A,B,C,D,1)",COLLEGE,1
3/29/20,4PM-7PM,"59 St-Columbus Circle (A,B,C,D,1)",COLLEGE,4
3/29/20,6AM-9AM,"59 St-Columbus Circle (A,B,C,D,1)",COLLEGE,2
3/29/20,7PM-12AM,"59 St-Columbus Circle (A,B,C,D,1)",COLLEGE,9
3/29/20,7PM-12AM,"59 St-Columbus Circle (A,B,C,D,1)",STUDENT,1
3/29/20,9AM-4PM,"59 St-Columbus Circle (A,B,C,D,1)",COLLEGE,5
3/29/20,12AM-6AM,"63 Dr-Rego Park (M,R)",COLLEGE,1
3/29/20,4PM-7PM,"63 Dr-Rego Park (M,R)",COLLEGE,1
3/29/20,9AM-4PM,"63 Dr-Rego Park (M,R)",COLLEGE,1
3/29/20,9AM-4PM,"63 Dr-Rego Park (M,R)",STUDENT,1
3/29/20,7PM-12AM,66 St-Lincoln Center (1),COLLEGE,1
3/29/20,6AM-9AM,"67 Av (M,R)",COLLEGE,1
3/29/20,7PM-12AM,"67 Av (M,R)",COLLEGE,1
3/29/20,12AM-6AM,68 St-Hunter College (6),COLLEGE,1
3/29/20,4PM-7PM,68 St-Hunter College (6),COLLEGE,2
3/29/20,6AM-9AM,68 St-Hunter College (6),COLLEGE,2
3/29/20,7PM-12AM,68 St-Hunter College (6),COLLEGE,3
3/29/20,7PM-12AM,68 St-Hunter College (6),STUDENT,1
3/29/20,7PM-12AM,"7 Av (B,D,E)",COLLEGE,1
3/29/20,9AM-4PM,"7 Av (B,D,E)",COLLEGE,2
3/29/20,7PM-12AM,"7 Av (B,Q)",COLLEGE,1
3/29/20,7PM-12AM,71 St (D),COLLEGE,1
3/29/20,9AM-4PM,71 St (D),COLLEGE,1
3/29/20,12AM-6AM,"72 St (1,2,3)",COLLEGE,1
3/29/20,4PM-7PM,"72 St (1,2,3)",COLLEGE,3
3/29/20,7PM-12AM,"72 St (1,2,3)",COLLEGE,2
3/29/20,9AM-4PM,"72 St (1,2,3)",COLLEGE,1
3/29/20,9AM-4PM,"72 St (B,C)",COLLEGE,1
3/29/20,4PM-7PM,72 St (Q),COLLEGE,3
3/29/20,9AM-4PM,72 St (Q),COLLEGE,1
3/29/20,12AM-6AM,"74-Broadway (7)/Jackson Hts-Roosevelt Av (E,F,M,R)",COLLEGE,1
3/29/20,4PM-7PM,"74-Broadway (7)/Jackson Hts-Roosevelt Av (E,F,M,R)",COLLEGE,2
3/29/20,6AM-9AM,"74-Broadway (7)/Jackson Hts-Roosevelt Av (E,F,M,R)",COLLEGE,3
3/29/20,7PM-12AM,"74-Broadway (7)/Jackson Hts-Roosevelt Av (E,F,M,R)",COLLEGE,8
3/29/20,9AM-4PM,"74-Broadway (7)/Jackson Hts-Roosevelt Av (E,F,M,R)",COLLEGE,4
3/29/20,7PM-12AM,"75 Av (E,F)",COLLEGE,1
3/29/20,9AM-4PM,"75 Av (E,F)",COLLEGE,1
3/29/20,12AM-6AM,"75 St-Elderts Ln (J,Z)",COLLEGE,1
3/29/20,6AM-9AM,"75 St-Elderts Ln (J,Z)",COLLEGE,1
3/29/20,9AM-4PM,"75 St-Elderts Ln (J,Z)",COLLEGE,1
3/29/20,4PM-7PM,77 St (6),COLLEGE,1
3/29/20,6AM-9AM,77 St (6),COLLEGE,2
3/29/20,7PM-12AM,77 St (6),COLLEGE,4
3/29/20,7PM-12AM,77 St (R),STUDENT,1
3/29/20,9AM-4PM,77 St (R),COLLEGE,1
3/29/20,6AM-9AM,79 St (D),COLLEGE,1
3/29/20,9AM-4PM,79 St (D),COLLEGE,1
3/29/20,9AM-4PM,79 St (D),STUDENT,1
3/29/20,9AM-4PM,8 Av (N),COLLEGE,1
3/29/20,12AM-6AM,"8 St-New York University (R,W)",COLLEGE,1
3/29/20,4PM-7PM,80 St (A),COLLEGE,2
3/29/20,7PM-12AM,"81 St-Museum of Natural History (B,C)",COLLEGE,1
3/29/20,4PM-7PM,82 St-Jackson Hts (7),COLLEGE,1
3/29/20,9AM-4PM,82 St-Jackson Hts (7),COLLEGE,6
3/29/20,6AM-9AM,85 St-Forest Pkwy (J),COLLEGE,1
3/29/20,7PM-12AM,85 St-Forest Pkwy (J),COLLEGE,1
3/29/20,6AM-9AM,86 St (Q),COLLEGE,1
3/29/20,7PM-12AM,86 St (Q),COLLEGE,2
3/29/20,9AM-4PM,86 St (Q),STUDENT,1
3/29/20,12AM-6AM,86 St. (1),COLLEGE,1
3/29/20,4PM-7PM,86 St. (1),COLLEGE,2
3/29/20,6AM-9AM,86 St. (1),COLLEGE,1
3/29/20,7PM-12AM,86 St. (1),COLLEGE,2
3/29/20,12AM-6AM,"86 St. (4,5,6)",COLLEGE,1
3/29/20,4PM-7PM,"86 St. (4,5,6)",COLLEGE,5
3/29/20,6AM-9AM,"86 St. (4,5,6)",COLLEGE,2
3/29/20,7PM-12AM,"86 St. (4,5,6)",COLLEGE,7
3/29/20,9AM-4PM,"86 St. (4,5,6)",COLLEGE,11
3/29/20,4PM-7PM,"86 St. (B,C)",COLLEGE,2
3/29/20,7PM-12AM,"86 St. (B,C)",COLLEGE,1
3/29/20,9AM-4PM,"86 St. (B,C)",COLLEGE,1
3/29/20,9AM-4PM,86 St. (N),COLLEGE,1
3/29/20,4PM-7PM,86 St. (R),COLLEGE,2
3/29/20,7PM-12AM,86 St. (R),COLLEGE,2
3/29/20,9AM-4PM,86 St. (R),COLLEGE,2
3/29/20,4PM-7PM,88 St (A),STUDENT,1
3/29/20,4PM-7PM,9 Av (D),COLLEGE,2
3/29/20,9AM-4PM,9 Av (D),COLLEGE,1
3/29/20,4PM-7PM,90 St-Elmhurst Av (7),COLLEGE,1
3/29/20,4PM-7PM,90 St-Elmhurst Av (7),STUDENT,1
3/29/20,6AM-9AM,90 St-Elmhurst Av (7),COLLEGE,2
3/29/20,7PM-12AM,90 St-Elmhurst Av (7),COLLEGE,1
3/29/20,9AM-4PM,90 St-Elmhurst Av (7),COLLEGE,1
3/29/20,4PM-7PM,"96 St (1,2,3)",COLLEGE,4
3/29/20,6AM-9AM,"96 St (1,2,3)",COLLEGE,1
3/29/20,7PM-12AM,"96 St (1,2,3)",COLLEGE,4
3/29/20,9AM-4PM,"96 St (1,2,3)",COLLEGE,7
3/29/20,4PM-7PM,96 St (6),COLLEGE,1
3/29/20,6AM-9AM,96 St (6),COLLEGE,1
3/29/20,7PM-12AM,96 St (6),COLLEGE,3
3/29/20,4PM-7PM,"96 St (B,C)",COLLEGE,1
3/29/20,7PM-12AM,"96 St (B,C)",COLLEGE,2
3/29/20,9AM-4PM,"96 St (B,C)",COLLEGE,3
3/29/20,4PM-7PM,96 St (Q),COLLEGE,1
3/29/20,6AM-9AM,96 St (Q),COLLEGE,1
3/29/20,7PM-12AM,96 St (Q),COLLEGE,2
3/29/20,9AM-4PM,96 St (Q),COLLEGE,1
3/29/20,7PM-12AM,Alabama Av (J),COLLEGE,1
3/29/20,9AM-4PM,Alabama Av (J),COLLEGE,1
3/29/20,4PM-7PM,"Allerton Av (2,5)",COLLEGE,1
3/29/20,6AM-9AM,"Allerton Av (2,5)",COLLEGE,1
3/29/20,7PM-12AM,"Allerton Av (2,5)",COLLEGE,4
3/29/20,9AM-4PM,"Allerton Av (2,5)",COLLEGE,2
3/29/20,4PM-7PM,Astor Place (6),STUDENT,1
3/29/20,7PM-12AM,Astor Place (6),COLLEGE,3
3/29/20,9AM-4PM,Astor Place (6),STUDENT,1
