TPERIOD,STATION,COLLEGE,STUDENT
12AM-6AM,1 Av,0.8571428571428571,0.5714285714285714
12AM-6AM,103 St,1.8571428571428572,5.0
12AM-6AM,103 St - Corona Plaza,1.2857142857142858,10.285714285714286
12AM-6AM,104 St,0.2857142857142857,3.142857142857143
12AM-6AM,110 St,0.7142857142857143,0.8571428571428571
12AM-6AM,111 St,2.5714285714285716,6.428571428571429
12AM-6AM,116 St,3.142857142857143,7.0
12AM-6AM,116 St - Columbia University,0.14285714285714285,0.7142857142857143
12AM-6AM,121 St,0.8571428571428571,2.5714285714285716
12AM-6AM,125 St,9.428571428571429,10.142857142857142
12AM-6AM,135 St,0.7142857142857143,3.142857142857143
12AM-6AM,137 St - City College,0.5714285714285714,0.5714285714285714
12AM-6AM,138 St - Grand Concourse,0.2857142857142857,0.2857142857142857
12AM-6AM,14 St,9.285714285714286,0.14285714285714285
12AM-6AM,14 St - Union Sq,6.714285714285714,2.2857142857142856
12AM-6AM,145 St,3.0,6.571428571428571
12AM-6AM,149 St - Grand Concourse,2.857142857142857,1.7142857142857142
12AM-6AM,15 St - Prospect Park,0.0,0.14285714285714285
12AM-6AM,155 St,3.0,2.5714285714285716
12AM-6AM,157 St,0.5714285714285714,0.42857142857142855
12AM-6AM,161 St - Yankee Stadium,5.142857142857143,7.285714285714286
12AM-6AM,163 St - Amsterdam Av,0.8571428571428571,1.1428571428571428
12AM-6AM,167 St,5.428571428571429,12.857142857142858
12AM-6AM,168 St,1.2857142857142858,1.5714285714285714
12AM-6AM,169 St,1.7142857142857142,2.5714285714285716
12AM-6AM,170 St,3.4285714285714284,9.142857142857142
12AM-6AM,174 St,1.0,5.428571428571429
12AM-6AM,174-175 Sts,0.8571428571428571,1.1428571428571428
12AM-6AM,175 St,1.7142857142857142,3.0
12AM-6AM,176 St,1.1428571428571428,3.4285714285714284
12AM-6AM,18 Av,0.2857142857142857,5.0
12AM-6AM,18 St,0.2857142857142857,0.2857142857142857
12AM-6AM,181 St,1.1428571428571428,3.5714285714285716
12AM-6AM,182-183 Sts,1.5714285714285714,6.0
12AM-6AM,183 St,1.5714285714285714,6.857142857142857
12AM-6AM,190 St,0.14285714285714285,1.2857142857142858
12AM-6AM,191 St,0.2857142857142857,0.2857142857142857
12AM-6AM,2 Av,1.4285714285714286,0.7142857142857143
12AM-6AM,20 Av,0.7142857142857143,3.0
12AM-6AM,207 St,1.5714285714285714,0.42857142857142855
12AM-6AM,21 St,0.0,0.14285714285714285
12AM-6AM,21 St - Queensbridge,0.2857142857142857,3.142857142857143
12AM-6AM,215 St,0.2857142857142857,0.0
12AM-6AM,219 St,1.1428571428571428,2.0
12AM-6AM,225 St,0.2857142857142857,5.285714285714286
12AM-6AM,23 St,4.0,1.0
12AM-6AM,231 St,0.14285714285714285,2.857142857142857
12AM-6AM,233 St,1.7142857142857142,6.857142857142857
12AM-6AM,238 St,0.42857142857142855,2.0
12AM-6AM,25 Av,0.42857142857142855,0.2857142857142857
12AM-6AM,25 St,0.0,1.7142857142857142
12AM-6AM,28 St,3.2857142857142856,0.8571428571428571
12AM-6AM,3 Av,0.42857142857142855,0.0
12AM-6AM,3 Av - 138 St,1.2857142857142858,3.4285714285714284
12AM-6AM,3 Av - 149 St,3.4285714285714284,8.0
12AM-6AM,30 Av,0.14285714285714285,2.2857142857142856
12AM-6AM,33 St,1.0,0.14285714285714285
12AM-6AM,33 St - Rawson St,0.14285714285714285,0.2857142857142857
12AM-6AM,34 St - Herald Sq,8.285714285714286,1.7142857142857142
12AM-6AM,34 St - Hudson Yds,0.8571428571428571,0.0
12AM-6AM,34 St - Penn Station,9.0,3.0
12AM-6AM,36 Av,0.0,0.7142857142857143
12AM-6AM,36 St,1.1428571428571428,2.142857142857143
12AM-6AM,40 St - Lowery St,0.14285714285714285,1.4285714285714286
12AM-6AM,45 St,0.0,3.4285714285714284
12AM-6AM,46 St,0.42857142857142855,1.8571428571428572
12AM-6AM,46 St - Bliss St,0.14285714285714285,0.8571428571428571
12AM-6AM,47-50 Sts - Rockefeller Ctr,6.428571428571429,1.0
12AM-6AM,49 St,0.5714285714285714,0.0
12AM-6AM,5 Av/53 St,0.14285714285714285,0.0
12AM-6AM,50 St,3.142857142857143,2.0
12AM-6AM,52 St,0.14285714285714285,0.8571428571428571
12AM-6AM,53 St,0.42857142857142855,2.5714285714285716
12AM-6AM,57 St,1.0,0.2857142857142857
12AM-6AM,57 St - 7 Av,0.8571428571428571,0.5714285714285714
12AM-6AM,59 St,1.1428571428571428,1.5714285714285714
12AM-6AM,59 St - Columbus Circle,5.0,0.7142857142857143
12AM-6AM,63 Dr - Rego Park,1.0,2.142857142857143
12AM-6AM,65 St,0.5714285714285714,0.8571428571428571
12AM-6AM,66 St - Lincoln Center,0.42857142857142855,0.7142857142857143
12AM-6AM,67 Av,0.14285714285714285,1.5714285714285714
12AM-6AM,68 St - Hunter College,0.8571428571428571,0.0
12AM-6AM,69 St,0.14285714285714285,1.2857142857142858
12AM-6AM,7 Av,2.857142857142857,0.42857142857142855
12AM-6AM,71 St,0.0,4.857142857142857
12AM-6AM,72 St,1.0,0.42857142857142855
12AM-6AM,75 Av,0.0,0.2857142857142857
12AM-6AM,75 St - Elder Ln,0.42857142857142855,2.2857142857142856
12AM-6AM,77 St,0.8571428571428571,1.0
12AM-6AM,79 St,0.14285714285714285,3.4285714285714284
12AM-6AM,8 Av,0.42857142857142855,0.5714285714285714
12AM-6AM,80 St,0.8571428571428571,2.857142857142857
