,Unnamed: 0,ISRM,tons_per_year_ROG,tons_per_year_NOx,tons_per_year_NH3,tons_per_year_SOx,tons_per_year_PM2_5,tons_per_year_CO2,Row_Count
Total,100.0,100.0,-1.5791792724077607,-1.4626731960949158,-1.6493392311032966,-1.6854056334773173,-1.3333700201076146,-1.6862370534572426,1781
SF,100.0,100.0,-2.6134380057215423,-2.8646840141740544,-6.126433660998528,-5.963788614629934,-4.198452687514571,-5.968317841836801,106
Cordon,100.0,100.0,-24.898693693256337,-16.448973763218845,-13.98881946090888,-16.28585197204191,-17.67553572736713,-16.15882436469173,20
Non-Cordon,100.0,100.0,-1.2082499291673396,-1.2275124374283934,-1.4929127944010028,-1.494986122359155,-1.07553161991099,-1.4973102741766102,1761
Neither-Cordon-nor-SF,100.0,100.0,-1.152890777129186,-1.1502367597699354,-1.290472104077245,-1.3039371613551711,-0.9085368221161887,-1.3054977433158292,1655
