,ISRM,tons_per_year_ROG,tons_per_year_NOx,tons_per_year_NH3,tons_per_year_SOx,tons_per_year_PM2_5,tons_per_year_CO2,geometry
0,843,-0.07463091986701254,-0.05072303762967867,-0.0014386936939494999,-0.00023575669230069957,-0.00039064626535449676,-22.583366297767043,"POLYGON ((-2256000 144000, -2256000 168000, -2232000 168000, -2232000 144000, -2256000 144000))"
1,909,0.013136127652191507,0.024617862000712004,0.004237169937334299,0.0004951755837993999,0.0006720313181016006,49.20644679420326,"POLYGON ((-2256000 -24000, -2256000 24000, -2208000 24000, -2208000 -24000, -2256000 -24000))"
2,910,-0.12689136288295044,-0.06708233382622808,-0.02219203975447115,-0.0023173108553286997,-0.0031582928922470888,-230.69095232774634,"POLYGON ((-2256000 24000, -2256000 72000, -2208000 72000, -2208000 24000, -2256000 24000))"
3,911,0.1964246006383199,-0.07783128432473774,-0.03305565710670333,-0.0035609974338003947,-0.0038953512936658052,-358.3323622728931,"POLYGON ((-2256000 72000, -2256000 120000, -2208000 120000, -2208000 72000, -2256000 72000))"
4,912,-0.12169535074325921,-0.0871257449307663,0.007160955803666269,0.0004343956927577164,0.0023862142833870337,43.74239737251992,"POLYGON ((-2256000 168000, -2256000 216000, -2208000 216000, -2208000 168000, -2256000 168000))"
5,947,-0.5998928303160653,-0.49297224303323617,-0.03353572133729532,-0.004407600023731306,-0.004433932630416804,-435.51867414437584,"POLYGON ((-2232000 120000, -2232000 144000, -2208000 144000, -2208000 120000, -2232000 120000))"
6,948,0.292008494814624,0.2752207875668127,0.056663575588183246,0.006474518555935338,0.013674536401208304,642.245065836476,"POLYGON ((-2232000 144000, -2232000 168000, -2208000 168000, -2208000 144000, -2232000 144000))"
7,953,-0.07300904640942901,-0.05126186932857113,-0.0016838079785974902,-0.00026183170992510017,-0.000408828889537801,-25.207532081612726,"POLYGON ((-2208000 36000, -2208000 40000, -2204000 40000, -2204000 36000, -2208000 36000))"
8,954,-0.06136496412526915,0.009687991249026862,-0.008493126939823598,-0.0008144699901243002,-0.001239507840875398,-81.1786629467565,"POLYGON ((-2208000 40000, -2208000 44000, -2204000 44000, -2204000 40000, -2208000 40000))"
9,955,0.0020660436259980486,-0.12713522935147026,-0.04679283453942196,-0.0047779243054819065,-0.0021259050543981917,-478.01788836853666,"POLYGON ((-2208000 44000, -2208000 48000, -2204000 48000, -2204000 44000, -2208000 44000))"
10,956,-0.0145517094930889,-0.005565763121746899,-2.66737496582e-05,-1.9585469776391327e-05,-6.388179281280001e-05,-1.799236663084919,"POLYGON ((-2208000 48000, -2208000 52000, -2204000 52000, -2204000 48000, -2208000 48000))"
11,963,-0.09950480260268146,-0.0822880464564354,-0.010687759942387687,-0.0014103274303891022,-0.0019420626082153024,-139.98280670709528,"POLYGON ((-2208000 76000, -2208000 80000, -2204000 80000, -2204000 76000, -2208000 76000))"
12,964,0.09222774874113898,0.04061631141453054,0.005099558165732994,0.0006884667801747993,0.001711430818309899,68.11919989106639,"POLYGON ((-2208000 80000, -2208000 84000, -2204000 84000, -2204000 80000, -2208000 80000))"
13,965,0.10018955600667123,0.10956412792282555,0.013832253519311902,0.0016727816285162997,0.004229243689459702,165.54430872283228,"POLYGON ((-2208000 84000, -2208000 88000, -2204000 88000, -2204000 84000, -2208000 84000))"
14,966,-0.0004542985973763,-0.003738658587167182,-0.00014361727921419903,-4.488754648800022e-05,-0.00012742733120259947,-4.531046482510419,"POLYGON ((-2208000 88000, -2208000 92000, -2204000 92000, -2204000 88000, -2208000 88000))"
15,967,-0.005985558164806504,-0.025479723582236158,-0.005773597561024579,-0.0005935475776970012,-0.00016428075307189927,-59.719863441076086,"POLYGON ((-2208000 92000, -2208000 96000, -2204000 96000, -2204000 92000, -2208000 92000))"
16,968,0.08038506338716767,0.07644314360656435,0.00804371726520639,0.0009415131847844999,0.0023901748598543007,93.45004853946148,"POLYGON ((-2208000 120000, -2208000 124000, -2204000 124000, -2204000 120000, -2208000 120000))"
17,969,0.012460246368567407,-0.006713824203893104,-0.0006419515646669954,-0.00013433051478120052,-0.00021995683369560072,-13.646317057086435,"POLYGON ((-2208000 124000, -2208000 128000, -2204000 128000, -2204000 124000, -2208000 124000))"
