Unnamed: 0,ISRM,tons_per_year_ROG,tons_per_year_NOx,tons_per_year_NH3,tons_per_year_SOx,tons_per_year_PM2_5,tons_per_year_CO2,geometry,cordon_flag,SF_flag
0,843,0.6750386438068607,1.112039332790208,0.194985334536327,0.0223253402895111,0.0347664621829725,2222.394946144781,"POLYGON ((-2256000 144000, -2256000 168000, -2232000 168000, -2232000 144000, -2256000 144000))",False,False
1,909,0.1031847997704362,0.1867829563330208,0.0471487881761906,0.0050282832146737,0.0072958094475433,501.5298256921092,"POLYGON ((-2256000 -24000, -2256000 24000, -2208000 24000, -2208000 -24000, -2256000 -24000))",False,False
2,910,4.405957623467804,4.848528173876147,0.8441997415231088,0.089437171627056,0.200854288826262,8905.867547374957,"POLYGON ((-2256000 24000, -2256000 72000, -2208000 72000, -2208000 24000, -2256000 24000))",False,False
3,911,11.6360370236494,13.6065786093254,2.475722152559485,0.2868675044201501,0.4715532368361226,28558.948080738915,"POLYGON ((-2256000 72000, -2256000 120000, -2208000 120000, -2208000 72000, -2256000 72000))",False,False
4,912,12.987332401753106,15.337095595073317,2.262592401543485,0.2695997510555485,0.4105792276907429,26812.09239515664,"POLYGON ((-2256000 168000, -2256000 216000, -2208000 216000, -2208000 168000, -2256000 168000))",False,False
5,947,28.8420286861532,26.793854145837827,3.647907960074825,0.4270973563216287,0.7568293414023588,42376.92307710884,"POLYGON ((-2232000 120000, -2232000 144000, -2208000 144000, -2208000 120000, -2232000 120000))",False,False
6,948,19.42050849586918,23.857589996380145,3.340219418333806,0.3881413821577191,0.6623896630414239,38604.85827865018,"POLYGON ((-2232000 144000, -2232000 168000, -2208000 168000, -2208000 144000, -2232000 144000))",False,False
7,953,0.3677533695537865,0.5177316535767023,0.1130474706991891,0.0115834058934923,0.0236368826854671,1153.144361171274,"POLYGON ((-2208000 36000, -2208000 40000, -2204000 40000, -2204000 36000, -2208000 36000))",False,False
8,954,2.159577183407239,1.5055311121051664,0.2109978529061804,0.0232167006726012,0.0560973555198256,2302.679157105743,"POLYGON ((-2208000 40000, -2208000 44000, -2204000 44000, -2204000 40000, -2208000 40000))",False,False
9,955,10.452046911871728,9.54907408483264,1.6831881948964014,0.1836524312519394,0.4368002666152448,18254.34398417411,"POLYGON ((-2208000 44000, -2208000 48000, -2204000 48000, -2204000 44000, -2208000 44000))",False,False
10,956,0.0056545781374864,0.0138815444354788,0.0004069406109812,5.5141502530161526e-05,0.0001525434519879,5.633450503399872,"POLYGON ((-2208000 48000, -2208000 52000, -2204000 52000, -2204000 48000, -2208000 48000))",False,False
11,963,0.4433843928177527,0.8802194576324686,0.1826464570922288,0.0215583137634608,0.0268078031082387,2149.156270382533,"POLYGON ((-2208000 76000, -2208000 80000, -2204000 80000, -2204000 76000, -2208000 76000))",False,False
12,964,0.2930831084889906,0.3391359187952034,0.0581783196339443,0.0069004465287664,0.012939885990215,687.0178927715589,"POLYGON ((-2208000 80000, -2208000 84000, -2204000 84000, -2204000 80000, -2208000 80000))",False,False
13,965,0.870109495175457,0.8072046049882237,0.1393996753841551,0.0171928926308115,0.0421734012075815,1707.6611970953124,"POLYGON ((-2208000 84000, -2208000 88000, -2204000 88000, -2204000 84000, -2208000 84000))",False,False
14,966,0.0530465235224722,0.1983117306938091,0.0351030693966663,0.004041059114812,0.0062656611888766,404.79895572484617,"POLYGON ((-2208000 88000, -2208000 92000, -2204000 92000, -2204000 88000, -2208000 88000))",False,False
15,967,1.6721692424935255,2.490301997709073,0.4231466643992219,0.0492356692934051,0.0710821799751817,4913.072576834149,"POLYGON ((-2208000 92000, -2208000 96000, -2204000 96000, -2204000 92000, -2208000 92000))",False,False
16,968,0.8852567926384619,0.8364673878262572,0.1184376773509218,0.0137906421787071,0.0272068827092441,1368.228477810322,"POLYGON ((-2208000 120000, -2208000 124000, -2204000 124000, -2204000 120000, -2208000 120000))",False,False
17,969,0.2816543562783413,0.6163489277069765,0.1104904174827557,0.013249637107388,0.0164539647890818,1320.7027220370478,"POLYGON ((-2208000 124000, -2208000 128000, -2204000 128000, -2204000 124000, -2208000 124000))",False,False
18,970,1.8849461644326733,2.41086438144461,0.3826419475021476,0.0445788332926239,0.0696777436283677,4433.968512676303,"POLYGON ((-2208000 128000, -2208000 132000, -2204000 132000, -2204000 128000, -2208000 128000))",False,False
19,971,5.857638558676804,5.618036695183706,0.7428036593709698,0.0857740839591549,0.1505044347201328,8505.511083951975,"POLYGON ((-2208000 132000, -2208000 136000, -2204000 136000, -2204000 132000, -2208000 132000))",False,False
20,972,8.659953679905643,9.061987844697883,1.2381429226875065,0.1429215829003517,0.2961833417501157,14176.262532360064,"POLYGON ((-2208000 136000, -2208000 140000, -2204000 140000, -2204000 136000, -2208000 136000))",False,False
21,973,1.8586808757242583,1.4195982117978434,0.1561544147842653,0.0188334695542689,0.0383843035250634,1862.405719916421,"POLYGON ((-2208000 140000, -2208000 144000, -2204000 144000, -2204000 140000, -2208000 140000))",False,False
22,974,3.598263166223705,5.239786225003904,0.8555074719980831,0.0994096441351897,0.151142342647884,9886.575540852507,"POLYGON ((-2208000 144000, -2208000 148000, -2204000 148000, -2204000 144000, -2208000 144000))",False,False
23,975,3.6781530144940175,3.431014974619853,0.4098560579982899,0.0482665850852899,0.0910088316673647,4777.729680619406,"POLYGON ((-2208000 148000, -2208000 152000, -2204000 152000, -2204000 148000, -2208000 148000))",False,False
24,976,1.4832133146049566,1.129339279047549,0.143054547688779,0.0160093817557807,0.0341591152360329,1584.2586767371774,"POLYGON ((-2208000 152000, -2208000 156000, -2204000 156000, -2204000 152000, -2208000 152000))",False,False
25,977,1.7949866032875856,1.8450219903684093,0.2987173066209598,0.0341664347145505,0.052919222241208,3400.0983726179606,"POLYGON ((-2204000 50000, -2204000 51000, -2203000 51000, -2203000 50000, -2204000 50000))",False,False
