,ISRM,SOA,pNO3,pNH4,pSO4,PrimaryPM25,TotalPM25,deathsK,deathsL,Row_Count
Total,1373430255.0,-3.073961079893536,-2.153107893236567,-3.8298901584949525,-0.07679616076239104,-1.6782466101945817,-10.812001879030655,-1.8052326153769065,-4.0814408962160975,52411
SF,147776.0,-0.31677640245399996,-0.18194998915200003,-0.8706746172059999,-0.005424763200499999,-0.311843039469,-1.686668812235,-0.4044475044618974,-0.9093478021039828,124
Cordon,27671.0,-0.2581691903,-0.1255371512,-0.35108432949999996,-0.002184861959,-0.17867339529999998,-0.9156489269999999,-0.346439393501764,-0.7788805399380987,20
Non-Cordon,1373402584.0,-2.8157918895935357,-2.0275707420365663,-3.478805828994952,-0.07461129880339105,-1.499573214894582,-9.896352952030657,-1.4587932218751425,-3.302560356277998,52391
Neither-Cordon-nor-SF,1373254808.0,-2.499015487139536,-1.845620752884566,-2.6081312117889515,-0.06918653560289106,-1.187730175425582,-8.209684139795653,-1.054345717413245,-2.3932125541740144,52267
