legMode,count
bike,39901
bike_transit,1
car,1192639
car_hov2,240931
car_hov3,172160
drive_transit,1882
hov2_teleportation,210836
hov3_teleportation,189019
ride_hail,39294
ride_hail_pooled,13961
walk,226568
walk_transit,200025
