mode,duration
bike,702.6081081081081
bus,98.46368686082127
bus_empty,105.3100593398003
cable_car,48.32378158844765
cable_car_empty,44.8259028087383
car,452.4736299225168
car_RideHail,453.7103136113805
car_RideHail_Pool,382.5
car_RideHail_empty,136.58823529411765
car_emer,463.79778830963664
car_hov2,534.9362662746745
car_hov2_emer,513.5263157894736
car_hov3,518.5845879050778
car_hov3_emer,575.7875
ferry,3000.0
ferry_empty,1674.5454545454545
rail,567.4074074074074
rail_empty,332.72727272727275
subway,155.87781548904658
subway_empty,161.22137404580153
tram,117.75126853049447
tram_empty,115.2577334489737
walk,922.1280857261008
