mode,length
bike,3525.803161540952
bus,541.740386200378
bus_empty,504.8396894515523
cable_car,118.38208287549223
cable_car_empty,120.12249968979891
car,8469.693034556123
car_RideHail,8924.781237865749
car_RideHail_Pool,3159.7599142857143
car_RideHail_empty,2300.950964329145
car_emer,8399.73832116544
car_hov2,10024.619653381771
car_hov2_emer,10108.530163461537
car_hov3,9877.096734249417
car_hov3_emer,12339.180888454011
ferry,23497.982438377643
ferry_empty,12605.977895603713
rail,7041.940024024902
rail_empty,4284.109570774799
subway,2404.1972046164574
subway_empty,2378.9705549468695
tram,587.370585168228
tram_empty,432.0821981242876
walk,1258.6087690049983
