mode,duration
bike,704.4152287478233
bus,98.6826943185779
bus_empty,105.03901578622454
cable_car,48.15986591145532
cable_car_empty,45.061404463799676
car,449.9962093882254
car_RideHail,483.5929497838377
car_RideHail_Pool,206.01923076923077
car_RideHail_empty,137.8655828707375
car_emer,428.6661661661662
car_hov2,508.9852289512555
car_hov2_emer,545.3274695534506
car_hov3,500.97011356843996
car_hov3_emer,541.6524163568773
ferry,3350.0
ferry_empty,1684.2105263157894
rail,580.5194805194806
rail_empty,328.0
subway,155.9592843923504
subway_empty,159.23076923076923
tram,117.8189353840008
tram_empty,115.17395054629097
walk,903.7732848651336
