mode,length
bike,34775265.837
bus,83849067.961
bus_empty,83879183.94500001
cable_car,1051640.0165573698
cable_car_empty,1075728.4828758584
car,1991240226.042
car_RideHail,45079310.254
car_RideHail_Pool,344576.694
car_RideHail_empty,13384182.985
car_emer,75643492.967
car_hov2,273734123.118
car_hov2_emer,21886507.063
car_hov3,198454682.734
car_hov3_emer,16775128.706
ferry,230105.32097491555
ferry_empty,629423.3137047619
rail,1299940.3364833668
rail_empty,165905.9432695074
subway,11874254.452977562
subway_empty,620182.927279481
tram,13634740.715296159
tram_empty,6606230.442749681
walk,350163822.34323704
