legMode,count
bike,40070
bike_transit,1
car,1198829
car_hov2,240739
car_hov3,172830
drive_transit,1847
hov2_teleportation,212053
hov3_teleportation,189646
ride_hail,39397
ride_hail_pooled,13971
walk,226051
walk_transit,199718
