mode,duration
bike,704.5913281329146
bus,73.28580271431592
bus_empty,78.56146292482853
cable_car,48.32378158844765
cable_car_empty,44.8259028087383
car,454.5515818608167
car_RideHail,468.0951670087703
car_RideHail_Pool,381.672131147541
car_RideHail_empty,160.4604216388226
car_emer,426.3611911623439
car_hov2,464.86192999714405
car_hov2_emer,471.9901193906958
car_hov3,441.95570348454964
car_hov3_emer,536.4123711340206
ferry,3000.0
ferry_empty,1674.5454545454545
rail,518.9090909090909
rail_empty,410.0
subway,166.31160572337043
subway_empty,180.0
tram,99.47406401829095
tram_empty,99.89247697643823
walk,776.5806481210174
