mode,duration
bike,705.1621884104889
bus,98.68577075098814
bus_empty,105.1279413080433
cable_car,47.96044613084972
cable_car_empty,45.23558376189955
car,444.58643773799685
car_RideHail,474.5290877796902
car_RideHail_Pool,194.17142857142858
car_RideHail_empty,130.61815970814754
car_emer,435.7237106496986
car_hov2,527.9623891441394
car_hov2_emer,510.8878205128205
car_hov3,516.651153746435
car_hov3_emer,626.73385518591
ferry,2700.0
ferry_empty,1752.6315789473683
rail,552.1428571428571
rail_empty,405.0
subway,156.1514778325123
subway_empty,154.3548387096774
tram,117.26103125942306
tram_empty,115.98874643874643
walk,940.4537794072717
