Variable,Baseline,1Fl 1Pr 1Flz,5Fl 1Pr 1Flz,5Fl 1Pr 1.6Flz,5Fl 1Pr 2Flz,5Fl 1Pr 4Flz,5Fl 1Pr 10Flz,2Fl 1Pr 1.6Flz,2Fl 1Pr 2Flz,2Fl 1Pr 4Flz,2Fl 1Pr 10Flz,2Fl .47Pr 1Flz,5Fl .47Pr 1Flz,5Fl .47Pr 1.6Flz,5Fl .47Pr 2Flz,5Fl .47Pr 4Flz,5Fl .47Pr 10Flz,2Fl .27Pr 1Flz,5Fl .27Pr 1Flz,5Fl .27Pr 1.6Flz,5Fl .27Pr 2Flz,5Fl .27Pr 4Flz,5Fl .27Pr 10Flz,2Fl .125Pr 1Flz,5Fl .125Pr 1Flz,5Fl .125Pr 1.6Flz,5Fl .125Pr 2Flz,5Fl .125Pr 4Flz,5Fl .125Pr 10Flz,2Fl .0625Pr 1Flz,5Fl .0625Pr 1Flz,5Fl .0625Pr 1.6Flz,5Fl .0625Pr 2Flz,5Fl .0625Pr 4Flz,5Fl .0625Pr 10Flz,1Fl MixPr 1Flz,2Fl MixPr 1Flz,5Fl MixPr 1Flz,5Fl MixPr 1.6Flz,5Fl MixPr 2Flz,5Fl MixPr 4Flz,5Fl MixPr 10Flz,code
Trip Vehicle Car HOV2 Emergency,148296,149675,148470,148158,146802,145810,142621,147446,144993,144704,141891,145949,146561,145540,142857,140916,137600,144149,143815,143173,140389,136238,131374,141823,141090,140695,139147,134585,125932,139938,139102,137811,137070,133118,122871,140066,140378,142442,139609,139417,133805,128399,11
Trip Vehicle Car HOV3 Emergency,103330,102871,103628,103459,101921,100837,98970,102818,101536,100489,99946,102569,101078,101252,100646,97308,96199,100611,99833,99879,98118,96027,92206,99146,98390,97444,97017,94010,88713,97411,96882,95374,95536,92754,85981,97445,98044,97657,96570,96305,93657,89368,12
Trip Vehicle Ride Hail,113336,119298,106239,161441,188871,281979,359537,172253,198925,289942,369023,118114,111411,177615,211765,356223,524008,117261,110548,178900,217043,392671,650181,112366,107462,176821,213819,407327,774601,109304,105582,173474,210858,409434,842116,142611,137259,129411,209711,253429,476762,878938,13
Trip Vehicle Empty Ride Hail,109697,113790,105216,159437,186763,288032,424721,166529,191863,288824,424303,112605,108464,171367,204068,343790,552937,112985,108102,173425,209827,379293,662516,110475,106965,174414,210179,397270,778871,107527,105226,171385,207246,399192,832482,100411,97693,93157,149976,178902,321957,561426,14
Trip Vehicle Ride Hail WC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
Trip Vehicle Empty Ride Hail WC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16
Trip Vehicle CAV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17
Trip Vehicle Car HOV2,1115670,1113878,1117847,1112050,1108984,1107711,1104528,1115321,1109281,1107735,1105733,1105438,1102916,1100575,1095004,1096440,1085976,1093858,1091108,1091192,1086321,1079189,1068392,1081627,1080796,1072605,1074492,1060838,1047203,1069498,1070573,1063725,1062083,1047712,1023272,1071572,1077297,1079237,1072589,1068520,1054328,1046330,18
Trip Vehicle Car HOV3,799556,798861,797669,799168,796830,797306,796895,797570,797378,795294,794048,789835,791919,785072,784162,781536,778473,780716,780001,773797,774578,768485,763692,770667,767415,763172,762361,757067,741233,756189,756238,755819,750247,741700,730987,762447,764022,768638,763188,760268,750417,737974,19
Trip Vehicle Bus,902293,902195,902508,900711,900916,898103,894532,901916,901137,898151,894256,909724,909559,907957,908981,905262,900450,916413,914765,915206,914909,912039,904464,920462,921539,920160,919803,917369,910173,925558,925368,925048,924142,921988,912577,924766,925925,924000,923947,924364,923587,916673,20
