Variable,Baseline,1Fl 1Pr 1Flz,5Fl 1Pr 1Flz,5Fl 1Pr 1.6Flz,5Fl 1Pr 2Flz,5Fl 1Pr 4Flz,5Fl 1Pr 10Flz,2Fl 1Pr 1.6Flz,2Fl 1Pr 2Flz,2Fl 1Pr 4Flz,2Fl 1Pr 10Flz,2Fl .47Pr 1Flz,5Fl .47Pr 1Flz,5Fl .47Pr 1.6Flz,5Fl .47Pr 2Flz,5Fl .47Pr 4Flz,5Fl .47Pr 10Flz,2Fl .27Pr 1Flz,5Fl .27Pr 1Flz,5Fl .27Pr 1.6Flz,5Fl .27Pr 2Flz,5Fl .27Pr 4Flz,5Fl .27Pr 10Flz,2Fl .125Pr 1Flz,5Fl .125Pr 1Flz,5Fl .125Pr 1.6Flz,5Fl .125Pr 2Flz,5Fl .125Pr 4Flz,5Fl .125Pr 10Flz,2Fl .0625Pr 1Flz,5Fl .0625Pr 1Flz,5Fl .0625Pr 1.6Flz,5Fl .0625Pr 2Flz,5Fl .0625Pr 4Flz,5Fl .0625Pr 10Flz,1Fl MixPr 1Flz,2Fl MixPr 1Flz,5Fl MixPr 1Flz,5Fl MixPr 1.6Flz,5Fl MixPr 2Flz,5Fl MixPr 4Flz,5Fl MixPr 10Flz,code
Length Person AV CM [km],1.556904246,1.567851667,1.592128518,1.540359696,1.558196235,1.566222308,1.480199904,1.521546592,1.514688873,1.53519952,1.611302431,1.53538063,1.48847893,1.538798586,1.536152822,1.563209469,1.604062086,1.515555351,1.620407554,1.516369983,1.543430577,1.591038977,1.564629915,1.586423174,1.556833637,1.557142885,1.517503747,1.526389711,1.571102441,1.580429258,1.651520894,1.676418397,1.547961946,1.65569409,1.595497789,1.582898664,1.553715264,1.574261964,1.540596374,1.578630575,1.57617277,1.579365017,941
Length Person AV DE [km],1.108975962,1.147458482,1.09288449,1.131795769,1.146515097,1.146098255,1.089302298,1.131906221,1.102198666,1.102598356,1.103884952,1.073446657,1.088671843,1.11194338,1.186348522,1.114049806,1.122361146,1.073368848,1.082563435,1.105312017,1.120966815,1.097682413,1.101969076,1.11849682,1.128014927,1.112290022,1.126128358,1.106537466,1.145459287,1.107145469,1.128679637,1.163156507,1.169548738,1.1411212,1.146686347,1.133344114,1.133343681,1.050194522,1.143298924,1.105967607,1.113444116,1.134679269,942
Length Person AV ca [km],4.917123659,4.819239819,4.912539819,4.876293531,4.983711788,4.917665112,4.925216397,4.924398199,4.880576744,4.975781914,4.925305976,4.838404011,4.812176006,4.860571502,4.822120862,4.925854643,4.868727014,4.817887704,4.844841697,4.785804736,4.770978179,4.822599651,4.84974157,4.76295486,4.791173898,4.724458458,4.74741037,4.747259237,4.774982957,4.737380945,4.724567197,4.759936477,4.744904772,4.7041783,4.80270941,4.774436462,4.776526223,4.726528432,4.813465247,4.766703028,4.757496479,4.775813893,943
Length Person AV ri [km],7.594102291,7.454092925,7.763635344,7.817800286,7.828739698,8.005277524,8.088960767,7.7517641,7.763369524,7.767647787,7.913277419,7.846020252,8.097922818,8.131881803,8.085653804,8.101050442,8.213590481,8.360922652,8.515536227,8.545929146,8.53228004,8.546263622,8.576200448,9.144906567,9.264041726,9.266054934,9.222746684,9.273179488,9.321528784,9.705053177,9.894459401,9.904350668,9.842168268,9.916804441,9.93713092,7.306215231,7.425859104,7.777240105,7.799538662,7.783400534,7.779131467,7.432169939,944
Length Person AV AM [km],11.39853182,11.36080985,11.52593287,11.40650022,11.30836271,11.4115314,11.4836906,11.27552759,11.56012293,11.62635975,11.40803233,11.15927176,11.59819092,11.40505776,11.30254158,11.27248834,11.38149957,11.21894681,11.3855844,11.34762276,11.38385465,11.23436187,11.11440693,11.42560477,11.45984841,11.72389522,11.34448545,11.37842152,11.17163885,11.42883648,11.73082415,11.49549215,11.47067653,11.3967785,11.37256761,11.48720126,11.55492019,11.53107441,11.73536331,11.58570497,11.58218667,11.20857565,945
Length Person AV CE [km],11.72721556,12.28766282,12.09729733,11.82480424,12.09251335,12.11531938,11.88355637,11.96185522,11.68816556,11.87984328,11.99813347,11.84553654,11.80650281,11.94642283,11.67263967,11.78586952,12.18390977,11.67096712,11.68884709,11.94794591,12.00165104,11.62306807,11.68116134,11.99493966,11.77071891,11.77197646,11.62618712,12.2373132,11.71624502,12.00345296,11.81837409,12.06838206,11.99322394,11.9959931,11.82132877,11.99357089,11.76452299,11.93557957,11.89063586,11.75567747,12.02847942,11.79006521,946
Length Person AV AY [km],0.954932422,0.945468885,0.911234064,1.045544592,1.001718664,0.920093919,0.950216298,0.994182286,0.982170555,1.031971304,0.829589919,0.90803157,0.95187272,0.933185308,0.904766805,0.939814456,0.989588779,0.937959504,0.921514092,0.939687807,0.954394864,0.965646352,0.955206518,0.9674321,0.97129004,0.973480716,0.955774885,0.898124718,0.963530962,1.000214092,0.962620712,0.96828134,0.89515895,0.956511038,0.984751085,0.966870728,0.904691373,0.883386694,1.019980477,0.984198953,0.881541813,0.941995987,947
Length Person AV SB [km],31.09532176,30.58374671,33.97599969,30.89922994,29.73504441,30.35383826,28.33619453,33.06125068,31.42342915,27.75516646,29.42011145,29.63605543,32.5126891,31.42968781,31.41152744,33.96964699,32.16536003,30.60192447,30.92543766,29.80065929,30.83904791,32.48165648,31.36684632,32.87969085,31.02917969,30.53163372,32.75811909,30.96053717,32.1377367,33.29991876,33.8090331,32.97836932,30.38695569,30.49440018,30.26075503,33.62055492,33.05400929,33.19831634,32.09084052,32.52792515,33.32644384,30.43945136,948
Length Person AV HF [km],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,949
Length Person AV Biodiesel [km],0.594538579,0.592671648,0.585736293,0.597491591,0.594478209,0.591897811,0.59464675,0.586188359,0.58899396,0.5943349,0.593550741,0.593194798,0.591285862,0.596139038,0.594735275,0.589494962,0.593011642,0.594728378,0.595837949,0.596337312,0.596456829,0.598546781,0.589915064,0.599603609,0.597187742,0.594955773,0.598056829,0.596610037,0.598854845,0.603511056,0.602121213,0.599602752,0.600034921,0.597661242,0.606529008,0.607193934,0.60390611,0.600599068,0.599565391,0.606774838,0.594795389,0.597257445,950
Length Person AV Diesel [km],1.171289515,1.169106037,1.170373055,1.170798852,1.171506236,1.165650259,1.169196159,1.173571554,1.169599654,1.168061199,1.16794945,1.134561691,1.13377019,1.134666826,1.134078329,1.122873089,1.127717653,1.111176552,1.109138161,1.107015983,1.102169729,1.09553754,1.090416265,1.081744171,1.076219732,1.072290884,1.073647401,1.063800661,1.051220304,1.055800164,1.056906833,1.050266156,1.046080147,1.040700962,1.029552496,1.065429572,1.067269263,1.07575467,1.068180706,1.063446039,1.04645637,1.041427284,951
Length Person AV Gasoline [km],6.266112974,6.269895878,6.274594991,6.287569579,6.300681854,6.320105406,6.358766383,6.308226687,6.307495357,6.329718306,6.381712813,6.266868429,6.293379902,6.33244656,6.317266921,6.355567063,6.463382778,6.286470188,6.297279047,6.322880245,6.351912634,6.412167251,6.52750922,6.293782236,6.293245526,6.338085554,6.358215187,6.465646644,6.629171588,6.314952722,6.305620419,6.348695066,6.364307455,6.504123924,6.739629836,6.320498047,6.30296673,6.309354935,6.343261534,6.356171965,6.454003028,6.509321887,952
Length Person AV Electricity [km],1.757604981,1.762950824,1.752562065,1.748532229,1.751927918,1.744645137,1.747420026,1.750674128,1.757935498,1.745610835,1.745279366,1.759771857,1.757807116,1.767029154,1.765081454,1.755661968,1.742321061,1.772981608,1.783050033,1.770549601,1.774703602,1.75157807,1.74869667,1.801196982,1.797510338,1.787944105,1.796553323,1.799606471,1.773025985,1.825122545,1.822596681,1.825950146,1.823613947,1.827027744,1.803164357,1.829931537,1.831973126,1.817199048,1.822692974,1.826042376,1.827308315,1.789619757,953
Length Person AV Food [km],1.12096419,1.121598731,1.124976248,1.106433693,1.097791084,1.069660796,1.054488318,1.105217526,1.09501928,1.076416658,1.052588881,1.146159534,1.146016614,1.122005379,1.111235385,1.085259821,1.064841364,1.165724141,1.165780049,1.142221284,1.137388842,1.109654057,1.069842443,1.20597326,1.211881085,1.185453746,1.177206551,1.137970443,1.100733616,1.265828501,1.264577198,1.229236953,1.219009905,1.178921972,1.131998933,1.253537984,1.242450116,1.242085887,1.205787523,1.202503658,1.164226689,1.115381654,954
Length Person VAR [km],66.01951036,66.27205163,66.37353398,66.32293716,66.88766387,66.93272381,68.25744663,67.21525421,66.88689579,67.35805223,69.3292777,65.02338043,65.8973789,66.7623173,65.95416365,66.37693368,69.21499712,64.85860536,65.43821716,65.71450406,66.16950753,66.62510134,68.8901993,64.75765698,64.61696453,65.12017573,65.28857308,66.77617426,69.38401079,64.52374046,64.52304021,64.87603452,64.82660045,67.07886306,70.82054522,65.2899804,65.07351023,65.29777105,65.42375796,65.54718379,67.29436908,69.11251564,955
Length Person VAR Walk [km],10.0193363,10.01777073,10.18956569,9.637846371,9.514915543,9.006797479,8.491231076,9.750227257,9.431393688,9.015938773,8.411660745,10.58696643,10.48463549,10.03186087,9.633785817,9.089993313,8.669293043,10.84806253,10.94585604,10.2903693,10.26005787,9.550828903,8.682295049,11.99136946,12.16823826,11.53618855,11.19241221,10.29524735,9.706067783,13.78016401,13.94719801,12.79740289,12.4966795,11.57180115,10.68989567,14.50358656,14.11631933,14.26378957,13.1032669,12.82775469,11.77531383,10.64860836,956
Length Person VAR Bike [km],9.674935493,10.29059762,9.838848913,9.53715748,9.729221069,8.652978639,7.72845949,9.498083822,9.196550261,8.403618153,7.696344579,11.01495985,11.40152595,11.11498913,11.58430052,9.852718157,8.123809582,12.97204443,12.72895738,13.1512192,12.95068274,11.40505735,9.035045033,14.71775184,15.30523114,15.09399611,15.47932471,14.31339776,11.11630744,17.18758253,17.48828467,17.80341678,17.93087078,16.7317956,12.77849497,15.62225618,14.42576981,14.97207519,15.18473365,15.08835236,14.45699593,11.01903874,957
Length Person VAR Car [km],132.1533729,133.1017373,133.1110285,132.8156341,134.007427,133.8282145,136.0680323,134.526879,133.8765921,134.7896263,138.2413223,131.8722788,133.5286288,135.6400664,133.667424,134.7263808,139.7900205,132.9588413,134.1547498,134.6694005,135.7462896,136.6048457,140.2751206,134.2996033,133.8536018,134.8410148,135.0933239,137.782809,140.9465875,134.6303794,134.6327327,135.5478165,135.0588754,138.9475637,142.5532588,135.7573363,135.7993088,135.4081593,136.2035681,136.5674175,140.5767463,142.2017163,958
Length Person VAR Car Emergency [km],103.6170374,105.5795651,104.4123406,103.7060538,106.9017501,105.2365534,105.3115185,106.9693949,105.3716089,104.8665967,107.6895336,103.0207471,105.5710396,106.7805442,106.6615952,106.3721067,109.2524053,104.8465366,105.5319216,105.2892278,106.9361917,107.5751444,107.9299286,103.2588647,105.3019696,106.4540135,105.9556073,107.1405806,108.9689642,103.05435,102.6140848,104.7041606,103.4097262,106.7588073,107.433961,105.4298724,103.2085877,105.0060624,106.8124789,106.0789608,108.8293116,109.4230817,959
Length Person VAR Car HOV2 Emergency [km],98.22391864,99.7694613,98.3472094,97.49170939,101.2856395,98.28965055,98.92300695,98.96818023,100.2312321,99.65360277,97.30970475,97.61301515,100.2637221,102.2991912,101.4417102,97.30397553,98.48663071,99.23294145,98.45237977,100.8510357,100.3088111,99.09633065,100.3819952,100.4429685,98.08812557,98.87960776,99.81746625,100.5232736,97.85850898,96.78004522,95.78015756,95.52684846,96.67188068,99.10464019,98.77226322,101.0038376,98.37516177,97.85015224,99.55697937,96.24384422,96.9978195,97.70971685,960
Length Person VAR Car HOV3 Emergency [km],99.09779598,97.61526122,96.24109755,98.13814068,99.4475292,98.40643138,99.23439437,103.1908999,99.79785871,96.00092349,98.59033022,100.8024931,99.39346173,106.4310024,101.3246178,96.67689378,97.35012468,97.42226958,99.3939821,100.9160589,103.4079818,98.69977352,97.37839183,96.94719255,96.64775455,98.9470115,98.23494224,96.86424369,97.77871428,95.66658736,98.54197135,95.40445499,95.37113307,97.59031959,98.41831749,98.06717939,96.04419596,99.15819943,99.25109031,98.78739158,98.56449577,94.49528969,961
Length Person VAR Ride Hail [km],99.44167727,100.1293131,104.208442,101.8333013,101.5418495,104.6480034,110.6901961,101.2809815,99.92903944,100.4694488,113.0253696,98.04018376,103.3124088,100.6431328,96.77631094,95.56493112,103.3882242,106.4730836,107.1894078,104.6400549,106.9513688,101.4658339,104.1830509,123.5280313,125.026156,121.0872412,119.0221594,116.96744,119.1088978,138.9967738,144.2359737,140.7871838,137.4501969,138.7557281,138.4511854,114.4639346,115.0953097,123.3829587,119.1794909,118.0559974,118.5921855,114.6720063,962
Length Person VAR Empty Ride Hail [km],8.230832457,11.70973366,9.742948543,15.62072097,21.28609935,36.59779988,77.72442626,12.91871092,23.13245661,50.88598206,68.42682679,7.326087966,7.936951225,9.914729,17.64141301,36.72259073,56.04396546,6.952344745,5.462161864,10.04080225,11.37944154,33.09475941,48.34296343,9.297515362,6.67342784,11.46131172,13.45601003,44.95464321,37.68719134,22.77293898,7.296262684,35.36041026,35.31254424,61.03182501,28.55075251,26.47520938,27.81928374,7.769419271,19.14867481,18.01244603,55.36725973,57.02965927,963
Length Person VAR Ride Hail WC [km],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,964
Length Person VAR Empty Ride Hail WC [km],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,965
Length Person VAR CAV [km],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,966
Length Person VAR Car HOV2 [km],107.3047366,107.0916264,107.5748633,107.7411066,107.2455202,106.7283575,107.0650244,108.8463853,107.580433,107.3086888,109.0646388,107.4445938,109.1730439,109.8293751,107.8464978,106.9702216,109.1461578,107.4383781,108.9324892,109.9532046,110.4476912,108.5303661,109.3428676,107.9597761,109.1766243,108.7300101,109.1856947,109.5149414,109.6739731,108.3466159,108.6705065,107.9241338,108.0279166,110.0334897,110.5863811,108.8496295,107.2885059,108.1635219,107.9081693,108.1227196,109.8593525,108.3795087,967
Length Person VAR Car HOV3 [km],95.98177898,95.01655394,96.27080168,95.29552793,96.14516148,95.01121876,96.49493498,97.03462968,97.98226719,95.76725075,97.76717235,95.4976501,97.80543141,98.55799947,97.63746181,95.81144565,98.23699534,96.54363605,97.11197336,97.94006491,97.26857956,96.30753905,97.73782716,96.17631039,96.74123844,98.38316607,97.78433473,97.91762439,97.03205014,96.80928119,95.50184196,95.97825762,96.02257875,96.92122955,98.1558906,97.00429801,95.23248138,96.90210899,94.56402394,96.57967573,97.66684816,96.42218095,968
Length Person VAR Bus [km],1.156019411,1.141044177,1.154151405,1.172624878,1.168816069,1.192730874,1.166425277,1.177197026,1.168449298,1.150623534,1.167224851,1.147892944,1.120795719,1.133159236,1.121490544,1.130543616,1.141023892,1.13872251,1.108959129,1.160755296,1.13697859,1.143082591,1.156575617,1.150626387,1.132388128,1.12072561,1.148599567,1.126550904,1.160465503,1.171558412,1.179311253,1.178662773,1.158309598,1.156603862,1.187078911,1.160691406,1.201707391,1.186917956,1.16172922,1.181875029,1.153567951,1.155718782,969
Length Person VAR Tram [km],0.256496912,0.254506231,0.25516195,0.255582199,0.256123972,0.254942909,0.254373244,0.255166405,0.25764315,0.257514553,0.25501559,0.254925798,0.256481831,0.256197731,0.256394912,0.256938606,0.256668123,0.256261205,0.256591626,0.255179458,0.254536472,0.255387644,0.254870553,0.257294483,0.256525907,0.255867529,0.255615346,0.256768334,0.256615838,0.256851966,0.254802343,0.254693343,0.255676405,0.255748567,0.255356918,0.255236937,0.256792694,0.254531278,0.255565309,0.254278159,0.255668981,0.25514405,970
Length Person VAR Rail [km],20.2463762,19.45213161,20.58236568,19.71751771,20.7627254,20.72568341,20.35664541,20.20469244,20.22545029,21.01113875,19.87975216,19.41658922,19.77133627,19.57977462,19.59735504,19.80924788,19.79008896,19.44094624,19.30775719,19.21656119,19.57592488,19.2582483,19.36910162,18.86706038,19.67601177,19.43619794,18.5148335,18.54153124,19.25878306,18.70155797,19.80747493,18.99426171,18.88204444,18.83656568,18.77468765,19.93338432,19.20231748,18.86246045,19.63862219,19.47066394,19.55610619,18.60756533,971
Length Person VAR Subway [km],4.896320851,4.903185875,4.906937939,4.884061572,4.908554933,4.920879359,4.856711952,4.897320402,4.884666782,4.869911856,4.873930893,4.902188068,4.901253723,4.919169333,4.871771276,4.865232184,4.865917502,4.927970815,4.9167654,4.936586793,4.92046282,4.872219477,4.858488812,4.974296828,4.964458988,4.938280904,4.947567926,4.933023798,4.914538765,4.992267285,4.997561386,4.983317989,4.979958932,4.954733347,4.969179616,4.969312838,4.976614957,4.964336073,5.005446963,4.99765733,5.001201953,4.955058889,972
Length Person VAR Cable Car [km],0.001104181,0.001114217,0.001112136,0.001109601,0.00110607,0.00111407,0.001113767,0.001103914,0.001117243,0.001117091,0.001124179,0.001108299,0.001114312,0.001107858,0.001112646,0.001109999,0.001110934,0.001112852,0.001102796,0.001114952,0.001119255,0.001125303,0.001115487,0.001122355,0.001130133,0.001107785,0.001115479,0.001110396,0.001114774,0.001125527,0.001101386,0.001125447,0.001124485,0.001115063,0.001106928,0.001115038,0.001110435,0.001121539,0.001107535,0.001117486,0.001105276,0.001118951,973
Length Person VAR Ferry [km],97.87509245,107.8182285,36.4053745,103.9535666,129.3318037,113.508741,146.0485661,64.39220977,94.42259073,157.0486609,124.0314373,126.9506637,71.98172182,92.58734874,97.91234297,39.26676376,76.58057422,116.9360853,100.8602827,129.5369796,103.502444,79.0882778,92.08719172,68.68402553,113.404809,116.5226748,69.6672813,103.0049623,79.71413335,53.13114338,45.31157729,64.21695188,105.9213271,113.7971188,124.2083858,46.03754221,62.4859736,57.11529274,76.64680955,82.25504355,56.53377397,110.1432953,974
Length Person VAR Empty Bus [km],0.149606936,0.065189241,0.019105465,0.061345402,0.066135671,0.046072227,0.073871141,0.090443281,0.014778977,0.021295477,0.036821084,0.029074198,0.031540391,0.035273296,0.058704578,0.068035521,0.089135188,0.031317576,0.098409138,0.10042909,0.171793666,0.056324122,0.011794903,0.06608262,0.009535085,0.052230347,0.046905721,0.066065341,0.046035506,0.204877225,0.017369926,0.030244341,0.050006894,0.08634536,0.050029007,0.028775149,0.076796002,0.137860687,0.175501829,0.116597009,0.018613214,0.056149338,975
Length Person VAR Empty Tram [km],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,976
Length Person VAR Empty Rail [km],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,977
Length Person VAR Empty Subway [km],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,978
Length Person VAR Empty Cable Car [km],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,979
Length Person VAR Empty Ferry [km],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,980
Length Person VAR SF [km],0.232717418,0.23163763,0.233747966,0.234445138,0.233732216,0.236104419,0.237749281,0.233701469,0.232388582,0.234183822,0.230957954,0.233408653,0.233349618,0.235547311,0.231859134,0.230313613,0.233779057,0.230018235,0.230759914,0.234721406,0.231861837,0.230115715,0.232053576,0.229702531,0.228607088,0.231136571,0.233406251,0.23154677,0.231131551,0.233302649,0.230541768,0.22902738,0.23025803,0.228836597,0.228297549,0.229260583,0.230178279,0.231243524,0.229153448,0.230329503,0.228003311,0.230510259,981
Length Person VAR AC [km],1.31525214,1.309230385,1.323505962,1.355993429,1.339235724,1.380386452,1.35196089,1.330855379,1.318050629,1.354329125,1.386529126,1.252434393,1.247079851,1.267768302,1.260429727,1.293185013,1.306909249,1.263692605,1.211691528,1.271952651,1.253069796,1.288662278,1.288168141,1.241008481,1.200721839,1.166864305,1.218876787,1.237299009,1.298254394,1.199387278,1.227035667,1.183550656,1.214489058,1.218610874,1.272037055,1.200045143,1.227575218,1.204044918,1.198311455,1.214934397,1.222117171,1.253943253,982
Length Person VAR SC [km],0.030308534,0.03178926,0.032436265,0.031480286,0.030930765,0.031489685,0.031255948,0.031142542,0.031073971,0.032473132,0.030693336,0.031355082,0.030511839,0.029904964,0.029429876,0.030507573,0.02972043,0.03053657,0.030437219,0.030686354,0.03035951,0.031587815,0.030550863,0.030963385,0.031074804,0.031342464,0.030363069,0.030412978,0.03055077,0.029956279,0.0306369,0.030582674,0.030425054,0.030456012,0.030307535,0.030549618,0.031041636,0.029942199,0.030929628,0.030811897,0.032326967,0.03168625,983
Length Person VAR VT [km],0.416197128,0.423707864,0.426425505,0.421958899,0.420025891,0.428103677,0.417445564,0.416788183,0.435658115,0.423884926,0.418822679,0.427479121,0.425479587,0.415890166,0.412534005,0.41513857,0.43456181,0.409790914,0.416989762,0.428542654,0.430096631,0.410508462,0.446908816,0.428199353,0.431463604,0.434148867,0.425276964,0.400287616,0.407192487,0.43177911,0.443322415,0.449970722,0.42358409,0.417997718,0.417458077,0.430700803,0.445388222,0.43845615,0.414463164,0.412034682,0.421566853,0.43290997,984
Length Person VAR ST [km],0.52660861,0.534227572,0.555738755,0.526052264,0.533567421,0.529385761,0.52269098,0.51606895,0.515545068,0.519821011,0.54162152,0.53733073,0.506756057,0.536740497,0.527200238,0.526482909,0.523634734,0.513148298,0.534478669,0.541121934,0.523604407,0.516470934,0.533322155,0.522033753,0.532891182,0.520326809,0.536820596,0.542976864,0.532883119,0.553378098,0.540753443,0.544489417,0.547719343,0.528074514,0.53754191,0.55582114,0.54646325,0.544912707,0.552928891,0.543144696,0.529550541,0.537576363,985
Length Person VAR CT [km],0.73874852,0.665059246,0.651915356,0.712903331,0.782644353,0.786644851,0.83790018,0.786788072,0.815677415,0.71692952,0.783014369,0.700392481,0.881341097,0.7812694,0.809847907,0.727307297,0.946616729,0.866467761,0.709128272,0.845733914,0.768485109,0.784768824,0.858218483,0.707855036,0.710813992,0.760480877,0.739989828,0.766026206,0.870741808,0.798780804,0.711355045,0.666487587,0.717573761,0.745859554,0.808739259,0.709435734,0.841879457,0.791713,0.762955324,0.699789333,0.637656224,0.695490194,986
Length Person VAR CC [km],1.130504158,1.145236109,1.024336525,1.214742563,1.170224448,1.161141141,1.163432115,1.067274049,1.128120663,1.200987961,1.157311987,1.119285658,1.103144852,1.218461229,1.144877771,1.122471432,1.118142654,1.170922698,1.141250075,1.13091301,1.162427313,1.174828641,1.083909723,1.20568347,1.157363414,1.136951654,1.201601316,1.194323585,1.233319281,1.251518037,1.264290907,1.239814263,1.192375105,1.133445707,1.315944396,1.254408293,1.250859041,1.20093036,1.181550803,1.252201115,1.154023828,1.148622232,987
Length Person VAR GG [km],7.905792649,7.37416096,7.556642952,7.723433267,7.943470023,7.730851113,7.667465052,7.567350437,7.968602148,7.423882379,7.499009699,7.538447927,7.470828735,7.286416198,7.214138326,7.521120635,7.240822041,7.636115931,7.106596246,7.617425489,7.377066514,7.388055201,7.436944076,7.332579088,7.370671687,7.616459696,7.518685493,7.303263572,7.818773261,7.684179913,7.781172304,8.295998518,7.898439128,8.018937394,8.108986203,7.656981974,8.582392182,8.341882067,8.317014834,8.439546152,7.866643673,7.902426793,988
Length Person VAR TD [km],0.555741455,0.523155777,0.536169754,0.568608001,0.558920668,0.565250603,0.510341947,0.571162192,0.546909534,0.546698214,0.54896314,0.571006752,0.561217804,0.536757772,0.567840868,0.567238818,0.545336717,0.616895757,0.58253158,0.56186173,0.568799094,0.583503806,0.553332152,0.604675109,0.592373354,0.576491452,0.568085877,0.587322077,0.573628571,0.551623414,0.644563898,0.582824618,0.592151843,0.548844517,0.624324123,0.584705206,0.644312237,0.559971896,0.620579508,0.62199124,0.585029575,0.533291276,989
Length Person VAR 3D [km],1.47539581,1.238921261,1.341613442,1.443497324,1.473171775,1.353122368,1.384874576,1.402484598,1.387810985,1.457817512,1.32920983,1.315415808,1.466278995,1.372106939,1.432713864,1.315203339,1.408198211,1.397841183,1.403113204,1.441781319,1.395917346,1.370021476,1.48769034,1.400649119,1.378756388,1.477379426,1.551807389,1.440138794,1.409046709,1.585383222,1.545338365,1.520524338,1.56192978,1.468054322,1.44320989,1.582963047,1.616798829,1.594690475,1.56556351,1.614292383,1.539865712,1.372937843,990
Length Person VAR MA [km],1.188009373,1.288094964,1.158342115,1.178097165,1.220851129,1.268860245,1.208201665,1.239728854,1.156269006,1.22818127,1.25013233,1.192271224,1.248481682,1.192580405,1.210899041,1.186799857,1.30065496,1.267899663,1.326872217,1.213984668,1.245674519,1.306457592,1.237538858,1.232003529,1.296697665,1.2065645,1.301421206,1.209042647,1.239412442,1.316799676,1.323965007,1.30932037,1.261504358,1.252300883,1.236693198,1.298815939,1.259335144,1.313524617,1.290936504,1.301248824,1.288897783,1.243059694,991
Length Person VAR BA [km],4.896320851,4.903185875,4.906937939,4.884061572,4.908554933,4.920879359,4.856711952,4.897320402,4.884666782,4.869911856,4.873930893,4.902188068,4.901253723,4.919169333,4.871771276,4.865232184,4.865917502,4.927970815,4.9167654,4.936586793,4.92046282,4.872219477,4.858488812,4.974296828,4.964458988,4.938280904,4.947567926,4.933023798,4.914538765,4.992267285,4.997561386,4.983317989,4.979958932,4.954733347,4.969179616,4.969312838,4.976614957,4.964336073,5.005446963,4.99765733,5.001201953,4.955058889,992
Length Person VAR SM [km],1.02456521,1.01744218,1.12985437,0.943918267,1.002814098,1.047201368,0.93284396,1.066124145,0.943640552,0.948180955,0.866522922,1.046662423,0.985348471,0.869383557,0.933782787,1.052079862,1.038166518,1.052573221,0.930054988,0.928951058,0.838421664,0.900930504,0.929081277,0.899646515,0.857584861,0.91929269,0.898417623,0.862832086,0.934403143,0.875816281,1.106690295,0.973958163,0.936191023,0.904737644,1.053398962,0.740234053,1.049968549,1.011629205,1.061516022,0.974395158,0.969421908,0.925886396,993
Length Person VAR SO [km],0.826274064,0.857668412,0.803763122,0.895998926,0.843198553,0.944942253,0.857699574,0.864188261,0.96040016,0.942143467,0.819189256,0.890647227,0.866846205,0.854610106,0.90341499,0.836160044,0.852200103,0.951686183,0.954146361,0.991057425,0.876981629,0.897728018,0.881524533,1.001120656,1.009270347,0.930467952,0.928222785,0.91255622,0.886657205,1.102393225,1.019406429,1.065539109,0.952228072,1.072951158,0.968258893,1.078283146,1.047466744,1.101278551,0.983882028,1.018362924,1.039473783,0.976665883,994
Length Person VAR SR [km],0.18107077,0.189690099,0.183581244,0.180960976,0.18421029,0.179925915,0.181303175,0.183068101,0.184194968,0.182145829,0.182876822,0.186748317,0.183390197,0.185722451,0.183888744,0.184663546,0.179143389,0.185551805,0.19008375,0.191007843,0.186803679,0.182434789,0.184136047,0.187977246,0.180203897,0.187431896,0.188793095,0.18551074,0.19040773,0.188248287,0.17908042,0.193692818,0.182784158,0.184502031,0.184901548,0.179909258,0.18595051,0.178247314,0.182759772,0.181801352,0.181489673,0.183309293,995
Length Person VAR WH [km],1.419766169,1.369986702,1.368226187,1.354219473,1.471371385,1.552265224,1.377232366,1.376806021,1.225275393,1.284162552,1.76775467,1.286051045,1.182625601,1.418364775,1.536622406,1.330390212,1.309542151,1.522660376,1.691378739,1.402709746,1.153558723,1.576365835,1.564127087,1.398449199,1.427701583,1.340998948,1.507963509,1.618381922,1.326840005,1.556529204,1.394626727,1.643778452,1.750932572,1.561564159,1.289719147,1.659656659,1.552771068,1.609392759,1.488643358,1.601122169,1.880817739,1.649367804,996
Length Person VAR we [km],27.94385098,28.41643318,27.57204017,29.05148657,27.43611908,30.79314414,29.52189709,31.50695569,29.86656295,28.24216625,28.48724393,28.8913198,27.16800626,27.91275871,26.39812576,29.31632461,30.05326759,26.2089271,25.58376143,26.48403248,27.53375509,27.08532723,30.9941224,26.35016177,25.1048779,26.233316,27.08911422,26.6801112,27.44880031,24.01048888,24.98994755,25.23651524,24.41483043,25.76058452,27.68280999,26.02560158,25.46168585,27.60234548,25.94795702,25.74273054,25.44150683,26.79011872,997
