Hour,Non-Commuter,Commuter
0,0.0,0.0
1,0.0,0.0
2,0.0,0.0
3,0.0,0.0
4,0.0,0.01638277586980098
5,0.01825954827989813,0.028700942014886002
6,0.05898842144080073,0.05251203848241616
7,0.19951953129723776,0.15058302761058873
8,0.22982706064975675,0.12877948424994873
9,0.1666115908690529,0.035233510081975145
10,0.1732654608135963,0.016205689748979082
11,0.2163678386918063,0.0
12,0.2521022636767491,0.019887594991179047
13,0.2300204523956858,0.019980687833062716
14,0.2513580981671583,0.04277082279243675
15,0.24380645837089293,0.09333888389711456
16,0.26307322223159363,0.060393512100557885
17,0.27674874260807464,0.07825034542061401
18,0.1818203126298901,0.044687641454352396
19,0.14351910480523195,0.02398291439452638
20,0.0962722558022806,0.0
21,0.06223698668573087,0.0
22,0.022378918339390076,0.0
23,0.0,0.0
24,0.0,0.0
