,ISRM,tons_per_year_ROG,tons_per_year_NOx,tons_per_year_NH3,tons_per_year_SOx,tons_per_year_PM2_5,tons_per_year_CO2,geometry
0,843,0.021100173776511633,0.09278293875494037,0.019500366122444518,0.002182712677106801,0.0036120475817245992,217.64392999456868,"POLYGON ((-2256000 144000, -2256000 168000, -2232000 168000, -2232000 144000, -2256000 144000))"
1,909,0.002017288670103201,0.0006596968651292889,-8.447729982240249e-05,4.537129418129976e-05,-2.185673383680014e-05,4.618114375412688,"POLYGON ((-2256000 -24000, -2256000 24000, -2208000 24000, -2208000 -24000, -2256000 -24000))"
2,910,0.005704117682731269,0.08985535173663717,0.008910443276653357,0.0008690437640608006,0.0025412215511756153,85.89431266767497,"POLYGON ((-2256000 24000, -2256000 72000, -2208000 72000, -2208000 24000, -2256000 24000))"
3,911,-0.21080235803737146,-0.4701952372066547,-0.0635664166566583,-0.007457453935179215,-0.012120692259572963,-743.812303578703,"POLYGON ((-2256000 72000, -2256000 120000, -2208000 120000, -2208000 72000, -2256000 72000))"
4,912,0.15539746420702016,0.4120496634306967,0.09601474624259465,0.010956591312636488,0.016681952777521103,1091.7196501523722,"POLYGON ((-2256000 168000, -2256000 216000, -2208000 216000, -2208000 168000, -2256000 168000))"
5,947,-0.5175818361072295,-0.6168364429022262,-0.07473543153717133,-0.009157465833013023,-0.012292868825311554,-910.51771709889,"POLYGON ((-2232000 120000, -2232000 144000, -2208000 144000, -2208000 120000, -2232000 120000))"
6,948,0.32800599972684097,0.39361065118096406,0.05029151214950334,0.006175016678737821,0.011388946153725099,611.4641161583495,"POLYGON ((-2232000 144000, -2232000 168000, -2208000 168000, -2208000 144000, -2232000 144000))"
7,953,-0.01697942942518671,-0.0061430235996750016,0.004055550149958009,0.0003691044025066984,0.0006591956469699997,37.18581274032158,"POLYGON ((-2208000 36000, -2208000 40000, -2204000 40000, -2204000 36000, -2208000 36000))"
8,954,-0.03554081841366097,-8.399310843265617e-05,-0.0005828457411992949,-6.514726272800059e-05,-0.0004175755525843011,-6.354456403444601,"POLYGON ((-2208000 40000, -2208000 44000, -2204000 44000, -2204000 40000, -2208000 40000))"
9,955,-0.3110665635588017,-0.30492329609128,-0.0347069013873782,-0.004628513582524807,-0.01021518101345692,-457.9389304317556,"POLYGON ((-2208000 44000, -2208000 48000, -2204000 48000, -2204000 44000, -2208000 44000))"
10,956,-0.0025799836793118994,0.0032084786494657007,-1.8224041213200015e-05,-5.910426826230843e-06,-2.10627403514e-05,-0.5774033164101944,"POLYGON ((-2208000 48000, -2208000 52000, -2204000 52000, -2204000 48000, -2208000 48000))"
11,963,-0.09713749640322267,-0.11659592473198577,-0.023229734756863712,-0.0027558303722178996,-0.003547518422450501,-274.4962450255982,"POLYGON ((-2208000 76000, -2208000 80000, -2204000 80000, -2204000 76000, -2208000 76000))"
12,964,0.04061202923077506,-0.006510514480102869,0.0003338901353548973,0.0001106152318937001,0.0005046500590674997,11.192256620472904,"POLYGON ((-2208000 80000, -2208000 84000, -2204000 84000, -2204000 80000, -2208000 80000))"
13,965,0.10788544561295987,0.06587972826943389,0.007713227902772707,0.0010589242197478997,0.002519479099800801,104.59727004405909,"POLYGON ((-2208000 84000, -2208000 88000, -2204000 88000, -2204000 84000, -2208000 84000))"
14,966,-0.001371162961158301,-0.004017898706196593,-0.000688240448656896,-8.586687716599997e-05,-0.0001336971623545997,-8.60966700950371,"POLYGON ((-2208000 88000, -2208000 92000, -2204000 92000, -2204000 88000, -2208000 88000))"
15,967,-0.12203778281215438,-0.12304298934457147,-0.01703538651870068,-0.002026670767158803,-0.0026641102625774016,-201.18936424567983,"POLYGON ((-2208000 92000, -2208000 96000, -2204000 96000, -2204000 92000, -2208000 92000))"
16,968,0.12973310950712447,0.07023854871816759,0.004732523880929901,0.0005956159253511992,0.0018602029849808,57.88258339579738,"POLYGON ((-2208000 120000, -2208000 124000, -2204000 124000, -2204000 120000, -2208000 120000))"
17,969,0.035450608044673815,0.03058271943743729,0.0029026033129214007,0.0003464362098359996,0.00047628286560489827,34.15790401781237,"POLYGON ((-2208000 124000, -2208000 128000, -2204000 128000, -2204000 124000, -2208000 124000))"
18,970,-0.0831254079539181,-0.03647768290372699,-0.0022115321528727305,-0.0005313602432449951,-0.00018400585903169397,-52.39903388602943,"POLYGON ((-2208000 128000, -2208000 132000, -2204000 132000, -2204000 128000, -2208000 128000))"
19,971,0.5707438247494858,0.40073892660856103,0.012066628628021436,0.001402879562933404,0.007142269729238079,132.8369328111403,"POLYGON ((-2208000 132000, -2208000 136000, -2204000 136000, -2204000 132000, -2208000 132000))"
20,972,0.09756165401973327,-0.054633212800887065,-0.016432587961808576,-0.0017052592810390954,0.0010407952777468088,-172.33753833786068,"POLYGON ((-2208000 136000, -2208000 140000, -2204000 140000, -2204000 136000, -2208000 136000))"
21,973,-0.09031165184902834,0.037848895178510755,-0.0021422114351662136,-0.00022473502503289958,-0.0007340822146846976,-22.778617811488402,"POLYGON ((-2208000 140000, -2208000 144000, -2204000 144000, -2204000 140000, -2208000 140000))"
22,974,0.12240936933961377,0.12316490146772452,0.013254780310110958,0.0015600076875921104,0.002926655054022592,153.9010284257547,"POLYGON ((-2208000 144000, -2208000 148000, -2204000 148000, -2204000 144000, -2208000 144000))"
23,975,-0.19449796436019318,-0.10695179149986167,0.004782092112255887,0.0004249981897010008,-5.332369121170688e-05,45.062897995819185,"POLYGON ((-2208000 148000, -2208000 152000, -2204000 152000, -2204000 148000, -2208000 148000))"
