,Unnamed: 0,ISRM,tons_per_year_ROG,tons_per_year_NOx,tons_per_year_NH3,tons_per_year_SOx,tons_per_year_PM2_5,tons_per_year_CO2,Row_Count
Total,1585090.0,3757093.0,-187.2139408187358,-171.5384263307492,-27.541318026358898,-3.265764402011577,-4.4561414184365615,-324506.8153197302,1781
SF,22396.0,126073.0,-11.559500921280172,-14.908969528807535,-4.228891373428829,-0.467678917893141,-0.7011599595954335,-46639.38440053964,106
Cordon,7691.0,27671.0,-46.216952733995555,-29.80309935715323,-2.924140095907707,-0.40626437425377915,-0.9175299870881157,-40070.951354285484,20
Non-Cordon,1577399.0,3729422.0,-140.99698808474022,-141.73532697359593,-24.61717793045119,-2.8595000277577975,-3.5386114313484454,-284435.86396544473,1761
Neither-Cordon-nor-SF,1555003.0,3603349.0,-129.43748716346005,-126.82635744478841,-20.38828655702236,-2.3918211098646562,-2.8374514717530115,-237796.47956490508,1655
