,Unnamed: 0,ISRM,tons_per_year_ROG,tons_per_year_NOx,tons_per_year_NH3,tons_per_year_SOx,tons_per_year_PM2_5,tons_per_year_CO2,Row_Count
Total,1585090.0,3757093.0,-159.08546124959017,-114.87889011766617,-14.356851037598735,-1.568221807319444,-2.684703165509032,-155022.5588840452,1781
SF,22396.0,126073.0,-11.229707376666655,-13.205263100875827,-3.5399220424985747,-0.3736174018459318,-0.6474030245319279,-37222.17854679635,106
Cordon,7691.0,27671.0,-32.87462438174955,-21.35368515637898,-2.144177794523026,-0.2520193633665239,-0.5559833458825524,-24791.994744549607,20
Non-Cordon,1577399.0,3729422.0,-126.21083686784061,-93.52520496128719,-12.212673243075711,-1.3162024439529196,-2.1287198196264803,-130230.56413949557,1761
Neither-Cordon-nor-SF,1555003.0,3603349.0,-114.98112949117396,-80.31994186041138,-8.672751200577135,-0.9425850421069879,-1.4813167950945523,-93008.38559269921,1655
