,ISRM,SOA,pNO3,pNH4,pSO4,PrimaryPM25,TotalPM25,deathsK,deathsL,Row_Count
Total,1373430255.0,-3.441215049190184,-3.0525937139354684,-6.206120811940645,-0.1575164586089742,-2.3764958597926777,-15.233941849586836,-2.5215193322384466,-5.70708659176467,52411
SF,147776.0,-0.37933095214,-0.22961655445400003,-1.13991879663,-0.008967392223,-0.39630757755802004,-2.1541412503600004,-0.5069169451239335,-1.1397981172729108,124
Cordon,27671.0,-0.3520461398,-0.1684580195,-0.460360126,-0.00353359698,-0.26977845,-1.254176323,-0.46951875251120256,-1.055512188817954,20
Non-Cordon,1373402584.0,-3.0891689093901853,-2.884135694435469,-5.745760685940646,-0.15398286162897418,-2.1067174097926777,-13.979765526586839,-2.0520005797272445,-4.651574402946718,52391
Neither-Cordon-nor-SF,1373254808.0,-2.7098379572501834,-2.6545191399814687,-4.605841889310646,-0.14501546940597423,-1.7104098322346581,-11.825624276226836,-1.5450836346033108,-3.5117762856738057,52267
