,Unnamed: 0,ISRM,tons_per_year_ROG,tons_per_year_NOx,tons_per_year_NH3,tons_per_year_SOx,tons_per_year_PM2_5,tons_per_year_CO2,Row_Count
Total,100.0,100.0,-1.34191108764716,-0.9795488799008708,-0.8597743081414971,-0.809332683940745,-0.8033189204829353,-0.8055448162297524,1781
SF,100.0,100.0,-2.5388763971015798,-2.5373253352585765,-5.128317481678374,-4.764326810783239,-3.8765633020736976,-4.763223082556579,106
Cordon,100.0,100.0,-17.71071337119881,-11.78555970558843,-10.257550964007946,-10.102658037427634,-10.71060742674604,-9.99750380732334,20
Non-Cordon,100.0,100.0,-1.0815424980147017,-0.8099840368266593,-0.7406395724943419,-0.6881288228095394,-0.6470067483693868,-0.6855519517804975,1761
Neither-Cordon-nor-SF,100.0,100.0,-1.024128995697104,-0.728452283356385,-0.5489398757784467,-0.5138643768431237,-0.4743097342669518,-0.5106141088500676,1655
