1. Record Type,2. Sample Number,3. Phone,4. Month,5. Day,6. Year,7. Day of Week,8. Advance Letter,9. Address,10. City,11. State,12. Zip Code,13. HH County,14. HH Study Area,15. HH Zone,16. Longitude,17. Latitude,18. Number Persons,19. Number Employed,20. Vehicles Available,21. Vehicles Owned / Leased ,22. Bikes,23. Residence,24. Other Residence,25. Tenure,26. Previous Residence,27. Previous Zip Code,28. HH Factors ,29. Other Factors,30. Income,31. Day Visitors,32. Overnight Visitors,33. Delivery Vehicle,34. Number of Delivery Drivers,35. HH Vehicle Use by Non HH Member,36. GPS House,37. Total HH Trips
1,1885,,1,22,2018,1,1,,Lakeway,TX,78738,5,AU,,-97.990,30.355,2,2,2,2,2,1,,5,,,1;6;8,,24,0,0,,,2,2,9
1,1933,,1,19,2018,5,1,,Austin,TX,78758,5,AU,,-97.714,30.405,2,2,2,2,3,4,,1,2,92008,3,,18,1,1,,,2,2,8
1,2880,,1,24,2018,3,1,,Austin,TX,78739,5,AU,,-97.889,30.187,2,0,1,1,0,1,,5,,,6,,12,0,0,,,2,2,6
1,2886,,11,1,2017,3,1,,West Lake Hills,TX,78746,5,AU,,-97.799,30.294,5,1,2,2,5,1,,3,1,78746,6;8,,25,0,0,,,2,2,22
1,2977,,2,12,2018,1,1,,PFLUGERVILLE,TX,78660,5,AU,,-97.612,30.473,4,2,1,1,0,1,,5,,,1;2,,20,0,0,,,2,2,10
1,3162,,12,6,2017,3,1,,Austin,TX,78617,5,AU,,-97.637,30.160,3,2,3,3,2,1,,5,,,1;5;6,,20,0,0,,,2,2,8
1,3217,,8,2,2017,3,1,,MANOR,TEXAS,78653,5,AU,,-97.547,30.353,4,2,2,1,2,1,,5,,,8,,22,0,0,,,2,1,14
1,3267,,10,16,2017,1,1,,AUSTIN,TX,78704,5,AU,,-97.764,30.255,1,0,0,0,0,4,,5,,,6;8,,2,0,0,,,3,2,5
1,3269,,11,28,2017,2,1,,Austin,TX,78704,5,AU,,-97.783,30.245,2,2,2,2,2,2,,1,1,78704,1;6,,18,0,0,,,2,2,3
1,3278,,10,18,2017,3,1,,Austin,Texas,78704,5,AU,,-97.744,30.251,1,0,2,2,0,1,,5,,,6,,12,0,0,,,2,1,5
1,3280,,8,2,2017,3,1,,PFLUGERVILLE,TEXAS,78660,5,AU,,-97.641,30.438,5,2,3,2,1,1,,5,,,1,,21,0,0,,,2,2,17
1,3301,,11,14,2017,2,1,,AUSTIN,TX,78748,5,AU,,-97.808,30.184,1,1,1,1,0,1,,1,1,78731,3;6;96,0,23,0,0,,,2,2,5
1,3317,,12,19,2017,2,1,,Austin,TX,78704,5,AU,,-97.760,30.236,2,1,3,3,2,1,,5,,,1,,8,1,0,,,2,2,6
1,3326,,11,30,2017,4,1,,Austin,TX,78704,5,AU,,-97.757,30.260,3,3,2,2,2,4,,5,,,6,,21,0,0,,,2,2,6
1,3340,,12,13,2017,3,1,,Austin,TX,78725,5,AU,,-97.571,30.237,1,1,1,1,0,1,,1,1,78725,1,,3,1,1,,,2,2,0
1,3362,,10,16,2017,1,1,,Austin,Texas,78704,5,AU,,-97.755,30.225,1,0,4,4,0,4,,5,,,1,,7,0,0,,,2,2,5
1,3855,,8,3,2017,4,1,,AUSTIN,TEXAS,78704,5,AU,,-97.764,30.255,1,1,0,0,4,1,,5,,,6,,3,0,0,,,3,2,8
1,3944,,12,12,2017,2,1,,Austin,TX,78759,5,AU,,-97.740,30.378,4,1,1,1,0,2,,3,2,999998,1;2;4,,13,0,0,,,2,1,31
1,3994,,12,6,2017,3,1,,Austin,TX,78727,5,AU,,-97.735,30.438,1,0,1,1,0,4,,3,1,78759,6,,21,0,0,,,2,2,7
1,4079,,8,4,2017,5,1,,AUSTIN,TEXAS,78721,5,AU,,-97.694,30.279,1,0,1,1,0,1,,5,,,98,,3,1,0,,,2,2,2
1,4224,,12,14,2017,4,1,,Austin,TX,78745,5,AU,,-97.773,30.200,2,2,2,2,0,4,,2,1,78741,1;6,,17,0,0,,,2,2,4
1,4234,,10,18,2017,3,1,,Austin,Texas,78741,5,AU,,-97.733,30.224,3,2,2,2,0,1,,5,,,1;6,0,22,2,0,,,2,1,16
1,4264,,10,23,2017,1,1,,AUSTIN,TX,78741,5,AU,,-97.739,30.229,2,2,1,1,2,3,,1,1,78741,6;96,0,15,0,0,,,2,2,4
1,4304,,11,13,2017,1,1,,AUSTIN,TX,78741,5,AU,,-97.702,30.231,2,2,2,2,0,1,,2,2,99998,1;3,,13,0,0,,,2,2,5
1,4323,,11,30,2017,4,1,,Austin,TX,78741,5,AU,,-97.738,30.233,2,2,2,2,0,4,,1,1,78745,1;6;7,,21,0,0,,,2,2,6
1,4334,,10,24,2017,2,1,,AUSTIN,TX,78741,5,AU,,-97.726,30.232,2,2,0,0,0,4,,3,1,78741,1;5,,11,0,0,,,3,2,7
1,4683,,8,3,2017,4,1,,AUSTIN,TEXAS,78750,5,AU,,-97.795,30.421,1,0,1,1,0,2,,5,,,6,,15,0,0,,,2,2,2
1,4938,,12,12,2017,2,1,,PFLUGERVILLE,TX,78660,5,AU,,-97.646,30.448,2,0,1,1,0,1,,5,,,1;3;4;6,,18,2,0,,,2,1,6
1,5426,,5,22,2018,2,1,,LEANDER,TX,78641,5,AU,,-97.874,30.531,4,1,2,2,0,1,,4,1,78750,4;6,,13,3,0,,,2,2,14
1,5807,,10,18,2017,3,1,,Austin,Texas,78701,5,AU,,-97.748,30.266,2,0,1,1,0,4,,1,1,78701,6,,22,0,0,,,2,1,8
1,5828,,10,24,2017,2,1,,AUSTIN,TX,78705,5,AU,,-97.736,30.296,1,1,1,1,0,4,,1,2,99998,5,,5,0,0,,,2,2,6
1,5862,,12,14,2017,4,1,,Austin,TX,78703,5,AU,,-97.762,30.281,1,1,1,1,1,1,,2,1,78727,1,,14,1,1,,,2,2,10
1,5868,,1,9,2018,2,1,,Austin,TX,78727,5,AU,,-97.744,30.429,3,1,1,1,0,4,,1,1,78759,3;6;8,,20,1,0,,,2,2,5
1,5949,,11,16,2017,4,1,,Austin,TX,78750,5,AU,,-97.801,30.432,2,0,2,2,2,1,,5,,,1;2;3;4;96,0,24,1,0,,,2,2,17
1,5977,,12,12,2017,2,1,,PFLUGERVILLE,TX,78660,5,AU,,-97.572,30.473,4,0,2,2,1,1,,1,1,78660,4,,18,0,0,,,2,1,2
1,6098,,10,18,2017,3,1,,Austin,Texas,78702,5,AU,,-97.716,30.264,1,1,1,1,2,1,,5,,,1;3;6,,13,0,0,,,2,1,6
1,6106,,2,14,2018,3,1,,Austin,TX,78703,5,AU,,-97.763,30.286,2,0,1,1,1,1,,5,,,3,,13,0,0,,,2,1,0
1,6116,,1,10,2018,3,1,,Austin,TX,78737,5,AU,,-97.923,30.214,1,1,2,2,0,1,,5,,,6,,16,2,0,,,1,2,7
1,6123,,10,24,2017,2,1,,AUSTIN,TX,78704,5,AU,,-97.742,30.250,2,2,4,4,2,1,,5,,,6,,24,0,0,,,2,2,10
1,6126,,10,18,2017,3,1,,Austin,Texas,78704,5,AU,,-97.786,30.233,2,2,2,2,0,96,TOWNHOUSE,2,1,78741,1;6;96,0,7,0,0,,,2,1,12
1,6612,,11,14,2017,2,1,,Austin,TX,78746,5,AU,,-97.792,30.258,1,1,1,1,1,4,,2,2,99998,96,0,15,0,0,,,2,1,5
1,6654,,12,14,2017,4,1,,Austin,TX,78704,5,AU,,-97.778,30.247,2,1,3,3,1,1,,2,2,94061,6,,24,0,0,,,2,2,12
1,6657,,12,7,2017,4,1,,Austin,TX,78704,5,AU,,-97.780,30.231,4,2,1,1,1,4,,5,,,3,,12,0,0,,,2,2,7
1,6675,,10,18,2017,3,1,,Austin,Texas,78704,5,AU,,-97.757,30.257,1,1,4,4,6,1,,5,,,6,,20,0,0,,,2,1,9
1,6708,,2,27,2018,2,1,,Austin,TX,78745,5,AU,,-97.780,30.199,1,0,1,1,0,3,,1,1,78745,96,PUBLIC HOUSING,1,2,2,,,2,2,6
1,6867,,10,18,2017,3,1,,Austin,Texas,78741,5,AU,,-97.739,30.226,2,2,1,1,0,1,,2,1,78702,1;96,0,23,0,0,,,2,1,4
1,6902,,1,10,2018,3,1,,Austin,TX,78728,5,AU,,-97.679,30.453,4,2,2,2,1,1,,2,1,78721,1;6;96,0,21,0,0,,,2,1,15
1,7041,,8,28,2018,2,1,,Austin,TX,78752,5,AU,,-97.680,30.329,2,1,1,1,1,1,,5,,,1;2,,8,0,0,,,2,2,4
1,7217,,10,18,2017,3,1,,Austin,Texas,78703,5,AU,,-97.772,30.281,1,1,2,2,1,2,,3,1,78703,1,,16,0,0,,,2,1,7
1,7260,,1,12,2018,5,1,,Austin,TX,78722,5,AU,,-97.716,30.284,2,2,1,1,0,4,,1,2,508213,1;5;7,,7,0,0,,,2,2,7
1,7665,,4,19,2018,4,1,,West Lake Hills,TX,78746,5,AU,,-97.816,30.301,1,0,2,2,0,1,,5,,,6,,25,0,0,,,2,2,5
1,7890,,12,14,2017,4,1,,Austin,TX,78724,5,AU,,-97.631,30.276,3,2,3,3,2,1,,2,1,78705,1,,22,0,0,,,2,2,8
1,7981,,5,15,2018,2,1,,Austin,TX,78747,5,AU,,-97.787,30.150,2,0,1,1,0,1,,5,,,96,LOCATION,6,0,0,,,2,2,4
1,8886,,11,14,2017,2,1,,Austin,TX,78702,5,AU,,-97.725,30.273,3,1,1,1,2,4,,4,1,78702,96,0,8,0,0,,,2,1,13
1,8901,,4,10,2018,2,1,,Austin,TX,78746,5,AU,,-97.796,30.256,3,1,2,2,1,4,,1,2,82556,3;4,,22,0,0,,,2,1,13
1,8903,,9,10,2018,1,1,,Austin,TX,78747,5,AU,,-97.769,30.149,2,1,2,2,0,5,,5,,,1,,6,1,0,,,2,2,6
1,8906,,2,16,2018,5,1,,Austin,TX,78748,5,AU,,-97.799,30.163,1,0,1,1,0,1,,5,,,1;6,,21,2,2,,,2,2,7
