trip_id,DRIVEALONEFREE,DRIVEALONEPAY,SHARED2FREE,SHARED2PAY,SHARED3FREE,SHARED3PAY,WALK,BIKE,WALK_LOC,WALK_LRF,WALK_EXP,WALK_HVY,WALK_COM,DRIVE_LOC,DRIVE_LRF,DRIVE_EXP,DRIVE_HVY,DRIVE_COM,TAXI,TNC_SINGLE,TNC_SHARED
1466473,-999.8565237567839,-999.8677139937412,-4.519623756783875,-4.526018177902318,-4.987923756783875,-4.992399851566786,-28.965472961277925,-1005.173380095048,-2.694116040659274,-2.1224527054263533,-1001.8850785380367,-999.2687664777994,-999.2213664777994,-1000.2212275562024,-1998.985484039934,-1999.2212275562024,-1998.3295264777994,-1998.3295264777994,-13.363502003912355,-10.556043848739488,-7.951352306160919
1466477,-1000.5410897720191,-1000.5651683228166,-4.948538847372076,-4.962298019256425,-5.314578477513297,-5.324209897832342,-30.817720199437105,-1006.0995039525461,-2.5873667667745917,-2.1180720738178738,-1001.7582667728543,-999.2687664777994,-999.2213664777994,-1001.38915142933,-1998.3295264777994,-2000.5536514329922,-1998.3295264777994,-1998.3295264777994,-14.22783611996003,-11.383534128185474,-8.246554183088522
1466801,-1.449341796390788,-1.4773194523532769,-1000.4493417963907,-1000.4653290283693,-1000.4493417963907,-1000.4605328587758,-30.33131144610574,-1005.215936330425,-1000.1899217244185,-1998.6248404637258,-1999.1246717300214,-1998.6248404637258,-1998.6248404637258,-999.8623440318789,-1998.3318004637258,-1998.8623440318788,-1998.3318004637258,-1998.3318004637258,-16.435461760558056,-16.808392250217583,-13.352477059072832
1466805,-1.087310558976675,-1.108148255139813,-1000.0873105589767,-1000.099217813927,-1000.0873105589767,-1000.095645637442,-14.408478003417756,-1001.1071921859854,-1001.8283604898901,-1998.6248404637258,-2000.6836104908439,-1998.6248404637258,-1998.6248404637258,-1998.3318004637258,-1998.3318004637258,-1998.3318004637258,-1998.3318004637258,-1998.3318004637258,-14.284349374998182,-14.625574696637262,-12.168061053125953
2107385,-0.5664425701548781,-0.5737476388647584,-999.5664425701549,-999.5706168951319,-999.5664425701549,-999.5693645976388,-22.928414684603478,-1001.9261942186573,-1998.8386696370264,-1998.588183249953,-1998.8386696370264,-1998.588183249953,-1998.588183249953,-1000.090644731648,-1998.295143249953,-1999.090644731648,-1998.295143249953,-1998.295143249953,-15.097189705598495,-13.31386651374304,-10.239851491388638
2107389,-2.3055268499149837,-2.3157080751775863,-1000.6115746866753,-1000.6173925296825,-1000.3339938213794,-1000.3380663114845,-21.358512264559533,-1001.7692041673878,-1000.8564017727056,-1998.588183249953,-1999.7421767874637,-1998.588183249953,-1998.588183249953,-1998.295143249953,-1998.295143249953,-1998.295143249953,-1998.295143249953,-1998.295143249953,-15.219345362831014,-13.901315145852632,-10.641065492887215
3640785,-0.3625066621701573,-0.3663793171416248,-999.3620138435024,-999.3642267892003,-999.3618167160353,-999.3633657780239,-5.078838590149326,-1000.1778359305424,-1998.6288490168422,-1998.6288490168422,-1998.6288490168422,-1998.6288490168422,-1998.6288490168422,-999.7536471113804,-1998.3358090168422,-1998.7536471113804,-1998.3358090168422,-1998.3358090168422,-10.293985062497107,-10.422359897640975,-9.028472189778077
3640786,-1.3697524899953633,-1.3799962643770962,-1000.3660920092536,-1000.3719455946147,-1000.364627816957,-1000.3687253267096,-161.5704313303492,-1070.8328016046069,-1998.619451604683,-1998.619451604683,-1998.8394516046833,-1999.367907046485,-1998.619451604683,-1998.326411604683,-1998.326411604683,-1998.326411604683,-1999.4585374641395,-2001.5393686867924,-25.934513481446878,-18.88362275341535,-12.043851789050388
3640787,-0.20378820781147355,-0.20509379327379473,-999.2006205457376,-999.2013665945732,-999.199353480908,-999.199875715093,-7.42109852215722,-1000.4092753307052,-1000.2823547357843,-1998.6257527228827,-1999.5023547357844,-1998.6257527228827,-1998.6257527228827,-999.7119997263559,-1998.3327127228827,-1998.7119997263558,-1998.3327127228827,-1998.3327127228827,-8.670496500962193,-8.54450993226408,-8.620671354683516
3640788,-0.13089977115105356,-0.13177959013227947,-999.130899771151,-999.1314025248546,-999.130899771151,-999.1312516987435,-4.018268848839954,-1000.046192895547,-1000.4699631685556,-1999.4756909108212,-1999.6334881736877,-1998.6004200073444,-1998.6004200073444,-1998.3073800073444,-1998.3073800073444,-1998.3073800073444,-1998.3073800073444,-1998.3073800073444,-9.886842380025733,-10.140702318937835,-10.081444347240163
3640789,-3.2784203851376574,-3.312103416275493,-1002.2784203851377,-1002.2976678315022,-1002.2784203851377,-1002.2918935975928,-154.2962727798855,-1067.1862065307057,-1998.6004200073444,-1998.6004200073444,-1998.6004200073444,-1999.2507995482606,-1998.6004200073444,-1998.3073800073444,-1998.3073800073444,-1998.3073800073444,-1998.3073800073444,-1998.3073800073444,-29.491445261109508,-23.876195359515762,-16.72461246375762
4776321,-0.5616974059220222,-0.5629132486596186,-999.561697405922,-999.5623921732007,-999.561697405922,-999.562183743017,-11.896585853250064,-1000.844065862043,-1998.6661231334883,-1998.6115769298913,-1998.6661231334883,-1998.6115769298913,-1998.6115769298913,-999.7517894811559,-1998.3185369298913,-1998.7517894811558,-1998.3185369298913,-1998.3185369298913,-8.3035602589017,-8.27266978023531,-8.706303022798222
4776325,-0.7218355275187437,-0.723249443985219,-999.6959018930586,-999.6967098453251,-999.6855284392744,-999.686094005861,-29.96391621366266,-1005.0256059936119,-1998.8988070490004,-1998.6115769298913,-1998.8988070490004,-1998.6115769298913,-1998.6115769298913,-1998.3185369298913,-1998.3185369298913,-1998.3185369298913,-1998.3185369298913,-1998.3185369298913,-9.950335303790842,-9.860425174491091,-8.900755303672309
4776326,-0.5104927834088718,-0.5116079934717458,-999.4945995484802,-999.4952368113733,-999.4882422545088,-999.488688338534,-20.96947818795212,-1001.7403120833493,-1001.5754116214611,-1998.5993071018124,-2000.6214866240123,-1998.5993071018124,-1998.5993071018124,-1998.3062671018124,-1998.3062671018124,-1998.3062671018124,-1998.3062671018124,-1998.3062671018124,-8.30995635888316,-8.205737977099702,-8.587604824559055
4776649,-0.39307734421596013,-0.3939462702082942,-999.3925824274178,-999.3930789565562,-999.3923844606985,-999.3927320310954,-1.9850611143420052,-999.8413515598605,-1000.5947484542442,-1998.621922005379,-1999.5632484574628,-1998.621922005379,-1998.621922005379,-1998.328882005379,-1998.328882005379,-1998.328882005379,-1998.328882005379,-1998.328882005379,-8.043314954034207,-8.008856719918223,-8.41918423956891
