trip_id,DRIVEALONEFREE,DRIVEALONEPAY,SHARED2FREE,SHARED2PAY,SHARED3FREE,SHARED3PAY,WALK,BIKE,WALK_LOC,WALK_LRF,WALK_EXP,WALK_HVY,WALK_COM,DRIVE_LOC,DRIVE_LRF,DRIVE_EXP,DRIVE_HVY,DRIVE_COM,TAXI,TNC_SINGLE,TNC_SHARED
1749273,-2.3054235499800075,-2.3240720597099784,-1001.30542354998,-1001.3160798412542,-1001.30542354998,-1001.312882953872,-16.640057197018198,-1001.113664627667,-1000.301363888702,-1998.3841238889281,-1999.207763891241,-1998.3841238889281,-1998.3841238889281,-999.5472855671164,-1998.430995888928,-1998.5472855671164,-1998.430995888928,-1998.430995888928,-6.966588473573719,-7.397427154640848,-6.598434809719523
1749277,-1.007112700878727,-1.0145172283340727,-1000.0060216869638,-1000.0102528455097,-1000.0055852813979,-1000.00854709238,-137.37074815313392,-1055.9917137628752,-1998.3841238889281,-1998.3841238889281,-1998.3841238889281,-1998.3841238889281,-1998.3841238889281,-1998.430995888928,-1998.430995888928,-1998.430995888928,-1998.430995888928,-1998.430995888928,-6.895799922623204,-4.654083219197026,-3.3391612941768467
6772265,-0.10361893907393231,-0.10410392492295091,-999.103618939074,-999.1038960738448,-999.103618939074,-999.1038129334136,-3.360224765062057,-999.7740626248834,-999.5140132695385,-1998.3712139308793,-1998.5140132695385,-1998.3712139308793,-1998.3712139308793,-1998.4180859308794,-1998.4180859308794,-1998.4180859308794,-1998.4180859308794,-1998.4180859308794,-0.9055622794684146,-0.8003573913220154,-1.017645318742964
6772269,-0.15361325500874118,-0.15410392428038486,-999.1325757269909,-999.1328561094318,-999.1241607157838,-999.1243569834924,-3.360224765062057,-999.7740626248834,-999.5039749762573,-1998.3712139308793,-1998.5039749762573,-1998.3712139308793,-1998.3712139308793,-1998.4180859308794,-1998.4180859308794,-1998.4180859308794,-1998.4180859308794,-1998.4180859308794,-2.9436671927684723,-2.837969794625937,-3.086058744639191
10000441,-6.66996983359972,-6.965743116816243,-1005.6699698335997,-1005.8389831382949,-1005.6699698335997,-1005.7882791468863,-3.3058475418805964,-999.7742492816686,-1998.3774632741079,-1998.3774632741079,-1998.3774632741079,-1998.3774632741079,-1998.3774632741079,-1998.4243352741078,-1998.4243352741078,-1998.4243352741078,-1998.4243352741078,-1998.4243352741078,-34.79759762037269,-68.02235794669606,-37.55132514325716
10000445,-6.755995922092816,-7.051769205309339,-1005.7191275984529,-1005.888140903148,-1005.7043802689969,-1005.8226895822836,-3.3058475418805964,-999.7742492816686,-1998.3774632741079,-1998.3774632741079,-1998.3774632741079,-1998.3774632741079,-1998.3774632741079,-1998.4243352741078,-1998.4243352741078,-1998.4243352741078,-1998.4243352741078,-1998.4243352741078,-34.79759762037269,-68.02235794669606,-37.55132514325716
21499465,-0.7392960187508715,-0.7458113330525605,-1000.4738960187509,-1000.4776190554946,-1000.4738960187509,-1000.4765021444715,-15.35654407323639,-1000.9853872712497,-1001.9043428637134,-1998.38420585029,-2000.706742856656,-1998.38420585029,-1998.38420585029,-999.8735089605502,-1998.4310778502902,-1998.8735089605502,-1998.4310778502902,-1998.4310778502902,-4.2222828634392595,-3.6975338585848263,-2.6139044293673237
21499469,-1.3725538017016197,-1.3851830971010153,-1001.0803890981753,-1001.0876058384035,-1001.0696832167647,-1001.0747349349244,-11.974386747491762,-1000.6471714433078,-1000.2171777645341,-1998.38420585029,-1999.1684710951736,-1998.38420585029,-1998.38420585029,-1998.4310778502902,-1998.4310778502902,-1998.4310778502902,-1998.4310778502902,-1998.4310778502902,-4.375253756579001,-4.291982294436407,-3.9797907917757174
21590649,-1.4188478094846793,-1.4449414992590803,-0.4187127473785207,-0.433623427249607,-1000.4145987225361,-1000.4250361984458,-29.369143513052112,-1002.6260875635787,-1001.1501093360771,-1998.3830662062437,-1999.8693093511451,-1998.3830662062437,-1998.3830662062437,-1998.7764950169167,-1998.4299382062436,-1998.7764950169167,-1998.4299382062436,-1998.4299382062436,-18.138941470465536,-16.868795588534525,-13.243711131965096
21590650,-2.410882089234128,-2.4592930943967675,-1.4107470271279694,-1.4384104586494777,-1001.4066330022855,-1001.4259974043506,-29.01406269318259,-1002.4688701287905,-1000.7941021335249,-1998.3737514538789,-1999.8911021223194,-1998.3737514538789,-1998.3737514538789,-999.9286971779941,-1998.420623453879,-1999.0110013677952,-1998.420623453879,-1998.420623453879,-21.907527850190572,-22.947890492721175,-16.88852080573104
21590653,-0.9530834131250481,-0.9674905257403328,0.14868197616463663,0.14044934038447388,-999.8065518681195,-999.8123147131656,-4.649617006842259,-1000.0324256078402,-1000.5933392739054,-1998.3737514538789,-1999.390539268231,-1998.3737514538789,-1998.3737514538789,-999.9971259861629,-1998.420623453879,-1998.997125986163,-1998.420623453879,-1998.420623453879,-12.41327851747696,-12.266138755999403,-11.013952380958548
25729681,-1000.0302136444079,-1000.0536936700654,-1000.0302136444079,-1000.0436308019265,-1000.0302136444079,-1000.0396056546709,-15.503506165286316,-1.7489066922867422,-1001.3956549204876,-1998.2556429377623,-2000.1146815754462,-1998.2556429377623,-1998.2556429377623,-999.8856293667071,-1998.3025149377625,-1998.9600293622725,-1998.3025149377625,-1998.3025149377625,-21.489168536407064,-19.54044452705292,-13.657107253053635
25729685,-1008.1328082436509,-1008.1533075476322,-1004.6249970770989,-1004.6367109650882,-1003.2218726104782,-1003.2300723320707,-16.421574097415224,-1.840713461657775,-1000.4411737804728,-1998.2556429377623,-1999.1964271103457,-1998.2556429377623,-1998.2556429377623,-1998.3025149377625,-1998.3025149377625,-1998.3025149377625,-1998.3025149377625,-1998.3025149377625,-20.200943481353033,-18.09792619728635,-13.287504278036032
25730665,-999.6749629942567,-999.7002172675546,-999.6749629942567,-999.6893940075698,-999.6749629942567,-999.6850647035759,-3.7725830434499796,-0.6665976194082315,-1000.8365247656642,-1998.3667481953664,-1999.772304769331,-1998.3667481953664,-1998.3667481953664,-1998.4136201953665,-1998.4136201953665,-1998.4136201953665,-1998.4136201953665,-1998.4136201953665,-13.77000706466502,-15.290532487605928,-12.990964539232802
25730669,-1000.1637468988691,-1000.1934289939113,-1000.0036662698141,-1000.020627466981,-999.9396340181919,-999.9515068562088,-3.1928353069959696,-0.37672375118122653,-1000.3476109041512,-1998.3667481953664,-1999.320050902912,-1998.3667481953664,-1998.3667481953664,-1001.0580101461361,-1998.4136201953665,-2000.337010146136,-1998.4136201953665,-1998.4136201953665,-14.63997717558329,-16.410734994238666,-13.494931514966504
27356889,-1.0190350267273918,-1.026784886407578,-0.021935026727391782,-0.026363517973212347,-1000.0190350267274,-1000.0221349705995,-74.55498046567055,-1025.2205260833464,-1000.4002511456206,-1998.386104773242,-1999.4002511456206,-1998.386104773242,-1998.386104773242,-1000.1342208620035,-1998.432976773242,-1999.144010331603,-1998.432976773242,-1998.432976773242,-10.856693981274375,-9.997461598288298,-9.809127807489013
27356893,-1.7321084928579256,-1.739049987576362,-0.7350084928579256,-0.7389750612684608,-1000.732108492858,-1000.7348850907453,-75.79204101254555,-1025.8390563567839,-1000.1266273610204,-1998.386104773242,-1999.1266273610204,-1998.386104773242,-1998.386104773242,-1998.432976773242,-1998.432976773242,-1998.432976773242,-1998.432976773242,-1998.432976773242,-12.38354032585768,-12.300593134422831,-10.846012085349026
