trip_id,DRIVEALONEFREE,DRIVEALONEPAY,SHARED2FREE,SHARED2PAY,SHARED3FREE,SHARED3PAY,WALK,BIKE,WALK_LOC,WALK_LRF,WALK_EXP,WALK_HVY,WALK_COM,DRIVE_LOC,DRIVE_LRF,DRIVE_EXP,DRIVE_HVY,DRIVE_COM,TAXI,TNC_SINGLE,TNC_SHARED
1142017,-0.8606054115723384,-0.8789605486929668,-999.8606054115724,-999.8710940613555,-999.8606054115724,-999.8679474664206,-10.398960831089694,-1000.8642985820968,-1001.7401537946862,-1998.776277957806,-2000.519353782336,-1998.776277957806,-1998.776277957806,-1000.2651933972237,-1998.4153059578061,-1999.5039766173957,-1998.4153059578061,-1998.4153059578061,-15.362851599618462,-14.681666622849207,-12.2078562550712
1142021,-2.1415526231585513,-2.177253118145017,-1000.7565450819071,-1000.7769453647564,-1000.6025420654065,-1000.6168222634011,-7.855304481907565,-1000.6099331379135,-1001.5969268549172,-1998.776277957806,-2000.2945268321719,-1998.776277957806,-1998.776277957806,-1998.4153059578061,-1998.4153059578061,-1998.4153059578061,-1998.4153059578061,-1998.4153059578061,-17.302638515336792,-17.582224604503832,-13.75531081891875
12076225,-1.355410272553831,-1.3662573857539537,-0.9226103636844706,-0.9288087140845406,-1000.3520504001367,-1000.3563892454167,-47.36338570371137,-1012.8297399637745,-1002.551329481942,-1998.7760584098041,-2001.0834094766205,-1998.7760584098041,-1998.7760584098041,-1001.8430150935775,-1998.4150864098042,-2000.9500150896715,-1998.4150864098042,-1998.4150864098042,-13.401940835165371,-12.524459416081282,-11.286290190721997
12076226,-0.9293249972159995,-0.9366422075398838,-0.4957217309668409,-0.49990299400906046,-999.9248404244672,-999.9277673085967,-21.33410796939898,-1002.1880688502507,-1001.8509361906425,-1998.7696726737827,-2000.712016183652,-1998.7696726737827,-1998.7696726737827,-999.9058700979588,-1998.4087006737827,-1998.9058700979585,-2005.9820983934935,-1998.4087006737827,-12.618800638617945,-12.270909735026246,-10.033181567442382
12076227,-0.8149400234569758,-0.8212730759969723,-0.3837366660771778,-0.38735555324289006,-999.8138153231253,-999.8163485441413,-17.551485371540075,-1001.8124420257072,-1000.8556630600921,-1998.7726011470909,-2000.0238363902797,-1998.7726011470909,-1998.7726011470909,-1000.0067540953714,-1998.411629147091,-1999.0067540953714,-1998.411629147091,-1998.411629147091,-9.523662657422014,-9.62227267606402,-9.774643000563147
12076229,-0.7931202521455583,-0.7997582965262169,-0.35901415721131547,-0.36280732542883476,-999.7879317192376,-999.7905869369898,-58.856151890705114,-1018.5743972869377,-1004.1962572935962,-1998.7726011470909,-2002.5228172544382,-1998.7726011470909,-1998.7726011470909,-1998.411629147091,-1998.411629147091,-1998.411629147091,-1998.411629147091,-1998.411629147091,-12.418776384263094,-10.868000429361834,-9.835265992308123
18659841,-1.4367723515352429,-1.460961945348849,-1000.4286418708089,-1000.4424644958452,-1000.4253896785183,-1000.4350655160437,-38.15179480323525,-1007.0427463151905,-1001.705187562969,-1998.7756639204608,-2000.6069475525287,-1998.7756639204608,-1998.7756639204608,-1000.2675518874871,-1998.4146919204609,-1999.2675518874871,-2000.864118582062,-1998.4146919204609,-17.992602384982995,-16.79193187865111,-13.120459484872452
18659842,-1.264110237644615,-1.2819473616958599,-1000.2559797569182,-1000.2661723992333,-1000.2527275646277,-1000.2598624142481,-48.002565858445394,-1011.9649122907498,-1999.2490860311261,-1998.7692190943233,-1999.520086031126,-1998.7692190943233,-1998.7692190943233,-999.9343768447135,-1998.4082470943233,-1999.1665936370584,-1998.4082470943233,-1998.4082470943233,-19.213754856287736,-16.15893517497875,-12.433129487708257
18659845,-0.8059060634625296,-0.8139696627722924,-999.6352666116911,-999.6398743827252,-999.5670108309826,-999.5702362707065,-11.544126985154378,-1000.9724622918942,-1001.8669547263772,-1998.7692190943233,-2000.623754692474,-1998.7692190943233,-1998.7692190943233,-1000.6317986389589,-1998.4082470943233,-1999.6317986389586,-1998.4082470943233,-1998.4082470943233,-10.89071548617904,-10.522700180737404,-9.883168864802094
20109929,-999.2949440944151,-999.2961716319079,-4.632144094415095,-4.632845544410999,-5.216944094415094,-5.217435109412227,-9.579882609058524,-1000.1865378948938,-1.7630132179131155,-999.774452419796,-1.6739998798241262,-999.774452419796,-999.774452419796,-1000.1153539826694,-1998.413480419796,-1999.1153539826691,-1998.413480419796,-1998.413480419796,-3.307963628620815,-1.6750478914240376,-1.5068947749918558
