trip_id,DRIVEALONEFREE,DRIVEALONEPAY,SHARED2FREE,SHARED2PAY,SHARED3FREE,SHARED3PAY,WALK,BIKE,WALK_LOC,WALK_LRF,WALK_EXP,WALK_HVY,WALK_COM,DRIVE_LOC,DRIVE_LRF,DRIVE_EXP,DRIVE_HVY,DRIVE_COM,TAXI,TNC_SINGLE,TNC_SHARED
1749449,-1.738247508672823,-1.7525384358895704,-1000.7382475086728,-1000.7464137527967,-1000.7382475086728,-1000.7439638795595,-45.97671739876191,-1014.415387715172,-1998.5292144825403,-1998.2205596409076,-1998.5292144825403,-1998.2205596409076,-1998.2205596409076,-999.4381922804218,-1998.2499596409075,-1998.548069565783,-1998.915686405038,-1998.2499596409075,-6.409613056365883,-5.946085084814762,-4.72523450618931
1749453,-0.5412562398995824,-0.5460986202097147,-999.5266716371486,-999.5294387116115,-999.5208377960482,-999.5227747481722,-21.37078134834687,-1002.112420941662,-1001.3761316571222,-1998.2205596409076,-2000.3761316571222,-2000.3621330823082,-1998.2205596409076,-1998.2499596409075,-1998.2499596409075,-1998.2499596409075,-1998.2499596409075,-1998.2499596409075,-2.6397138219881864,-1.9631332284374576,-1.729824488043651
1749454,-1.11698442614873,-1.1261479979983149,-1000.1023998233977,-1000.1076361501689,-1000.0965659822973,-1000.1002314110372,-57.65507595261619,-1020.2554255369095,-1998.3973828089147,-1998.2222710084825,-1998.5723828089147,-1998.2222710084825,-1998.2222710084825,-1998.2516710084824,-1998.2516710084824,-1998.2516710084824,-1998.2516710084824,-1998.2516710084824,-5.791169813846494,-4.394357861254567,-3.141859803350408
1772409,-0.3828214270999347,-0.3870318949422989,-999.3828214270999,-999.3852274087242,-999.3828214270999,-999.3845056142369,-9.445178531331601,-1000.168917955751,-999.8728802747555,-1998.227566858835,-1998.8728802747555,-1998.227566858835,-1998.227566858835,-999.6591212467989,-1998.2569668588349,-1998.6591212467988,-1998.2569668588349,-1998.2569668588349,-2.320371041574702,-1.820809539127475,-1.642827452947818
1772413,-0.5953997164092498,-0.6050764758494767,-999.5662401567249,-999.571769733548,-999.5545763328512,-999.5584470366273,-7.773138068837705,-1000.0017139929481,-1000.7638179540382,-1998.227566858835,-1999.7638179540384,-1998.227566858835,-1998.227566858835,-1998.2569668588349,-1998.2569668588349,-1998.2569668588349,-1998.2569668588349,-1998.2569668588349,-3.929636692305829,-3.6184121831724845,-2.0020183832573046
1772737,-1998.38521519161,-1998.3916294141713,-999.3852151916101,-999.3888804616452,-999.3852151916101,-999.3877808806346,-0.5303882190719411,-999.3487235674396,-999.9129811251652,-1998.2342589158075,-1998.9129811251653,-1998.2342589158075,-1998.2342589158075,-2997.2636589158074,-2997.2636589158074,-2997.2636589158074,-2997.2636589158074,-2997.2636589158074,-10.167155779033898,-10.420128617318714,-8.978846127953895
1772741,-1998.349466811243,-1998.354415867881,-999.3340391133445,-999.3368671457092,-999.3278680341851,-999.3298476568405,-0.5303882190719411,-999.3487235674396,-999.6444744893706,-1998.2342589158075,-1998.6444744893706,-1998.2342589158075,-1998.2342589158075,-2997.2636589158074,-2997.2636589158074,-2997.2636589158074,-2997.2636589158074,-2997.2636589158074,-8.903009978718401,-8.850017021961744,-8.754960723431118
4173369,-0.23158894396674312,-0.23747865872810414,-999.2315889439667,-999.234954495259,-999.2315889439667,-999.2339448298712,-1.5208616626373452,-999.1976632637611,-999.6954646210519,-1998.240964864885,-1998.695464621052,-1998.240964864885,-1998.240964864885,-999.9446499959605,-1998.2703648648849,-1998.977839653291,-1998.2703648648849,-1998.2703648648849,-3.149688428592557,-4.0970826438410475,-2.3330178986309003
4173373,-0.30807157412523783,-0.31488428467609636,-999.2898558086895,-999.293748786147,-999.2825695025151,-999.2852945867355,-1.5208616626373452,-999.1976632637611,-1998.240964864885,-1998.240964864885,-1998.240964864885,-1998.240964864885,-1998.240964864885,-1998.2703648648849,-1998.2703648648849,-1998.2703648648849,-1998.2703648648849,-1998.2703648648849,-3.2609764538296027,-4.13198481710552,-2.1884486499316744
8911001,-999.2341042285577,-999.2400797134968,-34.90870422855768,-34.912118791380045,-29.619904228557683,-29.622294422533336,0.08823019949675137,-999.3964956368279,-0.2730788454910346,-0.4777590197078905,0.3917211545089654,-998.6833214731527,-998.7107214731527,-999.6544826330312,-1998.8604647408902,-1998.7087929757008,-1998.2530214731528,-1998.2530214731528,-7.198161250717938,-7.94431802873774,-5.456309727946481
8911005,-999.3867706433713,-999.393725960013,-34.95363770896629,-34.957612175618706,-29.62174453520431,-29.624526661861,0.2887742587733322,-999.2962236071896,-0.6587490558912847,-0.4907585158418746,0.006050944108715206,-998.6833214731527,-998.7107214731527,-1998.2530214731528,-1998.2530214731528,-1998.2530214731528,-1998.2530214731528,-1998.2530214731528,-5.018998869961067,-6.602515255932229,-5.0684262716653885
8911006,-999.6856162548467,-999.6906928782125,-35.124995273271495,-35.127896200909184,-29.74210688064145,-29.744137529987835,0.07525522200346524,-999.4029831255746,-0.8115523208839988,-0.2971292551377338,-0.32175232088399874,-998.6833214731527,-998.7107214731527,-1998.2530214731528,-1998.2530214731528,-1998.2530214731528,-1998.2530214731528,-1998.2530214731528,-5.394715626166109,-6.547984875247659,-5.0046642620143
8911009,-0.5087792540552647,-0.518409736965083,0.34862074594473536,0.3431176128534107,-999.5087792540553,-999.5126314472192,-9.986142464263661,-1000.3027437846257,-1000.3285133228619,-1999.2872791842583,-1999.328513322862,-1998.238332818897,-1998.238332818897,-999.6718696241511,-1998.267732818897,-1998.684685984744,-1998.267732818897,-1998.267732818897,-14.194797468384344,-12.98711948474746,-10.147223314990752
8911013,-0.711817703582744,-0.7308164645131003,0.23346034475645172,0.22260390993910517,-999.5887884359079,-999.59638794028,-9.477479286773427,-1000.2518775384023,-1000.1177601220562,-1999.3201739994852,-1999.117760122056,-1998.238332818897,-1998.238332818897,-1998.267732818897,-1998.267732818897,-1998.267732818897,-1998.267732818897,-1998.267732818897,-13.04844091123864,-11.678110001460148,-10.132599084460585
