trip_id,DRIVEALONEFREE,DRIVEALONEPAY,SHARED2FREE,SHARED2PAY,SHARED3FREE,SHARED3PAY,WALK,BIKE,WALK_LOC,WALK_LRF,WALK_EXP,WALK_HVY,WALK_COM,DRIVE_LOC,DRIVE_LRF,DRIVE_EXP,DRIVE_HVY,DRIVE_COM,TAXI,TNC_SINGLE,TNC_SHARED
1259153,-999.1562808225077,-999.159429830285,-999.1562808225077,-999.1580802555234,-999.1562808225077,-999.1575404256187,-0.30166635515338786,-999.2344726622307,-999.544604060096,-1998.2344789693084,-1998.5446040600962,-1998.2344789693084,-1998.2344789693084,-1998.2638789693083,-1998.2638789693083,-1998.2638789693083,-1998.2638789693083,-1998.2638789693083,-9.728682991610405,-10.0350417398843,-8.319298114422185
1259157,-999.2851786962783,-999.2908905515142,-999.2656047455848,-999.2688686628624,-999.2577751653074,-999.2600599074017,-0.30166635515338786,-999.2344726622307,-999.5984734961428,-1998.2344789693084,-1998.598473496143,-1998.2344789693084,-1998.2344789693084,-1998.2638789693083,-1998.2638789693083,-1998.2638789693083,-1998.2638789693083,-1998.2638789693083,-8.55681862926529,-8.840624040182945,-8.571988872962143
11606569,-0.3816040998354177,-0.38340850993747044,0.18469590016458232,0.18366480867769502,-999.3816040998354,-999.3823258638762,-27.684494233994275,-1005.5282609035537,-1002.407984518693,-2001.460133058933,-2001.407984518693,-1998.23242727509,-1998.23242727509,-1998.5575497738073,-1998.2618272750901,-1998.5575943551012,-1998.2618272750901,-1998.2618272750901,-8.439438578585111,-7.9177348054297,-8.16492729722758
11606573,-0.2993192035379121,-0.30080101922071895,0.27035580992903857,0.2695090581102918,-999.2945941846842,-999.2951869109573,-28.32997915831068,-1005.8510038425491,-1000.8679677919123,-2001.092414676301,-1999.8679677919124,-1998.23242727509,-1998.23242727509,-1998.2618272750901,-1998.2618272750901,-1998.2618272750901,-1998.2618272750901,-1998.2618272750901,-8.339364916069286,-7.7779923994386015,-8.020661526332326
14258121,-0.35656970646332353,-0.359953781219145,-999.3565697064633,-999.3585034634666,-999.3565697064633,-999.3579233363656,-15.437505479419151,-1000.7272427061914,-1001.1835810791617,-1998.2386024762034,-2000.1835810791617,-1998.2386024762034,-1998.2386024762034,-999.6391518874675,-1998.2680024762035,-1998.6391518874675,-1998.2680024762035,-1998.2680024762035,-1.3645207358856541,-0.9345757239425609,-1.1864134520280147
14258125,-0.40781391642906495,-0.40973084332018717,-999.3786536680353,-999.3797490548302,-999.3669895686778,-999.3677563394343,-7.941890950763147,-999.9776813367723,-1000.5116370993504,-1998.2386024762034,-1999.5116370993505,-1998.2386024762034,-1998.2386024762034,-1998.2680024762035,-1998.2680024762035,-1998.2680024762035,-1998.2680024762035,-1998.2680024762035,-1.1343485573939445,-0.8183128322348066,-1.1360325695084827
14258126,-0.2567982925448397,-0.2629196509386586,-999.249821030897,-999.2533189499792,-999.2470301262379,-999.2494786695954,-15.458852427781894,-1000.7137966352594,-1000.3130483995843,-1998.2212903288018,-1999.4880483995844,-1998.2212903288018,-1998.2212903288018,-999.7256336368147,-1998.250690328802,-1998.7256336368146,-1998.250690328802,-1998.250690328802,-1.494687718355815,-1.109963371678685,-0.9473791103854057
14258129,-0.5765468049036138,-0.5786060454593434,-999.5671361224856,-999.5683128313746,-999.5633718495184,-999.5641955457407,-48.44302103705207,-1015.3854182760695,-1998.2027171244126,-1998.2027171244126,-1998.2027171244126,-1998.2027171244126,-1998.2027171244126,-1998.6780849042634,-1998.2321171244125,-1999.0278664413195,-1999.228584983815,-1998.2321171244125,-3.0104448455847193,-1.9853374072040932,-1.6775900150111558
14258130,-0.17942789557648595,-0.18105503744810045,-999.1700172131585,-999.1709470085137,-999.1662529401913,-999.1669037969399,-39.97775068567027,-1011.1661291411184,-1998.470114964225,-1999.277209278369,-1998.6451149642253,-1999.252633855779,-1998.229409205892,-1000.2536514260005,-1998.258809205892,-1999.6036514260004,-1999.4268510763645,-1998.258809205892,-3.3897065953869934,-2.324033969394289,-2.183704502339185
14258133,-0.4094529684629823,-0.411741380049529,-999.409452968463,-999.4107606322267,-999.409452968463,-999.4103683330976,-11.967569258668313,-1000.3719752123617,-1000.2752811964533,-1998.229409205892,-1999.2752811964533,-1998.229409205892,-1998.229409205892,-1998.258809205892,-1998.258809205892,-1998.258809205892,-1998.258809205892,-1998.258809205892,-1.5075447435559788,-1.1364910602078229,-1.3183039165259611
15614073,-0.7669656007745399,-0.7890897424400898,-0.19295246604430671,-0.20559483271033518,-999.7561672121523,-999.7650168688184,-20.373948811623027,-1001.8733076247181,-1000.3335649226739,-1998.2330657821622,-1999.333564922674,-2000.916921942673,-1998.2330657821622,-1998.262465782162,-1998.262465782162,-1998.262465782162,-2001.9293869285234,-1998.262465782162,-16.28800486506624,-16.405740916001815,-12.09297304154729
15614074,-0.3413966738647897,-0.358050540974562,0.23261646086544358,0.22309996537414511,-999.3305982852424,-999.3372598320864,-2.0487216825126238,-999.4898524499057,-999.7897224020263,-1998.2386447295785,-1998.9647224020264,-1998.2386447295785,-1998.2386447295785,-1998.2680447295784,-1998.2680447295784,-1998.2680447295784,-1998.2680447295784,-1998.2680447295784,-11.292493891860577,-12.01105715310022,-10.248818596121133
15614077,-0.7525076145938735,-0.7758686258144017,-0.18620761459387347,-0.1995567638627468,-999.7525076145939,-999.7618520190821,-1.1597719604610037,-999.2690083450196,-999.2446386100927,-1998.2386447295785,-1998.2446386100928,-1998.2386447295785,-1998.2386447295785,-1998.2680447295784,-1998.2680447295784,-1998.2680447295784,-1998.2680447295784,-1998.2680447295784,-16.22787287591986,-16.479870878524036,-12.120368877535165
20874865,-0.773404819980181,-0.779434657288552,-999.7734048199802,-999.7768504412993,-999.7734048199802,-999.7758167549035,-33.94223201189038,-1008.146870137596,-1000.3669256439308,-1998.793583766122,-1999.366925643931,-1998.226408918953,-1998.226408918953,-1998.6418681709974,-1998.2558089189529,-1998.8065030514208,-1998.2558089189529,-1998.2558089189529,-9.411371892669234,-6.703683747294565,-3.143319260775688
20874869,-0.8946561091070763,-0.9031780869043637,-999.8946561091071,-999.8995258107055,-999.8946561091071,-999.898064900226,-33.94223201189038,-1008.146870137596,-1998.5459880136013,-1998.226408918953,-1998.5459880136013,-1998.226408918953,-1998.226408918953,-1998.2558089189529,-1998.2558089189529,-1998.2558089189529,-1998.2558089189529,-1998.2558089189529,-9.569185650772223,-7.237174955424736,-3.5286539928788376
49720169,-999.1294741072395,-999.1321090739249,-999.108340250313,-999.1098459455618,-999.0998867075424,-999.1009406942165,-0.9648377661667658,-999.4457519059143,-999.3756823398711,-1999.0755944628552,-1998.3756823398712,-1998.22194238443,-1998.22194238443,-1998.25134238443,-1998.25134238443,-1998.25134238443,-1998.25134238443,-1998.25134238443,-7.714267057842932,-7.653780081059244,-7.744344001088086
49720170,-999.0794790377447,-999.0797422862715,-999.0583451808183,-999.0584956085478,-999.0498916380476,-999.0499969374583,-0.4004802616571152,-999.2703473123048,-999.8295358693667,-1998.6911801444944,-1999.0045358693667,-1998.2074143629525,-1998.2074143629525,-1998.2368143629526,-1998.2368143629526,-1998.2368143629526,-1998.2368143629526,-1998.2368143629526,-7.4336353055681945,-7.609700030414272,-7.66141052880443
49720173,-1000.3073464424864,-1000.3082484592213,-999.7911885637253,-999.7917040018594,-999.5847254122208,-999.5850862189147,-6.388042739245769,-999.9749972375367,-999.946165312191,-1998.8260763436174,-1998.9461653121912,-1998.2074143629525,-1998.2074143629525,-1998.2368143629526,-1998.2368143629526,-1998.2368143629526,-1998.2368143629526,-1998.2368143629526,-7.892896780589641,-7.670422130162536,-7.796327340770454
49720177,-0.38394780572153697,-0.3873164513814999,-0.5395478057215369,-0.5414727460986586,0.449152194278463,0.4478047360144778,-20.713565552525047,-1002.268887359528,-1000.4402925051716,-1999.3214945355012,-1999.4402925051718,-1998.2048091069264,-1998.2048091069264,-999.8304077070967,-1999.055541171179,-1998.8802135032429,-1998.2342091069265,-1998.2342091069265,-10.909476799399787,-10.041994837074949,-8.854609831727249
49720181,-0.5397146402114694,-0.5430740465624817,-0.6279185372762179,-0.629838198048225,0.38773990389788254,0.38639614135747763,-20.713565552525047,-1002.268887359528,-1000.4086428957219,-1999.166060166965,-1999.408642895722,-1998.2048091069264,-1998.2048091069264,-1998.2342091069265,-1998.2342091069265,-1998.2342091069265,-1998.2342091069265,-1998.2342091069265,-9.61636499563986,-8.734909761297732,-8.493737575288645
56925673,-999.5463234999523,-999.5540861042592,-0.7019234999522885,-0.7063592738419492,0.2867765000477114,0.2836714583249489,-17.668134210337957,-1001.0975358408349,-1000.3762357685949,-1998.2361580839533,-1999.376235768595,-1998.2361580839533,-1998.2361580839533,-1998.7759811477147,-2997.2655580839532,-2997.779092262813,-2997.2655580839532,-2997.2655580839532,-12.973050939762288,-11.218896314040204,-9.733697005426125
56925677,-1000.0788957638508,-1000.0990592126681,-1.2344957638508702,-1.2460177346035857,-0.24579576385087032,-0.2538611433777711,-16.749518869151434,-1001.0056742351907,-1000.4778967186929,-1998.2361580839533,-1999.477896718693,-1998.2361580839533,-1998.2361580839533,-2997.2655580839532,-2997.2655580839532,-2997.2655580839532,-2997.2655580839532,-2997.2655580839532,-16.209314245379925,-15.661742560726694,-11.583117819667448
62790969,-1.4127935108127327,-1.441336339562876,-1.5683935108127327,-1.5847036986699574,-0.5796935108127328,-0.5911106423127901,-20.110468873176664,-1001.9753758938408,-1001.097713409342,-1998.2208816628076,-2000.0977134093418,-2000.1757777566208,-1999.711750548679,-1998.4116123254157,-1998.2502816628075,-1998.533134841428,-2000.0386802603955,-1998.2502816628075,-24.88081066478028,-20.659554837634143,-14.379138794639369
62790973,-1.445922268505713,-1.4689013813816643,-1.6015222685057129,-1.6146531901491137,-0.612822268505713,-0.6220139136560934,-19.792984971199125,-1001.816633942852,-1000.9038251596352,-1998.2208816628076,-1999.9038251596353,-2000.0646679634917,-2000.4232112003754,-1998.2502816628075,-1998.2502816628075,-1998.2502816628075,-1998.2502816628075,-1998.2502816628075,-25.42305306642092,-20.77753666270843,-14.395365872938237
74165353,-0.9249123706680583,-0.9370470485423656,-0.3586123706680583,-0.3655464723105196,-999.924912370668,-999.9297662418178,-36.44056213485007,-1009.9055350879788,-1001.1238489889622,-1998.230905835736,-2000.1238489889622,-1998.230905835736,-1998.230905835736,-1998.6677342731657,-1998.2603058357358,-1998.6677342731657,-1998.2603058357358,-1998.2603058357358,-13.9778105323659,-12.423947812037186,-10.43937648551233
74165357,-0.980435281632603,-0.9898411514572829,-0.3252974146827574,-0.33067219743971743,-999.8560622679029,-999.8598246158327,-36.78897750960593,-1010.0797427753567,-1000.7553036166076,-1999.650754056082,-1999.7553036166078,-1998.230905835736,-1998.230905835736,-1998.2603058357358,-1998.2603058357358,-1998.2603058357358,-1998.2603058357358,-1998.2603058357358,-14.135796198017328,-11.962982334726568,-10.01265466831543
