trip_id,DRIVEALONEFREE,DRIVEALONEPAY,SHARED2FREE,SHARED2PAY,SHARED3FREE,SHARED3PAY,WALK,BIKE,WALK_LOC,WALK_LRF,WALK_EXP,WALK_HVY,WALK_COM,DRIVE_LOC,DRIVE_LRF,DRIVE_EXP,DRIVE_HVY,DRIVE_COM,TAXI,TNC_SINGLE,TNC_SHARED
1632353,-0.3913371116886336,-0.3940584466273948,0.46606288831136644,0.4645078397749315,-999.3913371116886,-999.3924256456642,-6.411452501409085,-999.9320014254737,-1000.3512426205933,-1998.2235846246886,-1999.3512426205934,-1998.5613341536389,-1998.2235846246886,-1998.2529846246887,-1998.2529846246887,-1998.2529846246887,-1998.2529846246887,-1998.2529846246887,-8.487941430695836,-8.146155596436591,-8.331487507943027
1632357,-0.45771200796593536,-0.4636585123569909,0.489346181643865,0.4859481791346904,-999.3321905425122,-999.3345691442686,-5.870348184697659,-999.8778908984351,-999.9232428967006,-1998.2235846246886,-1998.9232428967007,-1998.6069616167179,-1998.2235846246886,-1998.2529846246887,-1998.2529846246887,-1998.2529846246887,-1998.2529846246887,-1998.2529846246887,-8.01686142731819,-7.713093461682898,-8.022209522076206
2407417,-1.6105035523946338,-1.6390624224278423,-1000.6105035523947,-1000.6268229066993,-1000.6105035523947,-1000.6219271004079,-40.840585154393594,-1011.8425775380643,-1000.9466247598687,-1998.2110677163632,-1999.9466247598689,-2000.2253769990466,-1998.2110677163632,-1000.5277408039784,-1998.2404677163634,-1999.758446518204,-1999.97934415776,-1998.2404677163634,-18.771338957327448,-14.5061813897627,-6.9639437319083894
2407421,-1.5351064960918719,-1.5540481728201125,-1000.4457867100047,-1000.4566105252779,-1000.4100587955697,-1000.4176354662611,-38.29080335507719,-1010.5676847310575,-1000.2057202915626,-1998.2110677163632,-1999.2057202915626,-1999.1355051306755,-1998.2110677163632,-1998.2404677163634,-1998.2404677163634,-1998.2404677163634,-1998.2404677163634,-1998.2404677163634,-15.99841962471099,-10.840120679734097,-5.699999786061268
3126065,-999.159241534455,-999.1613969546777,-999.159241534455,-999.1604732031536,-999.159241534455,-999.1601037025441,0.1710080338259426,-998.806630711482,-999.3835255602744,-1997.9803090105038,-1998.3835255602744,-1997.8514694567898,-1997.8514694567898,-1998.109011858919,-1998.109011858919,-1998.109011858919,-1998.109011858919,-1998.109011858919,-8.026797107238275,-8.100842439642086,-7.91266839566736
3126069,-1004.1694998939145,-1004.1699521377237,-1001.9707435805024,-1001.9710020055362,-1001.0912410551375,-1001.0914219526612,-0.103066610024384,-998.9436680334071,-999.5104976138455,-1997.979196398951,-1998.5104976138455,-1997.8514694567898,-1997.8514694567898,-1998.109011858919,-1998.109011858919,-1998.109011858919,-1998.109011858919,-1998.109011858919,-7.751843170847435,-7.97663925898191,-7.6775890839238
3126070,-1002.5860328953112,-1002.5903546300258,-1001.1099717560418,-1001.1124413187357,-1000.5195473003339,-1000.5212759942198,0.32169311020996405,-998.7308085101423,-999.2106957227761,-1998.8532333733797,-1998.3856957227763,-1997.8505101304945,-1997.8505101304945,-1998.1080525326238,-1998.1080525326238,-1998.1080525326238,-1998.1080525326238,-1998.1080525326238,-7.833777661307585,-8.096008751123938,-7.870287854756752
7781369,-1.0213024044787624,-1.0339911403907027,-1000.0213024044788,-1000.0285531107141,-1000.0213024044788,-1000.0263778988435,-48.73289557499486,-1015.8010500680406,-1998.5321489823855,-1998.7345797823982,-1998.5321489823855,-1998.2357023557147,-1998.2357023557147,-1998.6939663942449,-1998.2651023557146,-1998.8694368239037,-1998.2651023557146,-1998.2651023557146,-7.429450548733914,-5.775935308582262,-3.6070407641033824
7781373,-1.0320253008081177,-1.0446159020402863,-1000.0229663654595,-1000.0301609947351,-1000.0193427913201,-1000.0243790318129,-43.96511908573705,-1013.4171618234117,-1998.3499463101348,-1998.2357023557147,-1998.3499463101348,-1998.2357023557147,-1998.2357023557147,-1998.2651023557146,-1998.2651023557146,-1998.2651023557146,-1998.2651023557146,-1998.2651023557146,-7.88315004899799,-6.158436578791403,-3.5727847441845775
8452457,-0.8725520066045863,-0.8778019563507525,-999.8725520066046,-999.8755519778881,-999.8725520066046,-999.8746519865031,-32.11450637432308,-1007.4907820717451,-1001.2370287333133,-1998.233560332167,-2000.2370287333133,-1998.233560332167,-1998.2335603321667,-999.9820460923355,-1999.287576121196,-1998.9820460923356,-1998.262960332167,-1998.2629603321668,-3.61165659891498,-2.9711750160705503,-2.2747312708605745
8452461,-0.6742629661037254,-0.6780190412817656,-999.6693025627999,-999.6714488914731,-999.6673184014784,-999.6688208315496,-9.202105174982258,-1000.1500047937986,-1000.1732231700236,-1998.233560332167,-1999.1732231700237,-1998.233560332167,-1998.233560332167,-1998.262960332167,-1998.262960332167,-1998.262960332167,-1998.262960332167,-1998.262960332167,-1.8669188299738666,-1.6182533740298408,-1.7856428734734555
