trip_id,DRIVEALONEFREE,DRIVEALONEPAY,SHARED2FREE,SHARED2PAY,SHARED3FREE,SHARED3PAY,WALK,BIKE,WALK_LOC,WALK_LRF,WALK_EXP,WALK_HVY,WALK_COM,DRIVE_LOC,DRIVE_LRF,DRIVE_EXP,DRIVE_HVY,DRIVE_COM,TAXI,TNC_SINGLE,TNC_SHARED
1385761,-0.32484864240200445,-0.32861337047310174,-0.48044864240200447,-0.48259991558548865,0.5082513575979954,0.5067454663695565,-3.846367528975074,-999.6729449483514,-1000.2121509352094,-1998.1890312474848,-1999.2121509352096,-1998.1890312474848,-1998.1890312474848,-999.3799893418714,-1998.2184312474847,-1998.3799893418714,-1998.2184312474847,-1998.2184312474847,-8.740392939667249,-8.541486834806728,-8.51162605512404
1385765,-0.4784412179897171,-0.4819489397727663,-0.5135782790496035,-0.5155826914970603,0.5233068965264418,0.5219038078132221,-3.726016452848975,-999.6609097572923,-1000.8846784786782,-1998.1890312474848,-1999.8846784786783,-1998.1890312474848,-1998.1890312474848,-1998.2184312474847,-1998.2184312474847,-1998.2184312474847,-1998.2184312474847,-1998.2184312474847,-8.442829390965294,-8.131530386137506,-8.172114938546489
3315713,-0.37450364541398456,-0.37513435582744054,-999.3742650679058,-999.3746254738563,-999.3741696369025,-999.3744219210679,-8.671267576019245,-1000.0466225238723,-1000.288062458911,-1998.2341620009347,-1999.288062458911,-1998.2341620009347,-1998.2341620009347,-1998.2635620009346,-1998.2635620009346,-1998.2635620009346,-2000.7001551763267,-1998.2635620009346,-1.8997322290444374,-1.641983472635746,-0.9405784885340929
3315714,-0.19174401463369303,-0.19210307836750917,-999.1915054371256,-999.191710616402,-999.1914100061222,-999.1915536316158,-5.590158585463907,-999.7363431512941,-1000.2969136256792,-1999.3944700464695,-1999.471913625679,-1998.2317525991548,-1998.2317525991548,-1998.261152599155,-1998.261152599155,-1998.261152599155,-1998.261152599155,-1998.261152599155,-0.38828409773528577,-0.10364601427733894,-0.6465947138559818
3315717,-0.09990477572113385,-0.10014004476577153,-999.0993223630962,-999.0994568025503,-999.0990893980463,-999.0991835056642,-6.407850150023844,-999.8181123792757,-1000.5719433151544,-1999.3473363696153,-1999.5719433151544,-2000.120456469046,-1998.2317525991548,-1998.261152599155,-1998.261152599155,-1998.261152599155,-1998.261152599155,-1998.261152599155,-1.598344055866003,-1.2907663719403744,-0.49292593303054577
3315721,-0.4207409622344236,-0.42160929936497016,-0.5756093318458614,-0.576105524491888,0.41338332030956343,0.4130359854573448,-24.178808323204553,-1004.0145569900632,-1000.716894748207,-1999.521063666358,-1999.716894748207,-1998.230905835736,-1998.230905835736,-1000.2031644162631,-1998.2603058357358,-1999.2678807255722,-2000.7768530186584,-1998.2603058357358,-7.881190346202255,-7.523619812449812,-8.052592569610477
3315722,-0.30605752487485277,-0.3066354878026711,-0.45868799951297134,-0.45901826404315327,0.5311998106317811,0.5309686254606538,-13.492312345405406,-1000.6748264112432,-1000.1254625826629,-1999.4053550711442,-1999.300462582663,-1998.23046122665,-1998.23046122665,-999.5762490493186,-1998.2598612266502,-1998.5771855068335,-1998.2598612266502,-1998.2598612266502,-7.612178532146215,-7.304314009212256,-7.828943230361045
3315723,-0.7260116405566222,-0.7272625663502699,-0.879373745583303,-0.8800885603225302,0.11022141240602468,0.10972104208856559,-13.191418512965997,-1000.6482491281049,-1000.1053002810239,-1998.2343636130827,-1999.280300281024,-1998.2343636130827,-1998.2343636130827,-999.7891852848333,-1998.2637636130828,-1998.8882807396453,-1998.2637636130828,-1998.2637636130828,-8.132980503334998,-7.858672449364662,-8.521006179130971
3315725,-0.13437824691313924,-0.13467620745438755,-0.2899127927697239,-0.2900830559361516,0.6988133888876421,0.6986942046711427,-12.98697934975799,-1000.6278050925748,-1000.5134303619044,-1999.4971216390989,-1999.5134303619045,-1998.2343636130827,-1998.2343636130827,-1998.2637636130828,-1998.2637636130828,-1998.2637636130828,-1998.2637636130828,-1998.2637636130828,-7.342484242383428,-7.033591104451604,-7.553584035723508
22986529,-0.10970576992240111,-0.11503966046151719,-999.1097057699224,-999.1127537073734,-999.1097057699224,-999.111839326138,-2.4901326921747904,-999.4246529985712,-999.395712920115,-1998.2340733049678,-1998.395712920115,-1998.2340733049678,-1998.2340733049678,-1998.2634733049676,-1998.2634733049676,-1998.2634733049676,-1998.2634733049676,-1998.2634733049676,-2.084463195602271,-2.13105462735669,-0.8501653728661895
