trip_id,DRIVEALONEFREE,DRIVEALONEPAY,SHARED2FREE,SHARED2PAY,SHARED3FREE,SHARED3PAY,WALK,BIKE,WALK_LOC,WALK_LRF,WALK_EXP,WALK_HVY,WALK_COM,DRIVE_LOC,DRIVE_LRF,DRIVE_EXP,DRIVE_HVY,DRIVE_COM,TAXI,TNC_SINGLE,TNC_SHARED
11369385,-999.2167537365785,-999.2186208466082,-4.221753736578559,-4.222820656595551,-28.91395373657856,-28.914700580590452,-4.2646649112633845,-1000.21886865701,-2.0790839030722137,-998.2941441351479,-1.653643893335199,-998.8887441351478,-998.8295441351479,-1998.3767721351478,-1998.3767721351478,-1998.3767721351478,-1998.3767721351478,-1998.3767721351478,-7.573824246625817,-7.779904547349291,-6.010631570523489
11369389,-999.7740004754613,-999.7784838488833,-4.680863414910831,-4.683425342580543,-29.333808590690634,-29.335601940059433,-5.903539203637042,-1000.3827560385637,-1.615595026818041,-998.2941441351479,-1.2055150222809354,-998.8887441351478,-998.8295441351479,-1998.3767721351478,-1998.3767721351478,-1998.3767721351478,-1998.3767721351478,-1998.3767721351478,-6.122405952181882,-6.336812702610628,-6.723211261637561
19009161,-0.588878000833494,-0.5984482163290354,-999.5888780008335,-999.5943466954024,-999.5888780008335,-999.5927060870317,-9.920035071979669,-1000.8112154657708,-1001.5490176664697,-1998.7705105582238,-2000.3398176716673,-1998.7705105582238,-1998.7705105582238,-999.6569699630593,-1998.4095385582239,-1998.6569699630593,-1998.4095385582239,-1998.4095385582239,-11.277913596021413,-11.050195054061085,-10.280608097842604
19009165,-1.0134474321525426,-1.025754396580121,-999.9024649581055,-999.909497509207,-999.8580719684867,-999.8629947542577,-14.507621474872735,-1001.2699740583764,-1001.9514698897876,-1998.7705105582238,-2000.7593098943507,-1998.7705105582238,-1998.7705105582238,-1998.4095385582239,-1998.4095385582239,-1998.4095385582239,-1998.4095385582239,-1998.4095385582239,-12.276860064593894,-12.022929245886804,-10.794262598014598
28347649,-0.4203405614566468,-0.4290568507254277,-999.4203405614567,-999.4253212981816,-999.4203405614567,-999.4238270771641,-1.6413787318877358,-999.6085794335179,-1000.381487807055,-1998.737744135148,-1999.2707677984433,-1998.8664666534312,-1998.7377441351478,-999.6502178948165,-1998.3767721351478,-1998.6502178948163,-1998.3767721351478,-1998.3767721351478,-11.196144397618532,-12.010373002629159,-9.655582825845636
28347653,-0.35308080693688537,-0.35980838895629524,-999.2769014601597,-999.2807457927422,-999.2464297214489,-999.2491207542566,-1.6543830348662514,-999.6150815850071,-1001.0867162818106,-1998.7377441351478,-1999.961596267858,-1998.8647575167158,-1998.7377441351478,-1998.3767721351478,-1998.3767721351478,-1998.3767721351478,-1998.3767721351478,-1998.3767721351478,-8.875784198563355,-9.714450793912677,-8.906823172435251
30415361,-999.301691362152,-999.3072993522368,-999.296792991378,-999.2999975571406,-999.2948336430683,-999.2970768391021,-1.010326846209267,-999.8324067293079,-1000.4278565125198,-2000.6763184554434,-1999.3959845119743,-1998.7585506124065,-1998.7585506124065,-1998.3975786124065,-1998.3975786124065,-1998.3975786124065,-1998.3975786124065,-1998.3975786124065,-8.652173292701042,-9.471176233423712,-9.2911939949525
30415362,-999.3134482184461,-999.3174023690763,-999.308549847672,-999.3108093623177,-999.3065904993623,-999.3081721596144,-1.3262386220872044,-999.9738352357327,-1000.5864690502118,-1999.0395573108833,-1999.8021490480728,-1998.7254958493781,-1998.7254958493781,-1998.3645238493782,-1998.3645238493782,-1998.3645238493782,-1998.3645238493782,-1998.3645238493782,-8.859821289644366,-9.475517251258115,-9.322013715605502
30415365,-1000.6538535680805,-1000.6578301819574,-1000.0123249755098,-1000.0145973262967,-999.7557135384816,-999.7573041840324,-2.720409323590958,-1000.15652964105,-1000.4510570488716,-1998.7254958493781,-1999.407857047751,-1998.7254958493781,-1998.7254958493781,-1998.3645238493782,-1998.3645238493782,-1998.3645238493782,-1998.3645238493782,-1998.3645238493782,-8.526233852105545,-9.330629978735782,-8.938845829733271
38825609,-999.2109723078405,-999.2142883433377,-999.2109723078405,-999.2128671852674,-999.2109723078405,-999.2122987220393,-9.50779459842214,-1000.8816607254363,-1000.7080229001191,-1998.7770433070173,-1999.6016762258555,-1998.7770433070173,-1998.7770433070173,-1000.0812136563029,-1998.4160713070173,-1999.0996372516122,-1998.4160713070173,-1998.4160713070173,-8.18246184001631,-8.510730106218952,-8.725150277043074
38825613,-999.2920646170966,-999.2953495674022,-999.2745985794111,-999.2764756938715,-999.2676121643369,-999.2689261444591,-3.4499951399184177,-1000.2758808987952,-1001.4195062174308,-1998.7770433070173,-2000.345266218375,-1998.7770433070173,-1998.7770433070173,-1000.1852408897586,-1998.4160713070173,-1999.1852408897585,-1998.4160713070173,-1998.4160713070173,-8.289214781328726,-8.55930506098372,-8.845772077640735
40008049,-0.29445055051083674,-0.2962761595594065,-999.2944505505109,-999.2954937556815,-999.2944505505109,-999.2951807941303,-18.04280888457937,-1001.6290914931838,-1999.4779440281427,-1998.776731064244,-1999.4779440281427,-1998.776731064244,-1998.776731064244,-1998.8086443997659,-1998.415759064244,-1998.8700552103558,-1998.415759064244,-1998.415759064244,-9.49952353533344,-8.799709217218197,-8.796844745936776
40008053,-0.7485829567337234,-0.7550349482794032,-999.7098008014713,-999.7134876537831,-999.6942879393663,-999.6968687359846,-21.816085213619896,-1002.0064189353529,-1000.8501167644921,-1998.776731064244,-1999.850116764492,-1998.776731064244,-1998.776731064244,-1998.415759064244,-1998.415759064244,-1998.415759064244,-1998.415759064244,-1998.415759064244,-10.087687560372826,-9.759835550383366,-9.56607984030991
40397713,-0.7429938470236814,-0.7539529768838555,-0.3125938470236814,-0.3188562069437809,-999.7429938470236,-999.7473774989678,-23.38910212035158,-1002.4018914981363,-1002.1049824750341,-1998.778920975126,-2000.8745824640907,-1998.7789209751259,-1998.7789209751259,-1001.0412542686431,-1998.417948975126,-1999.8396542686432,-1998.417948975126,-1998.417948975126,-15.628399758878285,-13.534302578827283,-11.390375019723201
40397717,-1.7965338428649,-1.827677060605117,-1.2415556195490156,-1.2593517439719966,-1000.6221243302226,-1000.6345816173188,-17.938914437246112,-1001.8568725867746,-1001.3161819252676,-1998.7789209751259,-2000.1213019314712,-1998.7789209751259,-1998.7789209751259,-1998.417948975126,-1998.417948975126,-1998.417948975126,-1998.417948975126,-1998.417948975126,-19.875300032246784,-19.0073342857905,-14.288845955923128
43861721,-0.9176545600610893,-0.9383453215794204,-999.9176545600611,-999.9294778523573,-999.9176545600611,-999.9259308646684,-3.8601807615946213,-1000.2150286673258,-1001.4818638650854,-1998.7813980204905,-2000.3309838561495,-1998.7813980204905,-1998.7813980204905,-1000.2955929585174,-1998.4204260204906,-1999.3675634420588,-1998.4204260204906,-1998.4204260204906,-12.512040874012545,-13.8457083045988,-11.955369368158946
43861725,-1.3888278200172215,-1.4178509064543534,-1000.374273069261,-1000.3908576900822,-1000.3684511689585,-1000.3800604035333,-16.012982394475785,-1001.4303089617441,-1000.8175383009708,-1998.7813980204905,-1999.7812183000838,-1998.7813980204905,-1998.7813980204905,-1998.4204260204906,-1998.4204260204906,-1998.4204260204906,-1998.4204260204906,-1998.4204260204906,-15.888373323585412,-16.881976622783387,-13.693347798916362
59712649,-0.8166742535773461,-0.8335936819686698,-999.8166742535774,-999.8263424983724,-999.8166742535774,-999.8234420249339,-18.962022584971717,-1001.716716448459,-1001.1164092238433,-1998.7719573760255,-1999.9244092221743,-1998.7719573760255,-1998.7719573760255,-1000.0169024373918,-1998.4109853760256,-1999.0169024373918,-1998.4109853760256,-1998.4109853760256,-14.132816846176212,-13.858690183959311,-10.716670808747804
59712653,-0.5877977675908642,-0.5955723449922006,-999.5774699803856,-999.5819125960434,-999.5733388655034,-999.5764486964639,-19.777309221324256,-1001.7982451120943,-1000.9760582454039,-1998.7719573760255,-1999.9514182459097,-1998.7719573760255,-1998.7719573760255,-1998.4109853760256,-1998.4109853760256,-1998.4109853760256,-1998.4109853760256,-1998.4109853760256,-11.486648161365196,-10.714071563970966,-9.972243012764764
64801241,-1.98568036028537,-2.016485358104809,-2.29738036028537,-2.3149832161821924,-1.3563803602853701,-1.3687023594131456,-65.06555312132814,-1021.8698578162669,-1003.9363891949429,-1998.7789209751259,-2002.6791092028393,-1998.7789209751259,-1998.7789209751259,-1998.9647939736974,-1998.417948975126,-1999.2385382797847,-2000.0755298097624,-1998.417948975126,-24.77370973530933,-21.16621028965299,-15.192301328783216
64801245,-2.0595014725957776,-2.0887048410630435,-2.3233504577845285,-2.3400380969086805,-1.363210051860029,-1.3748913992469352,-57.98241560912111,-1018.3282861991404,-1999.3898628507704,-1998.7789209751259,-1999.3898628507704,-1998.7789209751259,-1998.7789209751259,-1998.417948975126,-1998.417948975126,-1998.417948975126,-1998.417948975126,-1998.417948975126,-25.34785366331905,-21.1629122595019,-15.061669418631258
67876241,-0.4077607735256197,-0.4106341849695169,-999.4077607735256,-999.4094027229221,-999.4077607735256,-999.4089101381031,-25.269297257917383,-1002.3060088292293,-1002.2057417256941,-1998.725918602926,-2000.7915016932593,-1998.725918602926,-1998.725918602926,-1000.5862803952017,-1998.364946602926,-1999.8164413162986,-1998.364946602926,-1998.364946602926,-9.065809302007075,-8.587215737619594,-8.728512349728794
