,lever_position_price,incRank,Potential_INEXUS_in_dollar_2023,Realized_INEXUS_in_dollar_2023,incomeInThousands,potential_in_dollar_2023_relative_to_baseline,realized_in_dollar_2023_relative_to_baseline
0,0.0,0,-1.6688027642147483,-4.967680250526977,6.758091255179848,0.8031292970764083,8.885904187789215
1,0.0,1,-1.868495911998376,-5.017633608388521,17.570868126278544,0.7682310368870736,11.583297537445143
2,0.0,2,-1.968030414285741,-5.093638922265065,25.73620470637007,0.7479625854826427,9.703251912889884
3,0.0,3,-2.3581093387052032,-5.982361104864962,33.45560421417788,0.8613914720833898,17.413996861354807
4,0.0,4,-2.4646116558528925,-6.184282214035685,41.43182525901871,0.8822573190864493,21.27298694393236
5,0.0,5,-2.5608160934129462,-6.2193080201598,49.08610506294321,0.8367395126383311,23.655209520688395
6,0.0,6,-2.5602313733333744,-6.217622851186452,56.88459105274093,0.8137036336226172,18.838771578129606
7,0.0,7,-2.8677964337724506,-6.852713098320505,64.64815115983549,0.9859934156262667,28.077008752231972
8,0.0,8,-2.9803786270039283,-6.98164221301666,72.57542559471942,0.868786907517925,28.18574575242623
9,0.0,9,-3.0165904851138396,-6.992558571257358,81.46598707398083,0.9194517916324632,26.336617729564455
10,0.0,10,-3.0144119734535604,-6.99576103948829,91.0214486372925,0.9268809377004532,28.702523309568246
11,0.0,11,-3.133797230534326,-7.329433692125877,100.55196286339148,0.9175195140018578,30.080576201357772
12,0.0,12,-3.2653010206777586,-7.7123715480613715,110.66416216970599,0.9751688893487935,28.937979658453145
13,0.0,13,-3.2824491193325223,-7.671235322002005,121.98878368187286,0.9212110390418345,34.17226243505805
14,0.0,14,-3.3071583348493303,-7.682114212653559,135.1146471405629,0.942172611673999,26.442228382977014
15,0.0,15,-3.374275347635688,-7.711443410481419,150.42382829942767,0.9781464378903758,29.062904865994582
16,0.0,16,-3.389615817561978,-7.714318469476722,168.16379602142484,0.9630345318656381,35.34919994577788
17,0.0,17,-3.4728014361734183,-7.8087000306958,191.51086065712832,0.9587305695791096,30.184827258964624
18,0.0,18,-3.5507286843949175,-7.870757773861552,225.07587281125294,1.0396817437680348,30.035201036151605
19,0.0,19,-3.444743531559379,-7.834573610560242,298.27151440197144,0.913554786150664,33.69334376027911
20,0.0,20,-3.298483111376172,-7.618061520396177,486.300354484114,0.9234134243339737,27.50392890839764
21,0.125,0,-1.8970849725802286,-4.6533461142808585,6.769686215583153,0.605192411610054,9.497513913132627
22,0.125,1,-2.11104950530804,-4.813423071181094,17.57170387362043,0.5592965560516936,10.91171907691325
23,0.125,2,-2.2250132878981645,-4.873672195034468,25.72392219088169,0.5479850502153585,9.237880774442411
24,0.125,3,-2.5689069314085384,-5.819219011314994,33.46276504895032,0.7023134760258885,18.003240153159865
25,0.125,4,-2.6765259157065127,-5.986755920061871,41.43708643001306,0.686083046644651,19.461209345535405
26,0.125,5,-2.7251704187209644,-6.01795062290126,49.08377277451766,0.6859912655381011,22.430826097324168
27,0.125,6,-2.7443210091418133,-6.031471256256589,56.87820685714286,0.6406329838367603,20.372751895575405
28,0.125,7,-3.0368371488765313,-6.668469745457076,64.63966863992728,0.8283391597197611,21.407826282869383
29,0.125,8,-3.1334496359822968,-6.747018127352882,72.57577124722583,0.7799957799893479,33.788653201544996
30,0.125,9,-3.175919161669331,-6.784953868178294,81.46782622040035,0.7980296996804133,28.4504867788472
31,0.125,10,-3.190301053074869,-6.79406422092348,91.01934088204291,0.7780283896137518,25.859337167374644
32,0.125,11,-3.3284641555801824,-7.182305693076016,100.55416591229657,0.8100491900672989,27.19826247523168
33,0.125,12,-3.444788555682459,-7.584257808189455,110.66103443445512,0.8579193775614248,31.47739376032213
34,0.125,13,-3.438800483288838,-7.507530596359547,121.97854713138071,0.8076866674578346,33.5159382171259
35,0.125,14,-3.48318586251949,-7.523770000779849,135.14104860361576,0.822651610827177,28.707643872882226
36,0.125,15,-3.5423927402884416,-7.567146931641299,150.43329044125844,0.9175137647476166,31.061760346023885
