lever_position_wav,in_wheelchair,mode_choice_planned_BEAM,mode_choice_actual_BEAM,IDMerged,IDMerged,IDMerged,IDMerged,IDMerged,IDMerged,IDMerged,IDMerged,tripIndex,tripIndex,tripIndex,tripIndex,tripIndex,tripIndex,tripIndex,tripIndex,actStartTime,actStartTime,actStartTime,actStartTime,actStartTime,actStartTime,actStartTime,actStartTime,actEndTime,actEndTime,actEndTime,actEndTime,actEndTime,actEndTime,actEndTime,actEndTime,duration_travelling,duration_travelling,duration_travelling,duration_travelling,duration_travelling,duration_travelling,duration_travelling,duration_travelling,cost_BEAM,cost_BEAM,cost_BEAM,cost_BEAM,cost_BEAM,cost_BEAM,cost_BEAM,cost_BEAM,duration_walking,duration_walking,duration_walking,duration_walking,duration_walking,duration_walking,duration_walking,duration_walking,distance_travelling,distance_travelling,distance_travelling,distance_travelling,distance_travelling,distance_travelling,distance_travelling,distance_travelling,replanning_status,replanning_status,replanning_status,replanning_status,replanning_status,replanning_status,replanning_status,replanning_status,fuel_marginal,fuel_marginal,fuel_marginal,fuel_marginal,fuel_marginal,fuel_marginal,fuel_marginal,fuel_marginal,BlockGroupStart,BlockGroupStart,BlockGroupStart,BlockGroupStart,BlockGroupStart,BlockGroupStart,BlockGroupStart,BlockGroupStart,startX,startX,startX,startX,startX,startX,startX,startX,startY,startY,startY,startY,startY,startY,startY,startY,bgid_start,bgid_start,bgid_start,bgid_start,bgid_start,bgid_start,bgid_start,bgid_start,tractid_start,tractid_start,tractid_start,tractid_start,tractid_start,tractid_start,tractid_start,tractid_start,BlockGroupEnd,BlockGroupEnd,BlockGroupEnd,BlockGroupEnd,BlockGroupEnd,BlockGroupEnd,BlockGroupEnd,BlockGroupEnd,endX,endX,endX,endX,endX,endX,endX,endX,endY,endY,endY,endY,endY,endY,endY,endY,bgid_end,bgid_end,bgid_end,bgid_end,bgid_end,bgid_end,bgid_end,bgid_end,tractid_end,tractid_end,tractid_end,tractid_end,tractid_end,tractid_end,tractid_end,tractid_end,emission_marginal,emission_marginal,emission_marginal,emission_marginal,emission_marginal,emission_marginal,emission_marginal,emission_marginal,duration_door_to_door,duration_door_to_door,duration_door_to_door,duration_door_to_door,duration_door_to_door,duration_door_to_door,duration_door_to_door,duration_door_to_door,waitTime_no_replanning,waitTime_no_replanning,waitTime_no_replanning,waitTime_no_replanning,waitTime_no_replanning,waitTime_no_replanning,waitTime_no_replanning,waitTime_no_replanning,waitTime_replanning,waitTime_replanning,waitTime_replanning,waitTime_replanning,waitTime_replanning,waitTime_replanning,waitTime_replanning,waitTime_replanning,trip_id,trip_id,trip_id,trip_id,trip_id,trip_id,trip_id,trip_id,destination_logsum_x,destination_logsum_x,destination_logsum_x,destination_logsum_x,destination_logsum_x,destination_logsum_x,destination_logsum_x,destination_logsum_x,depart,depart,depart,depart,depart,depart,depart,depart,logsum_trip_Potential_INEXUS,logsum_trip_Potential_INEXUS,logsum_trip_Potential_INEXUS,logsum_trip_Potential_INEXUS,logsum_trip_Potential_INEXUS,logsum_trip_Potential_INEXUS,logsum_trip_Potential_INEXUS,logsum_trip_Potential_INEXUS,destination_y,destination_y,destination_y,destination_y,destination_y,destination_y,destination_y,destination_y,origin_y,origin_y,origin_y,origin_y,origin_y,origin_y,origin_y,origin_y,start,start,start,start,start,start,start,start,end,end,end,end,end,end,end,end,duration,duration,duration,duration,duration,duration,duration,duration,age,age,age,age,age,age,age,age,DIS,DIS,DIS,DIS,DIS,DIS,DIS,DIS,value_of_time,value_of_time,value_of_time,value_of_time,value_of_time,value_of_time,value_of_time,value_of_time,lcm_county_id,lcm_county_id,lcm_county_id,lcm_county_id,lcm_county_id,lcm_county_id,lcm_county_id,lcm_county_id,block_id,block_id,block_id,block_id,block_id,block_id,block_id,block_id,income,income,income,income,income,income,income,income,hhsize,hhsize,hhsize,hhsize,hhsize,hhsize,hhsize,hhsize,hh_value_of_time,hh_value_of_time,hh_value_of_time,hh_value_of_time,hh_value_of_time,hh_value_of_time,hh_value_of_time,hh_value_of_time,auto_ownership,auto_ownership,auto_ownership,auto_ownership,auto_ownership,auto_ownership,auto_ownership,auto_ownership,DRIVEALONEFREE,DRIVEALONEFREE,DRIVEALONEFREE,DRIVEALONEFREE,DRIVEALONEFREE,DRIVEALONEFREE,DRIVEALONEFREE,DRIVEALONEFREE,DRIVEALONEPAY,DRIVEALONEPAY,DRIVEALONEPAY,DRIVEALONEPAY,DRIVEALONEPAY,DRIVEALONEPAY,DRIVEALONEPAY,DRIVEALONEPAY,SHARED2FREE,SHARED2FREE,SHARED2FREE,SHARED2FREE,SHARED2FREE,SHARED2FREE,SHARED2FREE,SHARED2FREE,SHARED2PAY,SHARED2PAY,SHARED2PAY,SHARED2PAY,SHARED2PAY,SHARED2PAY,SHARED2PAY,SHARED2PAY,SHARED3FREE,SHARED3FREE,SHARED3FREE,SHARED3FREE,SHARED3FREE,SHARED3FREE,SHARED3FREE,SHARED3FREE,SHARED3PAY,SHARED3PAY,SHARED3PAY,SHARED3PAY,SHARED3PAY,SHARED3PAY,SHARED3PAY,SHARED3PAY,WALK,WALK,WALK,WALK,WALK,WALK,WALK,WALK,BIKE,BIKE,BIKE,BIKE,BIKE,BIKE,BIKE,BIKE,WALK_LOC,WALK_LOC,WALK_LOC,WALK_LOC,WALK_LOC,WALK_LOC,WALK_LOC,WALK_LOC,WALK_LRF,WALK_LRF,WALK_LRF,WALK_LRF,WALK_LRF,WALK_LRF,WALK_LRF,WALK_LRF,WALK_EXP,WALK_EXP,WALK_EXP,WALK_EXP,WALK_EXP,WALK_EXP,WALK_EXP,WALK_EXP,WALK_HVY,WALK_HVY,WALK_HVY,WALK_HVY,WALK_HVY,WALK_HVY,WALK_HVY,WALK_HVY,WALK_COM,WALK_COM,WALK_COM,WALK_COM,WALK_COM,WALK_COM,WALK_COM,WALK_COM,DRIVE_LOC,DRIVE_LOC,DRIVE_LOC,DRIVE_LOC,DRIVE_LOC,DRIVE_LOC,DRIVE_LOC,DRIVE_LOC,DRIVE_LRF,DRIVE_LRF,DRIVE_LRF,DRIVE_LRF,DRIVE_LRF,DRIVE_LRF,DRIVE_LRF,DRIVE_LRF,DRIVE_EXP,DRIVE_EXP,DRIVE_EXP,DRIVE_EXP,DRIVE_EXP,DRIVE_EXP,DRIVE_EXP,DRIVE_EXP,DRIVE_HVY,DRIVE_HVY,DRIVE_HVY,DRIVE_HVY,DRIVE_HVY,DRIVE_HVY,DRIVE_HVY,DRIVE_HVY,DRIVE_COM,DRIVE_COM,DRIVE_COM,DRIVE_COM,DRIVE_COM,DRIVE_COM,DRIVE_COM,DRIVE_COM,TAXI,TAXI,TAXI,TAXI,TAXI,TAXI,TAXI,TAXI,TNC_SINGLE,TNC_SINGLE,TNC_SINGLE,TNC_SINGLE,TNC_SINGLE,TNC_SINGLE,TNC_SINGLE,TNC_SINGLE,TNC_SHARED,TNC_SHARED,TNC_SHARED,TNC_SHARED,TNC_SHARED,TNC_SHARED,TNC_SHARED,TNC_SHARED,year,year,year,year,year,year,year,year,door_to_door_time_relative_to_baseline,door_to_door_time_relative_to_baseline,door_to_door_time_relative_to_baseline,door_to_door_time_relative_to_baseline,door_to_door_time_relative_to_baseline,door_to_door_time_relative_to_baseline,door_to_door_time_relative_to_baseline,door_to_door_time_relative_to_baseline,socialCarbonCost,socialCarbonCost,socialCarbonCost,socialCarbonCost,socialCarbonCost,socialCarbonCost,socialCarbonCost,socialCarbonCost
,,,,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
0.01,False,bike,bike,172724.0,3717007.1846066555,2138968.6280665095,107.0,1863218.0,3718659.0,5574805.0,7399581.0,172724.0,1219178597.255448,701581710.2357006,35313.0,611135708.0,1219720467.0,1828536354.0,2427062885.0,172724.0,51481.94709478706,17279.029469691384,18056.0,35108.0,52714.5,65498.0,185878.0,172724.0,50486.77095829184,17222.83556468383,18000.0,34081.0,51724.0,64483.0,185530.0,172724.0,995.1761364952177,887.2977962357699,0.0,518.0,806.0,1206.0,26797.0,172724.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,172724.0,194.2151119705426,582.6670059690948,0.0,0.0,14.0,161.0,21083.0,172724.0,4257.563441338233,3194.523093104259,0.001,2305.70475,3631.3735000000006,5370.40275,58738.6976581545,172724.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,172724.0,55594.23540451397,52579.71113631265,0.0106,28261.232399999997,44061.576499999996,66366.43304999998,1328370.3654000002,172724.0,60574614272.323456,359493534.1897792,60014001001.0,60133373005.0,60750207001.0,60855042012.0,60971543043.0,172724.0,-122.21672349422617,0.25238374611253056,-123.1107266,-122.4183775,-122.2553384,-122.00846004999984,-121.4187881,172724.0,37.749795838064216,0.31054201227984296,36.9506189,37.534362699999946,37.7728419,37.8866308,38.8524882,172724.0,60574614272.323456,359493534.1897792,60014001001.0,60133373005.0,60750207001.0,60855042012.0,60971543043.0,172724.0,6057461427.029596,35949353.41662946,6001400100.0,6013337300.0,6075020700.0,6085504201.0,6097154304.0,172723.0,60574670860.30543,359490250.3368982,60014001001.0,60133381011.0,60750208003.0,60855043072.0,60971543042.0,172724.0,-122.21665543487207,0.25285298134609485,-123.1729532,-122.4182981,-122.254847,-122.00838077499999,-121.4187881,172724.0,37.7497049453064,0.3106904713193965,36.9332662,37.5344392,37.7727361,37.8866308,38.8524882,172723.0,60574670860.30543,359490250.3368982,60014001001.0,60133381011.0,60750208003.0,60855043072.0,60971543042.0,172723.0,6057467085.828697,35949025.03110093,6001400100.0,6013338101.0,6075020800.0,6085504307.0,6097154304.0,172724.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,172724.0,995.1761364952177,887.2977962357699,0.0,518.0,806.0,1206.0,26797.0,172724.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,172724.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,172724.0,1219178597.255448,701581710.2357006,35313.0,611135708.0,1219720467.0,1828536354.0,2427062885.0,18975.0,7.954217441748613,2.9630395430419076,-21.0445328664562,6.198130361848711,7.592247909484284,9.332031167581935,24.874624759542726,172724.0,13.464370903869758,4.733106359070798,5.0,9.0,14.0,17.0,23.0,172724.0,-1.3766721033048344,1.0229576641359004,-31.95037458071468,-1.7636899891403421,-1.3064741468808947,-0.9145312218762625,2.749316625737075,172724.0,654.6842013848683,461.5440210540766,1.0,193.0,637.0,1065.0,1453.0,172724.0,659.2013443412612,456.8013530632015,1.0,198.0,644.0,1067.0,1453.0,172724.0,10.189736226581136,3.882075673918612,5.0,7.0,9.0,12.0,23.0,172724.0,16.442127324517728,3.3949052575755676,5.0,14.0,17.0,19.0,23.0,172724.0,6.252391097936592,4.228739164603474,0.0,2.0,7.0,10.0,18.0,172724.0,38.205234941293625,20.991376473422335,0.0,23.0,37.0,54.0,94.0,172724.0,1.924359093119659,0.2644234575316429,1.0,2.0,2.0,2.0,2.0,172724.0,7.271187899909459,7.948090896527486,0.667,2.3525984069786072,4.588043449721303,8.959548758556563,50.0,172724.0,6057.166960005558,35.94571979306979,6001.0,6013.0,6075.0,6085.0,6097.0,172724.0,60574789183563.92,359095291875.49585,60014001001015.0,60133382012011.0,60750216001004.0,60855041022003.0,60971543022001.0,172724.0,109422.110436303,107337.38933165692,-7500.0,40000.0,79620.0,142108.0,1269000.0,172724.0,3.2418945832657884,1.8767794327865697,1.0,2.0,3.0,4.0,20.0,172724.0,7.762161091714231,8.31878896142506,1.0,2.5659207737610443,4.9503698730361085,9.606489889323807,50.0,172724.0,1.9416062620133856,0.9493858987526197,0.0,1.0,2.0,2.0,4.0,172724.0,-1242.620340174397,451.4523662586852,-3017.957489835845,-1998.0856039785353,-999.7145024201411,-999.3485783715171,-0.062480165931756,172724.0,-1242.6239508484605,451.45295867792964,-3017.966647594156,-1998.0861556143857,-999.7182966539174,-999.3505306349542,-0.0625530423389138,172724.0,-964.3303784390523,200.35805315544272,-2026.12168519644,-1000.0388618457143,-999.5137304881744,-999.291466702941,2.206352354672932,172724.0,-964.3324416813622,200.35791581124326,-2026.122799620306,-1000.0409430580681,-999.5154121358823,-999.2923356632798,2.206241988734663,172724.0,-970.227152404741,169.01421706201933,-1041.0148367868906,-999.9977711371556,-999.5008526227738,-999.2905497039161,2.356237205583901,172724.0,-970.2285966743792,169.01407514654719,-1041.018447938855,-999.9993043900864,-999.502041698298,-999.2911247769864,2.356141627267816,172724.0,-10.948952767932871,18.965593350882802,-1182.8817585842123,-14.0164280931724,-8.896911535472348,-5.512122841408598,1.2368668794705342,172724.0,-61.26730643295364,251.04172857697336,-3005.427628562715,-1.8860810281821987,-1.3693964866321495,-0.9872060533247486,0.7788457057069651,172724.0,-1022.2631642785235,253.12224297976633,-1999.712293215338,-1000.8242477228285,-1000.4662603820045,-1000.1503322981982,-0.2644214351170276,172724.0,-1974.4131542704185,167.3027157865602,-2006.2938633478416,-1998.773768097,-1998.6208058976017,-1998.3705554809221,0.603603581830099,172724.0,-1976.369417905744,147.04138432923335,-1999.0525516648088,-1998.632517052407,-1998.5649213263823,-1998.3542346669765,-998.1310165680968,172724.0,-1974.957756074737,162.35990583608785,-2007.669826408227,-1998.7685903501183,-1998.614152519656,-1998.366626940384,0.437349059318044,172724.0,-1976.0787993870667,150.44343034721288,-2006.020058470942,-1998.6297333205464,-1998.5586767748528,-1998.347874096733,-0.0357709770978634,172724.0,-1844.7601671350587,605.5161358065104,-3996.856493474781,-1998.4193672774825,-1998.3209133874063,-1001.2620411529399,-1.932861779495776,172724.0,-2169.8464008908945,377.0980353249236,-3996.4319964295582,-1998.4259276999785,-1998.3388350979,-1998.3067257064167,-997.9681053487342,172724.0,-2169.855674013704,377.0324246311631,-3996.4319964295582,-1998.4227399987203,-1998.336840969164,-1998.3038703911725,-998.7503345024415,172724.0,-2169.878595076344,377.287988357979,-3996.4319964295582,-1998.42609912982,-1998.338916179324,-1998.306494793004,-1.014198896603831,172724.0,-2169.869395276085,377.0321215444957,-3996.4319964295582,-1998.423004108678,-1998.3369525708208,-1998.304331685968,-998.5035053487342,172724.0,-12.329859180986578,5.251000729421261,-180.7560759303489,-13.617662029568779,-10.727942099819003,-9.275578341892277,-0.5125798122136974,172724.0,-13.513774726019026,6.2853395253608,-199.4826051853443,-15.30508444686556,-11.549968016673397,-9.642375490291723,0.6645525128191803,172724.0,-12.285566105245847,3.5415361454273677,-82.09666488145501,-13.473330156109041,-11.349181905033959,-10.187761239046928,-0.6969145063224436,172724.0,2018.0,0.0,2018.0,2018.0,2018.0,2018.0,2018.0,172724.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,172724.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.01,False,bike_transit,bike,4.0,3974269.0,1667966.7694341715,1885162.0,3019232.5,4243360.5,5198397.0,5525193.0,4.0,1303560357.0,547092934.312281,618333461.0,990308459.0,1391822425.0,1705074323.0,1812263117.0,4.0,55464.25,17248.312369137257,33215.0,46789.25,57995.5,66670.5,72651.0,4.0,52792.25,16138.285501151187,32201.0,44105.75,55401.0,64087.5,68166.0,4.0,2398.75,1598.136492919175,1014.0,1221.75,2048.0,3225.0,4485.0,4.0,0.6875,1.375,0.0,0.0,0.0,0.6875,2.75,4.0,1170.75,1073.802394918792,4.0,425.5,1168.5,1913.75,2342.0,4.0,7636.104804504092,5510.576786182195,4259.169218016365,4855.797054504092,5206.2735,7986.581249999999,15872.703,4.0,1.5,0.5773502691896257,1.0,1.0,1.5,2.0,2.0,4.0,140075.72725000003,104318.0214123582,53785.8098,54517.4801,120325.0997,205883.34685,265866.8998,4.0,60638698506.5,339632269.2816739,60133390021.0,60596075506.0,60783201002.0,60825824002.5,60855002001.0,4.0,-122.169509525,0.24274477424456412,-122.4643113,-122.3028567,-122.15674064999999,-122.02339347499999,-121.9002455,4.0,37.616778100000005,0.2503709928575748,37.3548876,37.439103149999994,37.605439149999995,37.7831141,37.9013465,4.0,60638698506.5,339632269.2816739,60133390021.0,60596075506.0,60783201002.0,60825824002.5,60855002001.0,4.0,6063869850.5,33963226.89334551,6013339002.0,6059607550.5,6078320100.0,6082582400.0,6085500200.0,4.0,60638747261.5,339618640.99777424,60133461011.0,60596128504.25,60783223511.5,60825842268.75,60855081012.0,4.0,-122.20643842500002,0.22370248449641963,-122.495844,-122.326523175,-122.15005915,-122.0299744,-122.0297914,4.0,37.611071975,0.251065000473881,37.3228369,37.446661075,37.62440530000001,37.7888162,37.8726404,4.0,60638747261.5,339618640.99777424,60133461011.0,60596128504.25,60783223511.5,60825842268.75,60855081012.0,4.0,6063874726.0,33961864.06759059,6013346101.0,6059612850.25,6078322351.0,6082584226.75,6085508101.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2672.0,1514.5170847501192,1014.0,1715.25,2594.5,3551.25,4485.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,273.25,328.3934378150696,0.0,0.0,217.5,490.75,658.0,4.0,1303560357.0,547092934.312281,618333461.0,990308459.0,1391822425.0,1705074323.0,1812263117.0,0.0,,,,,,,,4.0,13.75,4.349329450233296,8.0,11.75,14.5,16.5,18.0,4.0,-2.2495846006423275,3.3788133833386964,-7.188424259132529,-2.7577788421986353,-1.1328404497301032,-0.6246462081737951,0.4557667560234265,4.0,541.0,431.7120954216286,170.0,269.75,424.5,695.75,1145.0,4.0,550.25,437.39789284662385,179.0,272.75,429.5,707.0,1163.0,4.0,11.75,4.349329450233296,8.0,8.0,11.5,15.25,16.0,4.0,13.75,4.349329450233296,8.0,11.75,14.5,16.5,18.0,4.0,2.0,2.449489742783178,0.0,0.0,1.5,3.5,5.0,4.0,43.75,21.328775554791388,16.0,32.5,49.0,60.25,61.0,4.0,1.75,0.5,1.0,1.75,2.0,2.0,2.0,4.0,8.32453869209324,5.390377039752074,2.796794092202465,4.852582350230822,7.673672185938383,11.1456285278008,15.154016304293728,4.0,6063.5,33.916564291409784,6013.0,6059.5,6078.0,6082.0,6085.0,4.0,60638731013505.75,339604841751.7274,60133461011003.0,60596128506503.0,60783223519005.0,60825826026007.75,60855016005010.0,4.0,111375.0,132114.45479835532,15000.0,22500.0,65250.0,154125.0,300000.0,4.0,3.75,1.707825127659933,2.0,2.75,3.5,4.5,6.0,4.0,9.548887738782502,6.3166906283529425,2.796794092202465,4.852582350230822,10.122370279316906,14.818675667868586,15.154016304293728,4.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,4.0,-999.5832873678884,0.2457618101018682,-999.8486009507196,-999.7506742489767,-999.5903721572697,-999.4229852761815,-999.3038042062946,4.0,-999.5852753039132,0.24668682003060724,-999.851052575546,-999.7539478795625,-999.5924543800425,-999.4237818043932,-999.305139880022,4.0,-251.75230823022025,498.2547707376468,-999.1305320150624,-252.82590855520772,-3.7557483497620603,-2.6821480247745946,-0.3672042062945465,4.0,-251.753444193663,498.2553648644618,-999.1325592336372,-252.82667970829706,-3.7566250462952064,-2.6833895316611414,-0.3679674484244319,4.0,-6.968591575153006,8.692927010471616,-19.76343201506252,-8.314925085941441,-3.8223150396274805,-2.4759815288390468,-0.4663042062945465,4.0,-6.969386749562899,8.693322911862179,-19.764851068064765,-8.315464893103954,-3.822928727200683,-2.4768505836596297,-0.4668384757854663,4.0,-16.38779907968986,16.015836783500237,-39.529743375776576,-20.452642597953357,-11.222172463016294,-7.157328944752797,-3.577108016950271,4.0,-1000.5894072468136,0.6677650455026585,-1001.1728402263624,-1000.981623108808,-1000.768991464691,-1000.3767756026965,-999.6468058315102,4.0,-501.2257044488325,576.8266929120496,-1001.1669136642012,-1000.574831217217,-501.07351966973897,-1.7243929013545594,-1.588864791650905,4.0,-1249.5596523498225,956.5894396704363,-2000.0526863916311,-1998.6890174650277,-1498.525472680858,-749.3961075656526,-1.134977645942595,4.0,-1498.8149379240015,576.7555132806147,-1998.3648538146344,-1998.2670593207786,-1499.1020068379078,-999.6498854411307,-998.690884205556,4.0,-1498.6687629240016,576.9240939963145,-1998.3648538146344,-1998.2670593207786,-1498.7474068379079,-999.1491104411307,-998.815384205556,4.0,-1498.6637629240015,576.9298586917008,-1998.3648538146344,-1998.2670593207786,-1498.7237068379077,-999.1204104411306,-998.842784205556,4.0,-1998.3498139240016,0.07030049638608464,-1998.4117258146343,-1998.404848607826,-1998.3618343626063,-1998.306799678782,-1998.26386115616,4.0,-1998.3498139240016,0.07030049638608464,-1998.4117258146343,-1998.404848607826,-1998.3618343626063,-1998.306799678782,-1998.26386115616,4.0,-1998.3498139240016,0.07030049638608464,-1998.4117258146343,-1998.404848607826,-1998.3618343626063,-1998.306799678782,-1998.26386115616,4.0,-1998.3498139240016,0.07030049638608464,-1998.4117258146343,-1998.404848607826,-1998.3618343626063,-1998.306799678782,-1998.26386115616,4.0,-1998.3498139240016,0.07030049638608464,-1998.4117258146343,-1998.404848607826,-1998.3618343626063,-1998.306799678782,-1998.26386115616,4.0,-6.315884951461919,3.3649697464604893,-9.49085378164293,-8.633714123346923,-6.910674138342555,-4.592844966457549,-1.951337747519633,4.0,-6.529047069053226,3.42770979434871,-9.520353239344171,-9.01784809650178,-7.283455849726436,-4.794654822277883,-2.028923337415863,4.0,-6.2671122072776555,3.3244466493890523,-9.303941779095965,-7.7310995553434605,-7.118696386211154,-5.6547090381453495,-1.5271142775923503,4.0,2018.0,0.0,2018.0,2018.0,2018.0,2018.0,2018.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
