,lever_position_price,incRank,Potential_INEXUS_in_dollar_2023,Realized_INEXUS_in_dollar_2023,incomeInThousands,potential_in_dollar_2023_relative_to_baseline,realized_in_dollar_2023_relative_to_baseline
0,0.0,0,-0.9415530782670833,-3.26243530874893,6.758091255179848,0.27680735065990847,-0.04616203945446207
1,0.0,1,-1.1135271140166518,-3.352574267499493,17.570868126278544,0.2642772641914155,-0.0216651186110578
2,0.0,2,-1.2141993206571915,-3.4456727426747826,25.73620470637007,0.257562433308421,-0.026813380681818044
3,0.0,3,-1.4984102717601453,-4.285480149620858,33.45560421417788,0.2547221858943343,-0.015515135900488308
4,0.0,4,-1.5778567444518878,-4.469538536137813,41.43182525901871,0.23357957521563,-0.0147688216062698
5,0.0,5,-1.678906301173166,-4.505797712899866,49.08610506294321,0.244220218957941,-0.01747176329904576
6,0.0,6,-1.6900463799993297,-4.529051485399761,56.88459105274093,0.24022654550230538,-0.011108292919556395
7,0.0,7,-1.946525349874919,-5.1539932599646505,64.64815115983549,0.2225053398059076,-0.008407149791140434
8,0.0,8,-2.0408587826237685,-5.270490546033988,72.57542559471942,0.22024387798084888,-0.00687235276158038
9,0.0,9,-2.0728457856161073,-5.344227715524822,81.46598707398083,0.22675104722825565,0.0
10,0.0,10,-2.1171201815822895,-5.33417770125452,91.0214486372925,0.21354705916015085,-0.003269514281429464
11,0.0,11,-2.206191363470792,-5.6802507515719896,100.55196286339148,0.1967515147324399,-0.0006355443674790351
12,0.0,12,-2.356812176838307,-6.142076756727761,110.66416216970599,0.19848399165715858,0.0
13,0.0,13,-2.3578968979100754,-6.059163303770365,121.98878368187286,0.18712437017789618,-0.0016834982466807924
14,0.0,14,-2.3972939236920197,-6.087379248171615,135.1146471405629,0.1897957720756267,0.0
15,0.0,15,-2.4460697664378137,-6.088762947841915,150.42382829942767,0.2097882181120556,0.0
16,0.0,16,-2.426491258885764,-6.09281753339907,168.16379602142484,0.2064834123786774,0.0
17,0.0,17,-2.5286134901269666,-6.25735746390503,191.51086065712832,0.18572646951239413,0.0
18,0.0,18,-2.6146831764439633,-6.232416765088501,225.07587281125294,0.2092735684401652,0.0
19,0.0,19,-2.5453388995152384,-6.265480163351691,298.27151440197144,0.21361678884868418,0.0
20,0.0,20,-2.3910116493955753,-6.021557779174877,486.300354484114,0.18322832765151523,0.0
21,0.125,0,-1.1662939929952878,-3.1081265497756636,6.769686215583153,0.17712724891230816,0.0
22,0.125,1,-1.3530096832077043,-3.223822788888665,17.57170387362043,0.1624119721204238,0.0
23,0.125,2,-1.4686718211283818,-3.3519103509881574,25.72392219088169,0.14919675647520664,0.0
24,0.125,3,-1.6876794863816202,-4.179009708726471,33.46276504895032,0.17612947582918181,0.0
25,0.125,4,-1.7742824947517915,-4.336837438081118,41.43708643001306,0.16358273438812476,0.0
26,0.125,5,-1.8531450886484766,-4.382012124129613,49.08377277451766,0.15782578635047761,0.0
27,0.125,6,-1.8723692424890497,-4.416202268256333,56.87820685714286,0.1506493228145147,0.0
28,0.125,7,-2.093313553158145,-5.011938690737844,64.63966863992728,0.18793008868481076,0.0
29,0.125,8,-2.1788191251344,-5.073773819670136,72.57577124722583,0.15509803812096745,0.0
30,0.125,9,-2.250281788579791,-5.181149400952319,81.46782622040035,0.1719105837204884,0.0
31,0.125,10,-2.2669018246840498,-5.210502067935349,91.01934088204291,0.15253119973956333,0.0
32,0.125,11,-2.393899046500444,-5.563736652746433,100.55416591229657,0.15442752314346375,0.0
33,0.125,12,-2.5410686148894217,-6.036500124018225,110.66103443445512,0.14293670731383878,0.0
34,0.125,13,-2.520377248780469,-5.940555709178875,121.97854713138071,0.13831648276040198,0.0
