,lever_position,incRank,Realized_INEXUS,incomeInThousands,lever_position_fleetsize,lever_position_price,logsum_relative_to_baseline,logsum_trip_Potential_INEXUS,realized_relative_to_baseline
0,0.0,0,-1.848187203224968,6.747202938852899,1,0.0,0.12659261648205014,-0.51752282990316,-0.5866320802706207
1,0.0,1,-1.8699470551485853,17.433364499344215,1,0.0,0.12007371679965949,-0.5627660187138354,-0.5829367166815081
2,0.0,2,-1.8920768689686325,25.61228671886689,1,0.0,0.12100462563857745,-0.5602520274151813,-0.5687282265493737
3,0.0,3,-1.7476389231642118,33.39662213751678,1,0.0,0.07993013524499565,-0.5266030743755381,-0.4978862786341442
4,0.0,4,-1.7347314878889397,41.00264675256377,1,0.0,0.08238543185696823,-0.4937353944433682,-0.5047821417339385
5,0.0,5,-1.7513847658031356,48.644383749360856,1,0.0,0.07405858841525169,-0.5291653320589713,-0.5413811919032193
6,0.0,6,-1.7051217989787955,56.67879457429295,1,0.0,0.07940349117517366,-0.5078627465117745,-0.48595652057545047
7,0.0,7,-1.716067794091322,64.50266264262126,1,0.0,0.064315729903807,-0.5039386154974428,-0.5106821917991379
8,0.0,8,-1.6961947019994843,72.58679309949015,1,0.0,0.057983173350430475,-0.5177746244364115,-0.46993056954852425
9,0.0,9,-1.65394434839309,81.47333936063565,1,0.0,0.06026543244116209,-0.5119665821176808,-0.43369346265179803
10,0.0,10,-1.653467219116064,91.26148598032057,1,0.0,0.06231982516947639,-0.5156698954584361,-0.40591195601462515
11,0.0,11,-1.6149181863941728,100.85000584326306,1,0.0,0.048421486701532894,-0.5061093595481412,-0.39974313013404145
12,0.0,12,-1.5743197259143826,110.64983026653071,1,0.0,0.040133729019979615,-0.4877974107079355,-0.4081787387583784
13,0.0,13,-1.622669723623375,122.03292862897493,1,0.0,0.034270601828899384,-0.4957483108998487,-0.45664387953496755
14,0.0,14,-1.61048138848482,135.2436132704367,1,0.0,0.040097319682855855,-0.5125719280424658,-0.4159464282378242
15,0.0,15,-1.6155811927952886,150.63407487564524,1,0.0,0.05030454298528444,-0.5110466305851151,-0.39942626147104227
16,0.0,16,-1.5981739948068567,168.28546594344317,1,0.0,0.038755908088488666,-0.5371985234337635,-0.37039676101644253
17,0.0,17,-1.6024980864775813,191.511565440363,1,0.0,0.03785236520388823,-0.5389844497153451,-0.34737564562018425
18,0.0,18,-1.58877296637528,225.88594496878855,1,0.0,0.044982095699417926,-0.5461374233293659,-0.34294703486808603
19,0.0,19,-1.6135508712607456,300.48363146824965,1,0.0,0.031686958108779285,-0.5322267726272955,-0.389646081980636
20,0.0,20,-1.6262314048753432,486.21850677550844,1,0.0,0.04332321155280858,-0.5386551023500329,-0.38812232746171443
21,0.125,0,-1.5029310703874208,6.753309545152548,1,0.125,0.05725827404990706,-0.5906726182638744,-0.2468128719739562
22,0.125,1,-1.5270207296406464,17.439309530733357,1,0.125,0.0540203084677915,-0.6329094918219867,-0.24066576328133807
23,0.125,2,-1.5060989816638208,25.61149940350279,1,0.125,0.046821716406973676,-0.633505238575203,-0.2096594472916219
24,0.125,3,-1.4567525852669425,33.40387243695671,1,0.125,0.04177598647119337,-0.5665157059520374,-0.20852337491327336
25,0.125,4,-1.4510714701599188,41.00413066450976,1,0.125,0.04315314797558919,-0.5339775189106862,-0.23270002196281048
26,0.125,5,-1.4511177662848092,48.641926575607755,1,0.125,0.03396852353455423,-0.5730136484089697,-0.24801130283782785
27,0.125,6,-1.4537101666281091,56.67112986577512,1,0.125,0.031212905246350155,-0.5585172741226154,-0.25187353121463485
28,0.125,7,-1.4593529827320628,64.50063244895537,1,0.125,0.030888145380490437,-0.5334624435505457,-0.2552999352295435
29,0.125,8,-1.477902338870147,72.59009308938418,1,0.125,0.02672164632700535,-0.5574793560790905,-0.2503293281677033
30,0.125,9,-1.4183652000280502,81.47230397816634,1,0.125,0.029699480311020716,-0.5416707066807999,-0.2137565494610996
31,0.125,10,-1.4460012466321774,91.25368611207328,1,0.125,0.020809270908512097,-0.5576594447976254,-0.2077034856510844
32,0.125,11,-1.3922572972824887,100.8491766669528,1,0.125,0.01819962152755404,-0.5353499327938454,-0.2185761738205716
33,0.125,12,-1.3928482854137176,110.65093064129843,1,0.125,0.01661194863946763,-0.5115163403458807,-0.2366215504597442
34,0.125,13,-1.4066324067440052,122.02682659939036,1,0.125,0.007722989483324159,-0.5251021987776184,-0.2568954188210512
35,0.125,14,-1.4210951893538688,135.25353245897938,1,0.125,0.010631335045984305,-0.5427689345175137,-0.22819572036433633
36,0.125,15,-1.430039454701322,150.63210402999061,1,0.125,0.01989393271608645,-0.549429258882548,-0.2075408135141555
37,0.125,16,-1.4226587711235603,168.28738510125174,1,0.125,0.013007865822563292,-0.5660100673988671,-0.19819016003701317
38,0.125,17,-1.43154794296023,191.50966053221524,1,0.125,0.006764939858311923,-0.5696791958534411,-0.2041293036091053
39,0.125,18,-1.4276886787562442,225.86930769015788,1,0.125,0.01515724995708628,-0.5763569077630304,-0.17228603475187296
40,0.125,19,-1.4599915639393244,300.63302245976695,1,0.125,0.0044769718517411045,-0.5636545393128676,-0.23427496637174175
41,0.125,20,-1.4169963400279832,486.0080459004297,1,0.125,0.013834411001974129,-0.5681814800599109,-0.1925745983141502
42,0.25,0,-1.3679707231087495,6.758634934875768,1,0.25,0.04116048314355218,-0.6071561381406426,-0.11512617412666476
43,0.25,1,-1.4077510685140249,17.44159341522179,1,0.25,0.04057596891481507,-0.646358301628419,-0.12477366454001125
44,0.25,2,-1.3823477426795046,25.613296214520496,1,0.25,0.034159335148770946,-0.6467430267070389,-0.08403202170068584
45,0.25,3,-1.355306207664534,33.39943912715443,1,0.25,0.026354564269235096,-0.5838242739301543,-0.10290232852324671
46,0.25,4,-1.3423725967244016,41.00573772662778,1,0.25,0.035785209903605265,-0.5436187822529961,-0.11856733964139177
47,0.25,5,-1.3496695407485277,48.64064177621806,1,0.25,0.025725660947442053,-0.5822687161265963,-0.1366850123830128
48,0.25,6,-1.3376723387651002,56.68184322548178,1,0.25,0.028702278893426778,-0.5597144993112735,-0.13670763396898689
49,0.25,7,-1.361172257127934,64.50023824522826,1,0.25,0.03004323650890993,-0.5384135119110137,-0.15614980661107775
50,0.25,8,-1.3480098332909523,72.59489685674123,1,0.25,0.023912358132992355,-0.5570228755200461,-0.1334092197266055
51,0.25,9,-1.3238557010202003,81.47004951660595,1,0.25,0.024865664998723776,-0.5499271616879623,-0.11775829332396562
52,0.25,10,-1.354923093199505,91.24883583567227,1,0.25,0.021912153945095585,-0.5572105945589039,-0.11924774610986244
53,0.25,11,-1.3099212203132926,100.8487247152935,1,0.25,0.011978798707600448,-0.5386394462610227,-0.1346975449932729
54,0.25,12,-1.3028295191010566,110.65316563194385,1,0.25,0.014193565755727255,-0.5130270652730067,-0.1525987307980576
55,0.25,13,-1.3196946723580956,122.03136472013018,1,0.25,0.007780545601703145,-0.5222209819730942,-0.17302485828517722
56,0.25,14,-1.331383887972574,135.2556552205709,1,0.25,0.009308632515325108,-0.5432443815095153,-0.14629106270882317
57,0.25,15,-1.3505733387494234,150.63011857563097,1,0.25,0.009980302931329538,-0.5552457903465413,-0.13358310707688661
58,0.25,16,-1.329883906840706,168.27716438656745,1,0.25,0.007870140449366039,-0.569773388569482,-0.10891373960272836
59,0.25,17,-1.344544837550097,191.51451994072184,1,0.25,0.007251107573544011,-0.5705867271215262,-0.11037523772152792
60,0.25,18,-1.3457845443682699,225.91014969853092,1,0.25,0.017097378519180192,-0.5811112581700552,-0.09427767366551157
61,0.25,19,-1.3467192276805915,300.55890705703496,1,0.25,0.002783098015229607,-0.5650967291938287,-0.11643322644274563
62,0.25,20,-1.3377030955924678,486.0333692426266,1,0.25,0.013334495824579708,-0.5702441736388502,-0.12181331190609457
