taz,x,y,fleetShare
4849100000123,0,0,0.000517331
4845300000055,0,0,0.000517331
4845300001536,0,0,0.000517331
4802100001207,0,0,0.000517331
4820900000708,0,0,0.000517331
4805300001762,0,0,0.000517331
4805500001259,0,0,0.000517331
4802100001203,0,0,0.000517331
4845300000537,0,0,0.000517331
4845300000393,0,0,0.000517331
4845300000236,0,0,0.000517331
4849100000117,0,0,0.000517331
4849100001008,0,0,0.000517331
4820900000578,0,0,0.000517331
4805300001824,0,0,0.000517331
4820900000899,0,0,0.000517331
4849100001949,0,0,0.000517331
4845300000048,0,0,0.000517331
4820900000693,0,0,0.000517331
4845300000012,0,0,0.000517331
4849100001703,0,0,0.000517331
4820900000820,0,0,0.000517331
4849100000974,0,0,0.000517331
4820900000587,0,0,0.000517331
4845300001448,0,0,0.000517331
4849100001533,0,0,0.000517331
4845300001662,0,0,0.000517331
4849100000552,0,0,0.000517331
4802100001149,0,0,0.000517331
4845300000499,0,0,0.000517331
4845300000183,0,0,0.000517331
4849100001052,0,0,0.000517331
4845300000232,0,0,0.000517331
4845300000335,0,0,0.000517331
4849100001482,0,0,0.000517331
4849100001063,0,0,0.000517331
4849100001710,0,0,0.000517331
4845300000451,0,0,0.000517331
4845300001607,0,0,0.000517331
4849100001024,0,0,0.000517331
4802100001386,0,0,0.000517331
4849100001071,0,0,0.000517331
4849100000935,0,0,0.000517331
4849100001735,0,0,0.000517331
4845300001478,0,0,0.000517331
4849100001422,0,0,0.000517331
4845300000011,0,0,0.000517331
4845300000268,0,0,0.000517331
4805300001809,0,0,0.000517331
4802100001209,0,0,0.000517331
4845300000210,0,0,0.000517331
4805300001844,0,0,0.000517331
4849100000937,0,0,0.000517331
4849100001014,0,0,0.000517331
4845300000443,0,0,0.000517331
4845300000022,0,0,0.000517331
4805300001790,0,0,0.000517331
4820900000689,0,0,0.000517331
4849100001018,0,0,0.000517331
4845300000613,0,0,0.000517331
4845300001571,0,0,0.000517331
4845300001901,0,0,0.000517331
4849100001123,0,0,0.000517331
4849100000854,0,0,0.000517331
4845300000618,0,0,0.000517331
4805300001807,0,0,0.000517331
4845300000078,0,0,0.000517331
4820900001692,0,0,0.000517331
4820900000738,0,0,0.000517331
4845300000291,0,0,0.000517331
4820900000728,0,0,0.000517331
4849100001968,0,0,0.000517331
4820900001083,0,0,0.000517331
4845300000024,0,0,0.000517331
4805500001295,0,0,0.000517331
4845300000532,0,0,0.000517331
4849100001036,0,0,0.000517331
4805500001262,0,0,0.000517331
4849100000989,0,0,0.000517331
4849100001944,0,0,0.000517331
4845300001582,0,0,0.000517331
4845300001558,0,0,0.000517331
