,ST_YEAR,ST_MONTH,GEOID,Unnamed: 0_x,membership_type,geometry_x,index_right_x,area_x,Unnamed: 0_y,driver,geometry_y,index_right_y,area_y,observed,simulated
73,,,4.8054E+11,,,,0,,7,7,7,7,7,0,35
74,,,4.8056E+11,,,,0,,4,4,4,4,4,0,20
75,,,4.8056E+11,,,,0,,2,2,2,2,2,0,10
76,,,4.8056E+11,,,,0,,3,3,3,3,3,0,15
77,,,4.8056E+11,,,,0,,2,2,2,2,2,0,10
78,,,4.8056E+11,,,,0,,10,10,10,10,10,0,50
79,,,4.8056E+11,,,,0,,5,5,5,5,5,0,25
80,,,4.8056E+11,,,,0,,13,13,13,13,13,0,65
81,,,4.8056E+11,,,,0,,2,2,2,2,2,0,10
82,,,4.8056E+11,,,,0,,1,1,1,1,1,0,5
83,,,4.8056E+11,,,,0,,6,6,6,6,6,0,30
84,,,4.8056E+11,,,,0,,17,17,17,17,17,0,85
85,,,4.8056E+11,,,,0,,6,6,6,6,6,0,30
86,,,4.8056E+11,,,,0,,15,15,15,15,15,0,75
87,,,4.8056E+11,,,,0,,13,13,13,13,13,0,65
88,,,4.8056E+11,,,,0,,3,3,3,3,3,0,15
89,,,4.8056E+11,,,,0,,1,1,1,1,1,0,5
90,,,4.8056E+11,,,,0,,2,2,2,2,2,0,10
91,,,4.8056E+11,,,,0,,4,4,4,4,4,0,20
92,,,4.8056E+11,,,,0,,3,3,3,3,3,0,15
93,,,4.8056E+11,,,,0,,6,6,6,6,6,0,30
94,,,4.8056E+11,,,,0,,15,15,15,15,15,0,75
95,,,4.8056E+11,,,,0,,8,8,8,8,8,0,40
96,,,4.8056E+11,,,,0,,6,6,6,6,6,0,30
97,,,4.8056E+11,,,,0,,6,6,6,6,6,0,30
98,,,4.8209E+11,,,,0,,83,83,83,83,83,0,415
99,,,4.8209E+11,,,,0,,18,18,18,18,18,0,90
100,,,4.8209E+11,,,,0,,9,9,9,9,9,0,45
101,,,4.8209E+11,,,,0,,43,43,43,43,43,0,215
102,,,4.8209E+11,,,,0,,106,106,106,106,106,0,530
103,,,4.8209E+11,,,,0,,14,14,14,14,14,0,70
104,,,4.8209E+11,,,,0,,22,22,22,22,22,0,110
105,,,4.8209E+11,,,,0,,23,23,23,23,23,0,115
106,,,4.8209E+11,,,,0,,36,36,36,36,36,0,180
107,,,4.8209E+11,,,,0,,30,30,30,30,30,0,150
108,,,4.8209E+11,,,,0,,16,16,16,16,16,0,80
109,,,4.8209E+11,,,,0,,7,7,7,7,7,0,35
110,,,4.8209E+11,,,,0,,20,20,20,20,20,0,100
111,,,4.8209E+11,,,,0,,10,10,10,10,10,0,50
112,,,4.8209E+11,,,,0,,7,7,7,7,7,0,35
113,,,4.8209E+11,,,,0,,38,38,38,38,38,0,190
114,,,4.8209E+11,,,,0,,27,27,27,27,27,0,135
115,,,4.8209E+11,,,,0,,16,16,16,16,16,0,80
116,,,4.8209E+11,,,,0,,38,38,38,38,38,0,190
117,,,4.8209E+11,,,,0,,15,15,15,15,15,0,75
118,,,4.8209E+11,,,,0,,8,8,8,8,8,0,40
119,,,4.8209E+11,,,,0,,9,9,9,9,9,0,45
120,,,4.8209E+11,,,,0,,8,8,8,8,8,0,40
121,,,4.8209E+11,,,,0,,3,3,3,3,3,0,15
122,,,4.8209E+11,,,,0,,11,11,11,11,11,0,55
123,,,4.8209E+11,,,,0,,3,3,3,3,3,0,15
124,,,4.8209E+11,,,,0,,16,16,16,16,16,0,80
125,,,4.8209E+11,,,,0,,33,33,33,33,33,0,165
126,,,4.8209E+11,,,,0,,18,18,18,18,18,0,90
127,,,4.8209E+11,,,,0,,10,10,10,10,10,0,50
128,,,4.8209E+11,,,,0,,2,2,2,2,2,0,10
129,,,4.8209E+11,,,,0,,5,5,5,5,5,0,25
130,,,4.8209E+11,,,,0,,4,4,4,4,4,0,20
131,,,4.8209E+11,,,,0,,3,3,3,3,3,0,15
132,,,4.8209E+11,,,,0,,4,4,4,4,4,0,20
133,,,4.8209E+11,,,,0,,9,9,9,9,9,0,45
134,,,4.8209E+11,,,,0,,5,5,5,5,5,0,25
135,,,4.8209E+11,,,,0,,9,9,9,9,9,0,45
136,,,4.8209E+11,,,,0,,3,3,3,3,3,0,15
137,,,4.8209E+11,,,,0,,3,3,3,3,3,0,15
138,,,4.8209E+11,,,,0,,4,4,4,4,4,0,20
139,,,4.8209E+11,,,,0,,2,2,2,2,2,0,10
140,,,4.8209E+11,,,,0,,8,8,8,8,8,0,40
141,,,4.8209E+11,,,,0,,2,2,2,2,2,0,10
142,,,4.8209E+11,,,,0,,2,2,2,2,2,0,10
143,,,4.8209E+11,,,,0,,8,8,8,8,8,0,40
144,,,4.8209E+11,,,,0,,5,5,5,5,5,0,25
145,,,4.8209E+11,,,,0,,4,4,4,4,4,0,20
146,,,4.8209E+11,,,,0,,4,4,4,4,4,0,20
147,,,4.8209E+11,,,,0,,3,3,3,3,3,0,15
148,,,4.8209E+11,,,,0,,3,3,3,3,3,0,15
149,,,4.8209E+11,,,,0,,3,3,3,3,3,0,15
150,,,4.8209E+11,,,,0,,1,1,1,1,1,0,5
151,,,4.8209E+11,,,,0,,3,3,3,3,3,0,15
152,,,4.8209E+11,,,,0,,6,6,6,6,6,0,30
153,,,4.8209E+11,,,,0,,9,9,9,9,9,0,45
154,,,4.8209E+11,,,,0,,1,1,1,1,1,0,5
155,,,4.8209E+11,,,,0,,3,3,3,3,3,0,15
156,,,4.8209E+11,,,,0,,8,8,8,8,8,0,40
157,,,4.8209E+11,,,,0,,10,10,10,10,10,0,50
158,,,4.8209E+11,,,,0,,10,10,10,10,10,0,50
159,,,4.8209E+11,,,,0,,9,9,9,9,9,0,45
160,,,4.8209E+11,,,,0,,6,6,6,6,6,0,30
161,,,4.8209E+11,,,,0,,11,11,11,11,11,0,55
162,,,4.8209E+11,,,,0,,11,11,11,11,11,0,55
163,,,4.8209E+11,,,,0,,5,5,5,5,5,0,25
164,,,4.8209E+11,,,,0,,9,9,9,9,9,0,45
165,,,4.8209E+11,,,,0,,2,2,2,2,2,0,10
166,,,4.8209E+11,,,,0,,8,8,8,8,8,0,40
167,,,4.8209E+11,,,,0,,14,14,14,14,14,0,70
168,,,4.8209E+11,,,,0,,6,6,6,6,6,0,30
169,,,4.8209E+11,,,,0,,7,7,7,7,7,0,35
170,,,4.8209E+11,,,,0,,4,4,4,4,4,0,20
171,,,4.8209E+11,,,,0,,6,6,6,6,6,0,30
172,,,4.8209E+11,,,,0,,9,9,9,9,9,0,45
173,,,4.8209E+11,,,,0,,10,10,10,10,10,0,50
174,,,4.8209E+11,,,,0,,7,7,7,7,7,0,35
175,,,4.8453E+11,,,,0,,1,1,1,1,1,0,5
176,,,4.8453E+11,,,,0,,13,13,13,13,13,0,65
177,,,4.8453E+11,,,,0,,30,30,30,30,30,0,150
178,,,4.8453E+11,,,,0,,10,10,10,10,10,0,50
179,,,4.8453E+11,,,,0,,3,3,3,3,3,0,15
180,,,4.8453E+11,,,,0,,79,79,79,79,79,0,395
181,,,4.8453E+11,,,,0,,23,23,23,23,23,0,115
182,,,4.8453E+11,,,,0,,26,26,26,26,26,0,130
183,,,4.8453E+11,,,,0,,113,113,113,113,113,0,565
184,,,4.8453E+11,,,,0,,5,5,5,5,5,0,25
185,,,4.8453E+11,,,,0,,10,10,10,10,10,0,50
186,,,4.8453E+11,,,,0,,20,20,20,20,20,0,100
187,,,4.8453E+11,,,,0,,17,17,17,17,17,0,85
188,,,4.8453E+11,,,,0,,6,6,6,6,6,0,30
189,,,4.8453E+11,,,,0,,9,9,9,9,9,0,45
190,,,4.8453E+11,,,,0,,7,7,7,7,7,0,35
191,,,4.8453E+11,,,,0,,6,6,6,6,6,0,30
192,,,4.8453E+11,,,,0,,7,7,7,7,7,0,35
193,,,4.8453E+11,,,,0,,12,12,12,12,12,0,60
194,,,4.8453E+11,,,,0,,9,9,9,9,9,0,45
195,,,4.8453E+11,,,,0,,12,12,12,12,12,0,60
196,,,4.8453E+11,,,,0,,22,22,22,22,22,0,110
197,,,4.8453E+11,,,,0,,12,12,12,12,12,0,60
198,,,4.8453E+11,,,,0,,25,25,25,25,25,0,125
199,,,4.8453E+11,,,,0,,8,8,8,8,8,0,40
200,,,4.8453E+11,,,,0,,21,21,21,21,21,0,105
201,,,4.8453E+11,,,,0,,21,21,21,21,21,0,105
202,,,4.8453E+11,,,,0,,14,14,14,14,14,0,70
203,,,4.8453E+11,,,,0,,73,73,73,73,73,0,365
204,,,4.8453E+11,,,,0,,10,10,10,10,10,0,50
205,,,4.8453E+11,,,,0,,10,10,10,10,10,0,50
206,,,4.8453E+11,,,,0,,4,4,4,4,4,0,20
207,,,4.8453E+11,,,,0,,14,14,14,14,14,0,70
208,,,4.8453E+11,,,,0,,7,7,7,7,7,0,35
209,,,4.8453E+11,,,,0,,11,11,11,11,11,0,55
210,,,4.8453E+11,,,,0,,27,27,27,27,27,0,135
211,,,4.8453E+11,,,,0,,8,8,8,8,8,0,40
212,,,4.8453E+11,,,,0,,40,40,40,40,40,0,200
213,,,4.8453E+11,,,,0,,20,20,20,20,20,0,100
214,,,4.8453E+11,,,,0,,16,16,16,16,16,0,80
215,,,4.8453E+11,,,,0,,15,15,15,15,15,0,75
216,,,4.8453E+11,,,,0,,21,21,21,21,21,0,105
217,,,4.8453E+11,,,,0,,2,2,2,2,2,0,10
218,,,4.8453E+11,,,,0,,28,28,28,28,28,0,140
219,,,4.8453E+11,,,,0,,10,10,10,10,10,0,50
220,,,4.8453E+11,,,,0,,24,24,24,24,24,0,120
221,,,4.8453E+11,,,,0,,7,7,7,7,7,0,35
222,,,4.8453E+11,,,,0,,7,7,7,7,7,0,35
223,,,4.8453E+11,,,,0,,11,11,11,11,11,0,55
224,,,4.8453E+11,,,,0,,8,8,8,8,8,0,40
225,,,4.8453E+11,,,,0,,4,4,4,4,4,0,20
226,,,4.8453E+11,,,,0,,5,5,5,5,5,0,25
227,,,4.8453E+11,,,,0,,3,3,3,3,3,0,15
228,,,4.8453E+11,,,,0,,7,7,7,7,7,0,35
229,,,4.8453E+11,,,,0,,8,8,8,8,8,0,40
230,,,4.8453E+11,,,,0,,17,17,17,17,17,0,85
231,,,4.8453E+11,,,,0,,31,31,31,31,31,0,155
232,,,4.8453E+11,,,,0,,9,9,9,9,9,0,45
233,,,4.8453E+11,,,,0,,6,6,6,6,6,0,30
234,,,4.8453E+11,,,,0,,8,8,8,8,8,0,40
235,,,4.8453E+11,,,,0,,2,2,2,2,2,0,10
236,,,4.8453E+11,,,,0,,15,15,15,15,15,0,75
237,,,4.8453E+11,,,,0,,10,10,10,10,10,0,50
238,,,4.8453E+11,,,,0,,15,15,15,15,15,0,75
239,,,4.8453E+11,,,,0,,19,19,19,19,19,0,95
240,,,4.8453E+11,,,,0,,15,15,15,15,15,0,75
241,,,4.8453E+11,,,,0,,14,14,14,14,14,0,70
242,,,4.8453E+11,,,,0,,3,3,3,3,3,0,15
243,,,4.8453E+11,,,,0,,8,8,8,8,8,0,40
244,,,4.8453E+11,,,,0,,7,7,7,7,7,0,35
