GEOID,Unnamed: 0,driver,geometry,index_right,area
484530008022,7,7,7,7,7
484530008023,11,11,11,11,11
484530008031,8,8,8,8,8
484530008032,4,4,4,4,4
484530008033,5,5,5,5,5
484530008041,3,3,3,3,3
484530008042,10,10,10,10,10
484530009011,7,7,7,7,7
484530009012,8,8,8,8,8
484530009021,8,8,8,8,8
484530009022,17,17,17,17,17
484530009023,31,31,31,31,31
484530009024,23,23,23,23,23
484530010001,9,9,9,9,9
484530010002,6,6,6,6,6
484530010003,8,8,8,8,8
484530010004,2,2,2,2,2
484530010005,15,15,15,15,15
484530011001,445,445,445,445,445
484530011002,30,30,30,30,30
484530012001,10,10,10,10,10
484530012002,94,94,94,94,94
484530012003,15,15,15,15,15
484530013031,14,14,14,14,14
484530013032,19,19,19,19,19
484530013033,15,15,15,15,15
484530013041,14,14,14,14,14
484530013042,3,3,3,3,3
484530013043,8,8,8,8,8
484530013044,7,7,7,7,7
484530013051,30,30,30,30,30
484530013052,21,21,21,21,21
484530013053,20,20,20,20,20
484530013054,19,19,19,19,19
484530013071,10,10,10,10,10
484530013072,7,7,7,7,7
484530013073,17,17,17,17,17
484530013081,7,7,7,7,7
484530013082,6,6,6,6,6
484530013083,13,13,13,13,13
484530013084,7,7,7,7,7
484530014011,29,29,29,29,29
484530014012,12,12,12,12,12
484530014021,13,13,13,13,13
484530014022,7,7,7,7,7
484530014023,5,5,5,5,5
484530014031,1,1,1,1,1
484530014032,5,5,5,5,5
484530015011,11,11,11,11,11
484530015012,5,5,5,5,5
484530015013,9,9,9,9,9
484530015014,9,9,9,9,9
484530015031,27,27,27,27,27
484530015032,12,12,12,12,12
484530015033,37,37,37,37,37
484530015034,95,95,95,95,95
484530015041,13,13,13,13,13
484530015042,16,16,16,16,16
484530015043,22,22,22,22,22
484530015044,7,7,7,7,7
484530015051,11,11,11,11,11
484530015052,6,6,6,6,6
484530015053,5,5,5,5,5
484530015054,4,4,4,4,4
484530016021,9,9,9,9,9
484530016022,2,2,2,2,2
484530016023,16,16,16,16,16
484530016031,21,21,21,21,21
484530016032,3,3,3,3,3
484530016033,4,4,4,4,4
484530016034,7,7,7,7,7
484530016035,11,11,11,11,11
484530016041,11,11,11,11,11
484530016042,4,4,4,4,4
484530016043,8,8,8,8,8
484530016044,1,1,1,1,1
484530016051,15,15,15,15,15
484530016052,4,4,4,4,4
484530016053,14,14,14,14,14
484530016054,18,18,18,18,18
484530017051,6,6,6,6,6
484530017052,8,8,8,8,8
484530017053,4,4,4,4,4
484530017054,9,9,9,9,9
484530017061,3,3,3,3,3
484530017062,10,10,10,10,10
484530017063,13,13,13,13,13
484530017071,16,16,16,16,16
484530017072,25,25,25,25,25
484530017073,9,9,9,9,9
484530017121,22,22,22,22,22
484530017122,12,12,12,12,12
484530017123,9,9,9,9,9
484530017131,6,6,6,6,6
484530017132,3,3,3,3,3
484530017133,8,8,8,8,8
484530017141,27,27,27,27,27
484530017142,7,7,7,7,7
484530017143,7,7,7,7,7
484530017161,10,10,10,10,10
484530017162,5,5,5,5,5
484530017181,30,30,30,30,30
484530017182,9,9,9,9,9
484530017183,7,7,7,7,7
484530017184,6,6,6,6,6
484530017191,5,5,5,5,5
484530017192,1,1,1,1,1
484530017193,3,3,3,3,3
484530017221,12,12,12,12,12
484530017222,41,41,41,41,41
484530017223,13,13,13,13,13
484530017281,8,8,8,8,8
484530017282,10,10,10,10,10
484530017283,4,4,4,4,4
484530017284,9,9,9,9,9
484530017285,1,1,1,1,1
484530017291,6,6,6,6,6
484530017292,4,4,4,4,4
484530017293,7,7,7,7,7
484530017331,8,8,8,8,8
484530017332,1,1,1,1,1
484530017371,2,2,2,2,2
484530017372,20,20,20,20,20
484530017373,4,4,4,4,4
484530017381,3,3,3,3,3
484530017382,9,9,9,9,9
484530017383,1,1,1,1,1
484530017384,14,14,14,14,14
484530017385,1,1,1,1,1
484530017401,11,11,11,11,11
484530017402,6,6,6,6,6
484530017411,2,2,2,2,2
484530017412,3,3,3,3,3
484530017421,10,10,10,10,10
484530017422,3,3,3,3,3
484530017451,17,17,17,17,17
484530017452,10,10,10,10,10
484530017461,14,14,14,14,14
484530017462,8,8,8,8,8
484530017471,19,19,19,19,19
484530017472,5,5,5,5,5
484530017473,3,3,3,3,3
484530017481,9,9,9,9,9
484530017482,10,10,10,10,10
484530017491,6,6,6,6,6
484530017492,4,4,4,4,4
484530017493,13,13,13,13,13
484530017494,12,12,12,12,12
484530017501,21,21,21,21,21
484530017502,25,25,25,25,25
484530017503,7,7,7,7,7
484530017511,8,8,8,8,8
484530017512,14,14,14,14,14
484530017521,10,10,10,10,10
484530017522,18,18,18,18,18
484530017523,23,23,23,23,23
484530017531,38,38,38,38,38
484530017541,8,8,8,8,8
484530017542,16,16,16,16,16
484530017543,10,10,10,10,10
484530017551,13,13,13,13,13
484530017552,7,7,7,7,7
484530017561,13,13,13,13,13
484530017562,10,10,10,10,10
484530017571,4,4,4,4,4
484530017572,15,15,15,15,15
484530017601,42,42,42,42,42
484530017602,26,26,26,26,26
484530017611,8,8,8,8,8
484530017612,5,5,5,5,5
484530017641,3,3,3,3,3
484530017642,1,1,1,1,1
484530017651,9,9,9,9,9
484530017652,20,20,20,20,20
484530017661,1,1,1,1,1
484530017662,5,5,5,5,5
484530017663,1,1,1,1,1
484530017681,1,1,1,1,1
484530017682,17,17,17,17,17
484530017691,5,5,5,5,5
484530017692,11,11,11,11,11
484530017701,11,11,11,11,11
484530017702,7,7,7,7,7
484530017703,4,4,4,4,4
484530017711,2,2,2,2,2
484530017712,4,4,4,4,4
484530017721,13,13,13,13,13
484530017722,8,8,8,8,8
484530017731,10,10,10,10,10
484530017732,2,2,2,2,2
484530017733,9,9,9,9,9
484530017742,23,23,23,23,23
484530017743,7,7,7,7,7
484530017751,15,15,15,15,15
484530017761,11,11,11,11,11
484530017762,8,8,8,8,8
484530017771,6,6,6,6,6
484530017772,9,9,9,9,9
484530017781,11,11,11,11,11
484530017791,5,5,5,5,5
484530017792,3,3,3,3,3
484530017793,8,8,8,8,8
484530017801,4,4,4,4,4
484530017802,2,2,2,2,2
484530017811,9,9,9,9,9
484530017812,8,8,8,8,8
484530017821,5,5,5,5,5
484530017822,3,3,3,3,3
484530017823,4,4,4,4,4
484530017831,11,11,11,11,11
484530017832,1,1,1,1,1
484530017841,5,5,5,5,5
484530017842,5,5,5,5,5
484530017851,20,20,20,20,20
484530017852,6,6,6,6,6
484530017861,7,7,7,7,7
484530017862,4,4,4,4,4
484530017863,21,21,21,21,21
484530017864,3,3,3,3,3
484530018041,15,15,15,15,15
484530018042,16,16,16,16,16
484530018043,40,40,40,40,40
484530018051,8,8,8,8,8
484530018052,20,20,20,20,20
484530018061,10,10,10,10,10
484530018062,6,6,6,6,6
484530018063,14,14,14,14,14
484530018064,6,6,6,6,6
484530018111,25,25,25,25,25
484530018112,8,8,8,8,8
484530018121,28,28,28,28,28
484530018122,11,11,11,11,11
484530018123,18,18,18,18,18
484530018131,27,27,27,27,27
484530018132,39,39,39,39,39
484530018171,15,15,15,15,15
484530018172,32,32,32,32,32
484530018173,20,20,20,20,20
484530018181,22,22,22,22,22
484530018182,23,23,23,23,23
484530018183,13,13,13,13,13
484530018191,22,22,22,22,22
484530018192,2,2,2,2,2
484530018201,11,11,11,11,11
484530018202,24,24,24,24,24
484530018203,19,19,19,19,19
484530018211,8,8,8,8,8
484530018212,8,8,8,8,8
484530018213,35,35,35,35,35
484530018221,20,20,20,20,20
484530018222,12,12,12,12,12
484530018223,6,6,6,6,6
484530018224,12,12,12,12,12
484530018231,13,13,13,13,13
484530018232,16,16,16,16,16
484530018233,25,25,25,25,25
484530018241,3,3,3,3,3
484530018261,3,3,3,3,3
484530018262,6,6,6,6,6
484530018281,22,22,22,22,22
484530018282,3,3,3,3,3
484530018283,8,8,8,8,8
484530018291,27,27,27,27,27
484530018292,9,9,9,9,9
484530018321,7,7,7,7,7
484530018322,7,7,7,7,7
484530018331,14,14,14,14,14
484530018332,9,9,9,9,9
484530018333,13,13,13,13,13
484530018334,5,5,5,5,5
484530018341,83,83,83,83,83
484530018342,22,22,22,22,22
484530018351,3,3,3,3,3
484530018352,2,2,2,2,2
484530018353,3,3,3,3,3
484530018391,21,21,21,21,21
484530018392,18,18,18,18,18
484530018401,16,16,16,16,16
484530018402,4,4,4,4,4
484530018403,19,19,19,19,19
484530018411,23,23,23,23,23
484530018412,3,3,3,3,3
484530018413,59,59,59,59,59
484530018414,15,15,15,15,15
484530018421,25,25,25,25,25
484530018422,3,3,3,3,3
484530018431,14,14,14,14,14
484530018432,2,2,2,2,2
484530018441,1,1,1,1,1
484530018442,7,7,7,7,7
484530018443,1,1,1,1,1
484530018451,9,9,9,9,9
484530018452,7,7,7,7,7
484530018461,6,6,6,6,6
484530018462,5,5,5,5,5
484530018471,13,13,13,13,13
484530018472,22,22,22,22,22
484530018481,11,11,11,11,11
484530018482,4,4,4,4,4
484530018483,8,8,8,8,8
484530018491,59,59,59,59,59
484530018492,21,21,21,21,21
484530018494,8,8,8,8,8
484530018501,21,21,21,21,21
484530018502,11,11,11,11,11
484530018503,6,6,6,6,6
484530018511,2,2,2,2,2
484530018512,11,11,11,11,11
484530018513,25,25,25,25,25
484530018514,21,21,21,21,21
484530018531,3,3,3,3,3
484530018532,3,3,3,3,3
484530018542,1,1,1,1,1
484530018543,13,13,13,13,13
484530018551,10,10,10,10,10
484530018552,12,12,12,12,12
484530018553,7,7,7,7,7
484530018554,9,9,9,9,9
484530018555,13,13,13,13,13
484530018561,2,2,2,2,2
484530018562,3,3,3,3,3
484530018571,23,23,23,23,23
484530018572,19,19,19,19,19
484530018581,12,12,12,12,12
484530018582,5,5,5,5,5
484530018583,6,6,6,6,6
484530018584,9,9,9,9,9
484530018585,11,11,11,11,11
484530018601,7,7,7,7,7
484530018602,7,7,7,7,7
484530018611,5,5,5,5,5
484530018612,19,19,19,19,19
484530018621,20,20,20,20,20
484530018622,11,11,11,11,11
484530018631,23,23,23,23,23
484530018632,7,7,7,7,7
484530018641,23,23,23,23,23
484530018642,6,6,6,6,6
484530019011,10,10,10,10,10
484530019012,20,20,20,20,20
484530019013,12,12,12,12,12
484530019081,10,10,10,10,10
484530019082,28,28,28,28,28
484530019101,10,10,10,10,10
484530019102,7,7,7,7,7
484530019103,28,28,28,28,28
484530019104,8,8,8,8,8
484530019111,31,31,31,31,31
484530019112,20,20,20,20,20
484530019121,12,12,12,12,12
484530019122,4,4,4,4,4
484530019131,5,5,5,5,5
484530019132,7,7,7,7,7
484530019141,14,14,14,14,14
484530019142,4,4,4,4,4
484530019143,8,8,8,8,8
484530019151,26,26,26,26,26
484530019161,19,19,19,19,19
484530019162,7,7,7,7,7
484530019171,4,4,4,4,4
484530019172,2,2,2,2,2
484530019173,4,4,4,4,4
484530019174,14,14,14,14,14
484530019181,2,2,2,2,2
484530019182,4,4,4,4,4
484530019183,8,8,8,8,8
484530019191,6,6,6,6,6
484530019192,16,16,16,16,16
484530019193,7,7,7,7,7
484530020021,10,10,10,10,10
484530020022,9,9,9,9,9
484530020031,22,22,22,22,22
484530020032,23,23,23,23,23
484530020041,28,28,28,28,28
484530020042,4,4,4,4,4
484530020051,12,12,12,12,12
484530020052,8,8,8,8,8
484530020053,6,6,6,6,6
484530021041,24,24,24,24,24
