GEOID,Unnamed: 0,driver,geometry,index_right,area
484910214023,4,4,4,4,4
484910214024,15,15,15,15,15
484910214031,6,6,6,6,6
484910214032,2,2,2,2,2
484910214033,9,9,9,9,9
484910215021,28,28,28,28,28
484910215022,13,13,13,13,13
484910215031,38,38,38,38,38
484910215032,6,6,6,6,6
484910215041,5,5,5,5,5
484910215042,5,5,5,5,5
484910215043,9,9,9,9,9
484910215051,10,10,10,10,10
484910215052,32,32,32,32,32
484910215053,9,9,9,9,9
484910215061,4,4,4,4,4
484910215062,3,3,3,3,3
484910215071,36,36,36,36,36
484910215072,9,9,9,9,9
484910215073,11,11,11,11,11
484910215081,12,12,12,12,12
484910215082,17,17,17,17,17
484910215083,9,9,9,9,9
484910216011,1,1,1,1,1
484910216012,2,2,2,2,2
484910216013,3,3,3,3,3
484910216021,2,2,2,2,2
484910216032,3,3,3,3,3
