taz,parkingType,chargingType,reservedFor,pricingModel,feeInCents,parkingZoneId,numStalls
4.8053E+12,Public,NoCharger,Any,FlatFee,0,99,35
4.8453E+12,Public,NoCharger,Any,FlatFee,0,100,35
4.8491E+12,Public,NoCharger,Any,FlatFee,0,101,35
4.8209E+12,Public,NoCharger,Any,FlatFee,0,102,35
4.8491E+12,Public,NoCharger,Any,FlatFee,0,103,35
4.8453E+12,Public,NoCharger,Any,FlatFee,0,104,35
4.8453E+12,Public,NoCharger,Any,FlatFee,0,105,35
4.8491E+12,Public,NoCharger,Any,FlatFee,0,106,35
4.8491E+12,Public,NoCharger,Any,FlatFee,0,107,35
4.8453E+12,Public,NoCharger,Any,FlatFee,0,108,35
4.8453E+12,Public,NoCharger,Any,FlatFee,0,109,35
4.8209E+12,Public,NoCharger,Any,FlatFee,0,110,35
4.8491E+12,Public,NoCharger,Any,FlatFee,0,111,35
4.8453E+12,Public,NoCharger,Any,FlatFee,0,112,35
4.8491E+12,Public,NoCharger,Any,FlatFee,0,113,35
4.8453E+12,Public,NoCharger,Any,FlatFee,0,114,35
4.8453E+12,Public,NoCharger,Any,FlatFee,0,115,35
4.8021E+12,Public,NoCharger,Any,FlatFee,0,116,35
4.8209E+12,Public,NoCharger,Any,FlatFee,0,117,35
4.8209E+12,Public,NoCharger,Any,FlatFee,0,118,35
4.8209E+12,Public,NoCharger,Any,FlatFee,0,119,35
4.8491E+12,Public,NoCharger,Any,FlatFee,0,120,35
4.8491E+12,Public,NoCharger,Any,FlatFee,0,121,35
4.8453E+12,Public,NoCharger,Any,FlatFee,0,122,35
4.8209E+12,Public,NoCharger,Any,FlatFee,0,123,35
4.8491E+12,Public,NoCharger,Any,FlatFee,0,124,35
4.8453E+12,Public,NoCharger,Any,FlatFee,0,125,35
4.8209E+12,Public,NoCharger,Any,FlatFee,0,126,35
4.8453E+12,Public,NoCharger,Any,FlatFee,0,127,35
4.8055E+12,Public,NoCharger,Any,FlatFee,0,128,35
4.8453E+12,Public,NoCharger,Any,FlatFee,0,129,35
4.8453E+12,Public,NoCharger,Any,FlatFee,0,130,35
4.8453E+12,Public,NoCharger,Any,FlatFee,0,131,35
4.8453E+12,Public,NoCharger,Any,FlatFee,0,132,35
4.8453E+12,Public,NoCharger,Any,FlatFee,0,133,35
4.8453E+12,Public,NoCharger,Any,FlatFee,0,134,35
4.8453E+12,Public,NoCharger,Any,FlatFee,0,135,35
4.8491E+12,Public,NoCharger,Any,FlatFee,0,136,35
4.8491E+12,Public,NoCharger,Any,FlatFee,0,137,35
4.8053E+12,Public,NoCharger,Any,FlatFee,0,138,35
4.8209E+12,Public,NoCharger,Any,FlatFee,0,139,35
4.8209E+12,Public,NoCharger,Any,FlatFee,0,140,35
4.8055E+12,Public,NoCharger,Any,FlatFee,0,141,35
4.8453E+12,Public,NoCharger,Any,FlatFee,0,142,35
4.8453E+12,Public,NoCharger,Any,FlatFee,0,143,35
4.8453E+12,Public,NoCharger,Any,FlatFee,0,144,35
4.8491E+12,Public,NoCharger,Any,FlatFee,0,145,35
