,Kiosk ID,Number of Docks,geometry,LocationX,LocationY,index_right,GEOID,STATE,COUNTY,TRACT,BLKGRP,CENTLAT,CENTLON
61,3794,19,POINT (-97.73694999999999 30.28953),-97.73695,30.28953,344,4.8453E+11,48,453,601,2,30.2860516,-97.7376998
45,3799,22,POINT (-97.73350000000001 30.2856),-97.7335,30.2856,504,4.8453E+11,48,453,401,2,30.2880599,-97.7281679
84,1004,,POINT (-97.72756 30.2848),-97.72756,30.2848,504,4.8453E+11,48,453,401,2,30.2880599,-97.7281679
46,3838,13,POINT (-97.74292 30.29068),-97.74292,30.29068,575,4.8453E+11,48,453,603,5,30.2926805,-97.7429143
60,3793,13,POINT (-97.74412 30.29333),-97.74412,30.29333,575,4.8453E+11,48,453,603,5,30.2926805,-97.7429143
47,3841,13,POINT (-97.74495 30.28728),-97.74495,30.28728,8,4.8453E+11,48,453,604,3,30.285568,-97.7464636
59,3792,13,POINT (-97.7467 30.2853),-97.7467,30.2853,8,4.8453E+11,48,453,604,3,30.285568,-97.7464636
49,4699,10,POINT (-97.69807 30.25212),-97.69807,30.25212,166,4.8453E+11,48,453,2111,2,30.2532604,-97.6938801
58,3791,13,POINT (-97.78375 30.29439),-97.78375,30.29439,402,4.8453E+11,48,453,1602,1,30.288993,-97.7771771
66,4054,13,POINT (-97.71872999999999 30.26969),-97.71873,30.26969,228,4.8453E+11,48,453,804,1,30.2696968,-97.7174616
69,4058,13,POINT (-97.77234 30.26139),-97.77234,30.26139,476,4.8453E+11,48,453,1901,1,30.2600636,-97.7778863
70,4059,13,POINT (-97.7346 30.252),-97.7346,30.252,480,4.8453E+11,48,453,1000,5,30.2524228,-97.7319454
74,3464,,POINT (-97.75219 30.28118),-97.75219,30.28118,547,4.8453E+11,48,453,1605,3,30.282437,-97.754079
80,4061,15,POINT (-97.72336 30.24472),-97.72336,30.24472,106,4.8453E+11,48,453,2304,2,30.2453808,-97.7285547
81,4062,18,POINT (-97.71726 30.24258),-97.71726,30.24258,222,4.8453E+11,48,453,2304,1,30.2446389,-97.7193636
