mode,duration
bike,653.6961053208996
bus,73.7021416596575
bus_empty,77.67351190323852
cable_car,48.51889814221653
cable_car_empty,45.0433655667431
car,399.99135152348333
car_RideHail,476.9264497878359
car_RideHail_Pool,294.9512195121951
car_RideHail_empty,170.98617339312406
car_emer,369.91937290033593
car_hov2,426.035930063377
car_hov2_emer,435.23137829912025
car_hov3,415.53955485011363
car_hov3_emer,407.4277080427708
ferry,3350.0
ferry_empty,1684.2105263157894
rail,520.1379310344828
rail_empty,450.0
subway,171.6595223515003
subway_empty,188.63309352517985
tram,99.97101943402659
tram_empty,99.13987006605885
walk,754.0636096347394
