mode,duration
bike,657.6398181227671
bus,99.63707751995821
bus_empty,103.79665249822206
cable_car,48.51889814221653
cable_car_empty,45.0433655667431
car,423.2282514987861
car_RideHail,481.13372271749154
car_RideHail_Pool,308.06451612903226
car_RideHail_empty,143.24157303370785
car_emer,403.79416028163183
car_hov2,494.6111907150021
car_hov2_emer,518.3302836230558
car_hov3,487.53727584122504
car_hov3_emer,462.69504447268105
ferry,3350.0
ferry_empty,1684.2105263157894
rail,583.7837837837837
rail_empty,356.6666666666667
subway,162.08161974058842
subway_empty,157.33333333333334
tram,118.19921418710842
tram_empty,114.90850105932203
walk,868.7579350752177
