mode,secondaryFuelType,secondaryFuel
car,Gasoline,889464671.625677
car_RideHail,Gasoline,14538358.912548676
car_RideHail_empty,Gasoline,1667629.4065707952
car_hov2,Gasoline,119431407.44474408
car_hov3,Gasoline,84518574.62846793
