mode,secondaryFuelType,secondaryFuel
car,Gasoline,648079905.2852427
car_RideHail,Gasoline,4869579.035187512
car_RideHail_empty,Gasoline,1667629.4065707952
car_hov2,Gasoline,110561540.1872627
car_hov3,Gasoline,5414429.009950496
