mode,duration
bike,810.1366688610929
bus,66.63590056162654
bus_empty,69.38458101591507
car,408.96996138662985
car_RideHail,434.9893173527879
car_RideHail_Pool,322.5921052631579
car_RideHail_empty,197.41328630217518
car_emer,384.7163640885352
car_hov2,409.35849994265834
car_hov2_emer,402.88461538461536
car_hov3,380.42345893110513
car_hov3_emer,410.9813886900501
rail,423.25581395348837
rail_empty,397.2972972972973
subway,173.20704845814979
subway_empty,198.70967741935485
tram,93.83535300316122
tram_empty,92.13506592051598
walk,730.9750662936509
