mode,0
bike,5.000025740563037
bus,6.253552634407177
bus_empty,6.835465679422087
car,19.210614746152395
car_RideHail,17.206183346069828
car_RideHail_Pool,15.064359323578554
car_RideHail_empty,15.23354009497895
car_emer,19.015545577597933
car_hov2,19.013641794946142
car_hov2_emer,19.275309558543523
car_hov3,18.941686432520342
car_hov3_emer,19.149077831154564
rail,14.19415968711001
rail_empty,13.687369952805502
subway,12.096303371265867
subway_empty,11.650775784233304
tram,5.050247167475824
tram_empty,4.267002028634876
walk,1.3259323936207101
