mode,secondaryFuelType,secondaryFuel
car,Gasoline,733496387.7371513
car_RideHail,Gasoline,69915554.2433654
car_RideHail_empty,Gasoline,23586321.130537078
car_hov2,Gasoline,99242836.02353676
car_hov3,Gasoline,106172595.79884523
