mode,secondaryFuelType,secondaryFuel
car,Gasoline,243992925.3506829
car_RideHail,Gasoline,10850034.434916459
car_RideHail_empty,Gasoline,0.0
car_hov2,Gasoline,8869867.257481387
car_hov3,Gasoline,83504329.73051426
