mode,duration
bike,751.1470989244054
bus,66.56678222502363
bus_empty,69.23411604173181
car,381.2581494949495
car_RideHail,431.22366036758996
car_RideHail_Pool,294.7910447761194
car_RideHail_empty,200.9028554607006
car_emer,351.11051930758987
car_hov2,387.93329534302086
car_hov2_emer,393.1627560521415
car_hov3,375.927121339695
car_hov3_emer,376.34984709480125
rail,403.44827586206895
rail_empty,450.0
subway,173.22709163346613
subway_empty,195.57692307692307
tram,94.21499230600132
tram_empty,91.64288867308201
walk,739.2950207839807
