mode,length
bike,30764768.794
bus,57554683.695
bus_empty,61869129.834
car,1418894508.091
car_RideHail,28935555.746
car_RideHail_Pool,408916.923
car_RideHail_empty,10035941.153
car_emer,57585341.376
car_hov2,197845169.095
car_hov2_emer,15614045.134
car_hov3,131935175.745
car_hov3_emer,10729906.599
rail,765323.2064850089
rail_empty,206929.2908098634
subway,4756853.567470014
subway_empty,213648.64722505052
tram,8951080.733391298
tram_empty,4136054.3135126536
walk,185886837.13917032
