mode,duration
bike,803.8732431715725
bus,66.27629283623834
bus_empty,69.79104280771439
car,384.61097408264715
car_RideHail,410.2436954413191
car_RideHail_Pool,338.5326086956522
car_RideHail_empty,187.22737186477644
car_emer,348.94293141866797
car_hov2,381.77586463369283
car_hov2_emer,393.4657534246575
car_hov3,367.84395638150824
car_hov3_emer,398.9262555626192
rail,419.5419847328244
rail_empty,409.7142857142857
subway,173.52708058124173
subway_empty,191.08695652173913
tram,93.83213391739675
tram_empty,92.1088238136658
walk,737.9099773664466
