mode,length
bike,4050.66080236998
bus,417.62581229047845
bus_empty,476.59828550079345
car,7651.997045165779
car_RideHail,7539.227656591975
car_RideHail_Pool,5380.485828947369
car_RideHail_empty,2950.012096707819
car_emer,7160.57465506093
car_hov2,7563.17783917581
car_hov2_emer,7601.774651411879
car_hov3,6933.37409979505
car_hov3_emer,7680.6775941302785
rail,5932.738034767511
rail_empty,5592.683535401713
subway,2095.530205933927
subway_empty,2297.2972819897905
tram,471.6059395885826
tram_empty,392.3033589597509
walk,968.4178460902132
