mode,secondaryFuelType,secondaryFuel
car,Gasoline,477092791.5894189
car_RideHail,Gasoline,46174198.30968164
car_RideHail_empty,Gasoline,2973073.8788699117
car_hov2,Gasoline,74464253.72283314
car_hov3,Gasoline,14246347.467331585
