mode,duration
bike,706.7649539278464
bus,98.79201997607034
bus_empty,104.95980924015176
cable_car,47.872316525212185
cable_car_empty,45.49745521172638
car,396.88079294921
car_RideHail,435.16270096463023
car_RideHail_Pool,284.3404255319149
car_RideHail_empty,138.2233046084676
car_emer,388.13481126423005
car_hov2,474.0451705418416
car_hov2_emer,524.9026063100138
car_hov3,481.9275064267352
car_hov3_emer,550.3621621621621
ferry,3600.0
ferry_empty,1691.3793103448277
rail,566.9230769230769
rail_empty,385.7142857142857
subway,161.9318181818182
subway_empty,168.94736842105263
tram,117.76398566593669
tram_empty,115.24108045644951
walk,916.0522501542945
