mode,duration
bike,717.9985874281102
bus,73.56519622112255
bus_empty,78.12698062287174
cable_car,47.904192340219886
cable_car_empty,45.404017156606336
car,423.68093643037747
car_RideHail,465.9411111111111
car_RideHail_Pool,305.0108695652174
car_RideHail_empty,166.21055741579673
car_emer,399.2955950908572
car_hov2,449.6770373527352
car_hov2_emer,455.15946582875097
car_hov3,428.1065802428618
car_hov3_emer,488.9886877828054
ferry,3200.0
ferry_empty,1700.0
rail,522.8025477707006
rail_empty,416.8421052631579
subway,171.5295551492992
subway_empty,197.7391304347826
tram,99.68116775724455
tram_empty,99.54721893491124
walk,763.8364215315543
