legMode,count
bike,9961
car,126390
car_hov2,24496
car_hov3,18408
drive_transit,917
hov2_teleportation,24957
hov3_teleportation,21517
ride_hail,5311
ride_hail_pooled,1711
walk,59822
walk_transit,74344
