mode,length
bike,30314066.418
bus,57560042.639
bus_empty,61863770.89
car,1371209485.198
car_RideHail,29083437.461
car_RideHail_Pool,489659.233
car_RideHail_empty,10290515.272
car_emer,53802364.945
car_hov2,194852309.048
car_hov2_emer,15906665.824000001
car_hov3,134997057.373
car_hov3_emer,11961624.896
rail,772737.9285544973
rail_empty,199514.56874037505
subway,4762484.906180387
subway_empty,208017.30851467702
tram,9024166.791192114
tram_empty,4062968.255711838
walk,189211249.3127879
