mode,length
bike,29792391.803
bus,76105726.336
bus_empty,91623088.18
cable_car,923594.3779403106
cable_car_empty,1203774.1214929176
car,2029864006.846
car_RideHail,49624022.769
car_RideHail_Pool,371260.74100000004
car_RideHail_empty,14411035.785
car_emer,90688063.961
car_hov2,337923811.178
car_hov2_emer,29393498.144
car_hov3,224309791.90399998
car_hov3_emer,17435769.505
ferry,190529.15846065994
ferry_empty,668999.4762190176
rail,1157880.4558147504
rail_empty,307965.8239381238
subway,11571472.205471598
subway_empty,326446.3710558835
tram,13074422.955522269
tram_empty,7166548.2025235705
walk,320324777.78245825
