mode,duration
bike,717.0156322550689
bus,98.86358877721943
bus_empty,104.84875711290806
cable_car,47.904192340219886
cable_car_empty,45.404017156606336
car,437.5084869544732
car_RideHail,462.69926905673515
car_RideHail_Pool,249.125
car_RideHail_empty,138.61697806661252
car_emer,423.9240914419695
car_hov2,528.8569188553508
car_hov2_emer,577.0414364640884
car_hov3,521.1379646556977
car_hov3_emer,655.7262569832402
ferry,3200.0
ferry_empty,1700.0
rail,566.9230769230769
rail_empty,385.7142857142857
subway,161.92816635160682
subway_empty,170.625
tram,117.51044244283877
tram_empty,115.5932129332945
walk,899.7203643654545
