lever_position_fleetsize,lever_position_price,incRank,PotInex,PotInex_atBaseline_avg,DoorToDoorTime,duration_avg,waitTime_avg,IDMerged_avg,tripIndex_avg,income,incomeRank1to21_avg,incomePercentRank0to20_avg,incomePercentRank0to20b_avg,mode_RHplanned_avg,mode_RHplannedAtBaseline_avg,mode_switchedFromBaseline_avg,PotInex_RelativeToBaseline_avg,nRH_planned,nRH_plannedAtBaseline,nSwitched_RH,Pot_BetterWorse,NpersonTripObs,incomeCum,incomePctOfTotal,incomeCumPctOfTotal,incPercentRank,incomeAverage,incomeAverageCum,incomeAveragePct,incomeAveragePctCum,DoorToDoorTimeCum,DoorToDoorTimePctOfTotalTime,DoorToDoorTimeCumPctOfTotal,DoorToDoorTimeAverage,DoorToDoorTimeAverageCum,DoorToDoorTimeAveragePctOfTotalTime,DoorToDoorTimeAveragePctOfTotalTimeCum,PotInexCum,PotInexPctOfTotal,PotInexCumPctOfTotal,lever_position_fleetsizeXprice,lever_position_price_Char
0.125,1,0,-7.204893101014836,-6.869595315788106,1186.8912333818207,4.092926490984744,94.71081830790568,3697802.521777003,1212879446.793478,7.63065631237103,1,0,0,0.032542877439870097,0.046911471195155784,0.019933358140793615,-0.33529778522672965,3848,5547,2357,-0.33529778522672965,118244,7.63065631237103,0.0029943639346713324,0.0029943639346713324,0,121.34950668355083,121.34950668355083,0.04761904761904762,0.04761904761904762,1186.8912333818207,0.039831449825223214,0.039831449825223214,1418.9448390414536,1418.9448390414536,0.047619047619047616,0.047619047619047616,-7.204893101014836,1,1,0.125; 1,1
0.125,1,1,-7.76693294018701,-7.45610051259128,1253.0900426237272,4.681548323805013,95.05642569601841,3667569.2001116322,1202962926.3238218,19.244964683197455,2,0.05,0.047619201036117526,0.030724603362538478,0.04518622509387368,0.021159636006900986,-0.3108324275957298,3633,5343,2502,-0.3108324275957298,118244,26.875620995568486,0.007551962218238609,0.010546326152909942,0.05,121.34950668355083,242.69901336710166,0.04761904761904762,0.09523809523809525,2439.981276005548,0.042053047284743975,0.08188449710996719,1418.9448390414536,2837.8896780829073,0.047619047619047616,0.09523809523809523,-14.971826041201846,1.0780080746920462,2.0780080746920464,0.125; 1,1
0.125,1,2,-7.558208930479046,-7.273408408599007,1288.5839535198404,4.966569128243293,94.64114881093332,3703170.6832651133,1214640217.0004907,27.824781401170462,3,0.1,0.09523840207223505,0.030098778796387133,0.04465342850377186,0.02123574980548696,-0.2848005218800393,3559,5280,2511,-0.2848005218800393,118244,54.700402396738944,0.010918788437988203,0.021465114590898143,0.1,121.34950668355083,364.0485200506525,0.04761904761904762,0.14285714285714288,3728.5652295253885,0.043244204394339604,0.1251287015043068,1418.9448390414536,4256.834517124361,0.047619047619047616,0.14285714285714285,-22.53003497168089,1.0490383166704367,3.127046391362483,0.125; 1,1
0.125,1,3,-6.6285519153450565,-6.340300260343393,1329.8880788877236,4.998443895673353,85.43096478468252,3585023.592901121,1175887969.4097795,35.9245394776902,4,0.15,0.14285760310835258,0.03431886607354284,0.049685396299177974,0.02066066777172626,-0.2882516550016639,4058,5875,2443,-0.2882516550016639,118244,90.62494187442915,0.014097233708098575,0.035562348298996724,0.15,121.34950668355083,485.3980267342033,0.04761904761904762,0.1904761904761905,5058.453308413112,0.04463034926666954,0.16975905077097633,1418.9448390414536,5675.7793561658145,0.047619047619047616,0.19047619047619047,-29.158586887025947,0.9200069761495004,4.0470533675119835,0.125; 1,1
0.125,1,4,-6.655922295060365,-6.377694961856008,1350.693625046514,5.230497953384527,86.47891647779169,3757376.7631169423,1232419811.4753644,43.81664093738372,5,0.2,0.1904768041444701,0.032432935286357024,0.04674232942052028,0.021261121071682286,-0.2782273332043572,3835,5527,2514,-0.2782273332043572,118244,134.44158281181288,0.017194191952877688,0.05275654025187441,0.2,121.34950668355083,606.7475334177541,0.04761904761904762,0.2380952380952381,6409.146933459626,0.045328572528079064,0.2150876232990554,1418.9448390414536,7094.724195207268,0.047619047619047616,0.23809523809523808,-35.81450918208631,0.9238058360814339,4.970859203593417,0.125; 1,1
0.125,1,5,-6.661375508974891,-6.390345572373307,1333.5275701092655,5.273874361489801,82.76760765873955,3754750.5073069236,1231558399.6333935,51.6276703680525,6,0.25,0.23809600518058763,0.03197625249484118,0.04623490409661378,0.020432326375968337,-0.27102993660158414,3781,5467,2416,-0.27102993660158414,118244,186.06925317986537,0.020259336530537665,0.07301587678241207,0.25,121.34950668355083,728.097040101305,0.04761904761904762,0.28571428571428575,7742.674503568891,0.04475248869099332,0.2598401119900487,1418.9448390414536,8513.669034248722,0.047619047619047616,0.2857142857142857,-42.475884691061204,0.924562712531656,5.895421916125073,0.125; 1,1
0.125,1,6,-6.562894892460811,-6.257510548572336,1377.3378437806568,5.349353878420892,81.40093366259599,3700311.2182859164,1213702311.7927682,59.492145766381384,7,0.3,0.28571520621670515,0.032991103142654174,0.0474442677852576,0.020119414092892664,-0.3053843438884751,3901,5610,2379,-0.3053843438884751,118244,245.56139894624675,0.023345453967079464,0.09636133074949153,0.3,121.34950668355083,849.4465467848559,0.04761904761904762,0.33333333333333337,9120.012347349548,0.04622273859131417,0.30606285058136284,1418.9448390414536,9932.613873290175,0.047619047619047616,0.3333333333333333,-49.038779583522015,0.91089413825396,6.8063160543790335,0.125; 1,1
0.125,1,7,-6.192386421959292,-5.881169068845733,1414.8239572409593,5.390878184093908,82.18481276005548,3692451.318612362,1211124261.2234275,67.54356768208112,8,0.35,0.33333440725282265,0.034606407090423195,0.04870437400629207,0.019899529785866513,-0.3112173531135592,4092,5759,2353,-0.3112173531135592,118244,313.1049666283279,0.026504931529724718,0.12286626227921625,0.35,121.34950668355083,970.7960534684066,0.04761904761904762,0.380952380952381,10534.836304590508,0.04748075297834632,0.3535436035597092,1418.9448390414536,11351.558712331629,0.047619047619047616,0.38095238095238093,-55.231166005481306,0.8594695764586808,7.665785630837714,0.125; 1,1
0.125,1,8,-6.514847774975004,-6.1876022679001395,1450.5669294002232,5.499010520618382,82.77261425526876,3569294.3930262844,1170728790.6607518,75.66997394370962,9,0.4,0.3809536082889402,0.03258516288352897,0.04753729576130713,0.021176550184364533,-0.3272455070748644,3853,5621,2504,-0.3272455070748644,118244,388.7749405720375,0.029693833877332446,0.1525600961565487,0.4,121.34950668355083,1092.1455601519574,0.04761904761904762,0.4285714285714286,11985.403233990732,0.0486802684538373,0.40222387201354654,1418.9448390414536,12770.503551373084,0.047619047619047616,0.4285714285714286,-61.74601378045631,0.9042254595085336,8.570011090346247,0.125; 1,1
0.125,1,9,-6.244895693980614,-5.920943629892146,1456.03127431413,5.565483238050134,82.80330503027638,3823559.6185007286,1254127786.2420928,84.46397331788505,10,0.45,0.4285728093250577,0.032432935286357024,0.047545752850038904,0.02020398498021041,-0.3239520640884681,3835,5622,2389,-0.3239520640884681,118244,473.2389138899225,0.033144708020997164,0.18570480417754587,0.45,121.34950668355083,1213.4950668355082,0.04761904761904762,0.4761904761904762,13441.434508304861,0.04886364901487307,0.4510875210284196,1418.9448390414536,14189.448390414536,0.047619047619047616,0.47619047619047616,-67.99090947443693,0.8667575779994567,9.436768668345705,0.125; 1,1
0.125,1,10,-6.37817409738903,-6.040552556771979,1463.5546581644735,5.622001962044585,81.34723114914922,3693255.224687933,1211387944.4306774,94.02082033760698,11,0.5,0.47619201036117526,0.03158722641317953,0.04690301410642401,0.02176008930685701,-0.3376215406170511,3735,5546,2573,-0.3376215406170511,118244,567.2597342275295,0.03689493301784736,0.22259973719539322,0.5,121.34950668355083,1334.8445735190592,0.04761904761904762,0.5238095238095238,14904.989166469335,0.04911612984708632,0.5002036508755059,1418.9448390414536,15608.393229455989,0.047619047619047616,0.5238095238095237,-74.36908357182595,0.8852558959536319,10.322024564299337,0.125; 1,1
0.125,1,11,-6.172571656979961,-5.729202915093636,1475.4944014072596,5.490358918845777,76.60861439058219,3670234.743724841,1203837223.9780033,102.98032393186969,12,0.55,0.5238112113972928,0.03548594431852779,0.050167450356889146,0.020990494232265487,-0.44336874188632436,4196,5932,2482,-0.44336874188632436,118244,670.2400581593992,0.04041075306490204,0.2630104902602952,0.55,121.34950668355083,1456.19408020261,0.04761904761904762,0.5714285714285715,16380.483567876594,0.04951682139364532,0.5497204722691512,1418.9448390414536,17027.338068497444,0.047619047619047616,0.5714285714285714,-80.54165522880592,0.8567193947833218,11.17874395908266,0.125; 1,1
0.125,1,12,-6.026895362014631,-5.636423721820926,1490.2939092046954,5.577365447718277,76.50263861168432,3685244.7545160847,1208760507.4727345,113.08879301275329,13,0.6,0.5714304124334103,0.034631778356618514,0.049270998951321,0.02067758194918981,-0.39047164019370506,4095,5826,2445,-0.39047164019370506,118244,783.3288511721524,0.04437744138258529,0.30738793164288053,0.6,121.34950668355083,1577.5435868861607,0.04761904761904762,0.6190476190476191,17870.77747708129,0.050013485144873755,0.599733957414025,1418.9448390414536,18446.282907538898,0.047619047619047616,0.6190476190476191,-86.56855059082055,0.8365003168701727,12.015244275952831,0.125; 1,1
0.125,1,13,-5.961834386400063,-5.529741095030865,1483.5641723892968,5.596512296607016,77.18285071546971,3651405.301503669,1197661168.6435673,124.09570373126755,14,0.65,0.6190496134695278,0.03547748722979601,0.05103853049626197,0.021396434491390684,-0.43209329136919766,4195,6035,2530,-0.43209329136919766,118244,907.42455490342,0.048696689313360644,0.35608462095624116,0.65,121.34950668355083,1698.8930935697117,0.04761904761904762,0.6666666666666667,19354.341649470585,0.04978763869259545,0.6495215961066204,1418.9448390414536,19865.22774658035,0.047619047619047616,0.6666666666666666,-92.5303849772206,0.82747020709583,12.84271448304866,0.125; 1,1
0.125,1,14,-5.8868958929712685,-5.564443099108867,1480.9085527261657,5.622768366837783,75.67391727205839,3729614.385714164,1223313747.5545533,137.01520996591765,15,0.7,0.6666688145056453,0.03279686746784165,0.0476053550738733,0.020407127694662686,-0.32245279386240194,3878,5629,2413,-0.32245279386240194,118243,1044.4397648693378,0.053766463385098,0.4098510843413392,0.7,121.34950668355083,1820.2426002532625,0.04761904761904762,0.7142857142857143,20835.250202196752,0.04969851748385125,0.6992201135904716,1418.9448390414536,21284.172585621804,0.047619047619047616,0.7142857142857142,-98.41728087019187,0.8170691515384284,13.659783634587088,0.125; 1,1
