last_link,Charging Opportunity,endX,endY,Probability,Entropy,geometry
100048,1222979363.428,-121.801197,37.2367731,0.0002595153800375675,0.0021427392341566375,POINT (-121.801197 37.2367731)
100049,961408941.2060001,-121.801007,37.2349802,0.00020401031628959227,0.0017335450200718944,POINT (-121.801007 37.2349802)
100080,7517555.334,-121.9225254,37.4487905,1.5952200730419835e-06,2.1293793317543223e-05,POINT (-121.9225254 37.4487905)
100089,140947270.278,-121.7728172,37.242085,2.9908913842115172e-05,0.0003115717432544139,POINT (-121.7728172 37.242085)
100097,13755481.838000001,-122.2743561,37.7944653,2.9189037881901994e-06,3.719939263251768e-05,POINT (-122.2743561 37.7944653)
100114,426091304.3599999,-121.7604689,37.2371641,9.041628181831392e-05,0.0008418737937287211,POINT (-121.7604689 37.2371641)
100132,2632479737.8440003,-122.254071,38.1010813,0.0005586103903608523,0.0041840243929719195,POINT (-122.254071 38.1010813)
100143,1229125102.6579998,-122.306301,38.3065473,0.0002608195016765579,0.0021521995753244613,POINT (-122.306301 38.3065473)
100154,226451.54999999996,-122.0459865,37.315569,4.805286320909046e-08,8.097370735683721e-07,POINT (-122.0459865 37.315569)
100156,452329312.8950001,-122.0459865,37.315569,9.598396918901778e-05,0.0008879793130208293,POINT (-122.0459865 37.315569)
100175,1813772949.4330003,-122.0313125,37.968419,0.0003848813727768811,0.003026158811132659,POINT (-122.0313125 37.968419)
100256,2354754883.2860003,-121.9636374,37.3299569,0.0004996773671784537,0.0037983214578714334,POINT (-121.9636374 37.3299569)
100257,143135970.847,-121.9615401,37.3299542,3.0373354597975822e-05,0.0003159419587507375,POINT (-121.9615401 37.3299542)
100260,8847805.552,-121.9639013,37.33027,1.8774982546636891e-06,2.475588538066835e-05,POINT (-121.9639013 37.33027)
100267,851081508.3999999,-121.8145659,37.251409,0.00018059891090580556,0.0015566239025488428,POINT (-121.8145659 37.251409)
100286,576895879.1120001,-121.7513165,37.2329247,0.00012241690889224177,0.0011027410702939403,POINT (-121.7513165 37.2329247)
100307,394176818.33600026,-121.8258481,37.3223105,8.364404982741043e-05,0.0007853289873381689,POINT (-121.8258481 37.3223105)
100312,1982959087.1999998,-121.9418004,38.0202285,0.00042078255488401154,0.0032709087365758306,POINT (-121.9418004 38.0202285)
100315,2122923950.2499993,-121.8248585,37.317798,0.00045048300258781706,0.003471057222091476,POINT (-121.8248585 37.317798)
100388,6949543.187999999,-122.0065467,37.3008082,1.4746882862079346e-06,1.9800733883777188e-05,POINT (-122.0065467 37.3008082)
100404,4487196442.776002,-122.3135439,38.0037644,0.0009521799999029927,0.006624084370661198,POINT (-122.3135439 38.0037644)
100418,4356590395.751,-121.8740945,37.9042026,0.0009244654865248665,0.006458588458154391,POINT (-121.8740945 37.9042026)
10047,332055.668,-122.1778517,37.7189827,7.046198443864552e-08,1.1603815236947063e-06,POINT (-122.1778517 37.7189827)
100476,467152199.34800005,-122.3925533,37.7838975,9.912937550259738e-05,0.0009138821127558532,POINT (-122.3925533 37.7838975)
100501,435207720.189,-121.9538526,37.414966,9.235077898906913e-05,0.0008579310177768696,POINT (-121.9538526 37.414966)
100553,24412203.48000001,-122.2636437,37.8337412,5.180252793398512e-06,6.304707837320839e-05,POINT (-122.2636437 37.8337412)
100605,6514855.74,-121.8172301,37.341763,1.3824479086196489e-06,1.8651509939098636e-05,POINT (-121.8172301 37.341763)
100617,4345672.680000001,-121.8585513,37.3183496,9.221487547491796e-07,1.2814694841986155e-05,POINT (-121.8585513 37.3183496)
100619,687729003.0,-121.865568,37.3257298,0.00014593562157593165,0.0012889537548646372,POINT (-121.865568 37.3257298)
100632,2711942063.49,-121.8932915,37.706427,0.0005754722412271565,0.004293206820427422,POINT (-121.8932915 37.706427)
100650,244211591.56500003,-121.8327214,37.3470418,5.1821531817941706e-05,0.0005113595794502562,POINT (-121.8327214 37.3470418)
100655,313833529.912,-121.735241,37.2020372,6.659525926533661e-05,0.0006404384281363031,POINT (-121.735241 37.2020372)
100753,2822443.821,-121.8426737,37.3027654,5.989206381932719e-07,8.581416799305698e-06,POINT (-121.8426737 37.3027654)
100786,256575658.76100004,-122.068798,37.6056955,5.444517837579212e-05,0.0005345599803387924,POINT (-122.068798 37.6056955)
100861,33943438.81999999,-121.9842927,37.4056455,7.202774379171133e-06,8.52883703318053e-05,POINT (-121.9842927 37.4056455)
100864,262137205.72200003,-121.9770487,37.5123974,5.562533481697288e-05,0.0005449542739402004,POINT (-121.9770487 37.5123974)
100865,53265268.08000001,-121.9813411,37.5178311,1.1302853263065646e-05,0.00012874464556706744,POINT (-121.9813411 37.5178311)
100995,190265740.19799998,-122.246606,37.7734588,4.0374259249322154e-05,0.00040847922482023145,POINT (-122.246606 37.7734588)
101004,1775422081.0259998,-122.2692076,37.7712198,0.00037674334486975734,0.0029702243319314307,POINT (-122.2692076 37.7712198)
101058,131256019.58,-122.2431889,37.7619339,2.7852437107396438e-05,0.0002921327957455192,POINT (-122.2431889 37.7619339)
101093,1259212037.2700002,-122.2319117,37.753053,0.00026720392851440163,0.0021984198980363225,POINT (-122.2319117 37.753053)
101211,10697750.100000003,-122.2754378,37.7841119,2.2700552157860436e-06,2.950097110211878e-05,POINT (-122.2754378 37.7841119)
101239,4262698979.61,-122.2859644,37.7760537,0.0009045417925765085,0.006339103099149302,POINT (-122.2859644 37.7760537)
101289,302798243.022,-122.2450744,37.7557094,6.425357897479218e-05,0.0006202187953953412,POINT (-122.2450744 37.7557094)
101293,1127889751.9499998,-122.244508,37.7553715,0.00023933742986253934,0.001995508409977705,POINT (-122.244508 37.7553715)
1013,2231226034.506,-122.1394113,37.4598956,0.0004734646304018594,0.003624576919885787,POINT (-122.1394113 37.4598956)
10131,6789992292.266,-121.8060329,38.0111881,0.0014408316958353198,0.009426691461336735,POINT (-121.8060329 38.0111881)
101379,239846611.41000006,-122.2456951,37.7608053,5.089528603027274e-05,0.0005031375776991085,POINT (-122.2456951 37.7608053)
101391,1449607906.4060001,-122.2452679,37.7426626,0.00030760580103489485,0.002487513204733522,POINT (-122.2452679 37.7426626)
101482,380119504.226,-122.2727426,37.7732355,8.066109743863208e-05,0.0007602513444156158,POINT (-122.2727426 37.7732355)
101486,3726009.408000001,-122.246503,37.7673459,7.906566344916085e-07,1.1109043601131882e-05,POINT (-122.246503 37.7673459)
101487,23814237.599999998,-122.2489262,37.7684017,5.053364844804899e-06,6.162808978236535e-05,POINT (-122.2489262 37.7684017)
101496,25913337.683999993,-122.2567392,37.7567618,5.498792439355e-06,6.659577650942903e-05,POINT (-122.2567392 37.7567618)
101497,96563217.96500002,-122.2607063,37.7582297,2.0490648458364417e-05,0.00022120765498754037,POINT (-122.2607063 37.7582297)
101684,28039491.516,-122.308089,37.8958304,5.949960820629404e-06,7.159067783189907e-05,POINT (-122.308089 37.8958304)
101819,805023035.641,-122.2999173,37.8932794,0.00017082533465469208,0.0014818873928785696,POINT (-122.2999173 37.8932794)
101843,5188403118.45,-122.2964621,37.865347,0.001100975574353526,0.007499359648981956,POINT (-122.2964621 37.865347)
10189,196999235.536,-121.7859634,37.967986,4.1803102330307754e-05,0.0004214814514847642,POINT (-121.7859634 37.967986)
102109,24101050.012000002,-122.2553518,37.8567459,5.114226241428174e-06,6.230909584761774e-05,POINT (-122.2553518 37.8567459)
102120,299011931.6130001,-122.2816881,37.8528952,6.345012629715013e-05,0.0006132617375806668,POINT (-122.2816881 37.8528952)
102137,3524623205.3999996,-122.2508717,37.8573272,0.0007479226207666591,0.0053837048610171565,POINT (-122.2508717 37.8573272)
102151,4433404794.519,-122.257114,37.8565176,0.0009407654491282897,0.006556021978769541,POINT (-122.257114 37.8565176)
102170,505986964.8820002,-122.2648299,37.8555152,0.0001073700860473581,0.0009812797980281044,POINT (-122.2648299 37.8555152)
102191,453683556.0,-122.2642925,37.8555851,9.627133864476411e-05,0.0008903500632969083,POINT (-122.2642925 37.8555851)
102257,5809185.149999999,-122.2916522,37.875539,1.2327050946183837e-06,1.6772554761249757e-05,POINT (-122.2916522 37.875539)
