,endX,endY,vehicle,arrivalTime,departureTime,Parking Time,Cumulative Travel Length
69,-122.5522961,38.3808169,114863,60303.0,124207.0,63904.0,66696.87
70,-122.4131528,37.7749999,11546,27474.0,36162.0,8688.0,27923.536999999993
71,-122.4162654,37.7774619,11546,36177.0,38034.0,1857.0,28310.338999999993
72,-122.5288855,37.9486815,11546,39556.0,41683.0,2127.0,57074.681999999986
73,-122.4119866,37.7859342,11546,43130.0,51494.0,8364.0,83180.203
74,-122.4143476,37.7765259,11546,51576.0,64818.0,13242.0,84611.68099999998
75,-122.5288855,37.9486815,11546,66660.0,112459.0,45799.0,112386.65499999998
76,-121.8908156,37.394288,116174,25617.0,26757.0,1140.0,9379.431
77,-121.8024412,37.377254,116174,27249.0,47415.0,20166.0,20211.831000000002
78,-121.8160221,37.3840683,116174,47533.0,111632.0,64099.0,21630.221
79,-122.2235951,37.4696087,117363,30205.0,33216.0,3011.0,8122.5470000000005
80,-122.2513201,37.5069328,117363,33573.0,46670.0,13097.0,15288.073000000002
81,-122.2513201,37.5069328,117363,46719.0,116239.0,69520.0,16429.659000000003
82,-121.8839698,37.3330541,117557,32844.0,71646.0,38802.0,15086.627
83,-121.9775017,37.2651249,117557,72373.0,118562.0,46189.0,29333.374999999993
84,-122.2052296,37.8269647,117573,23673.0,47075.0,23402.0,1323.587
85,-122.2938885,37.8596421,117573,47803.0,49605.0,1802.0,15490.707999999999
86,-122.2527729,37.8541516,117573,50386.0,54277.0,3891.0,27012.870000000003
87,-122.200626,37.8383087,117573,54702.0,109954.0,55252.0,34043.025
88,-121.6692886,37.1484022,118085,23081.0,64059.0,40978.0,14007.864000000001
89,-121.5613573,37.0581559,118085,64950.0,108820.0,43870.0,31475.497000000003
90,-122.0517767,37.8932652,119374,34079.0,37054.0,2975.0,5699.473000000001
91,-122.0242091,38.0042972,119374,37657.0,38676.0,1019.0,20325.785000000003
92,-122.0560133,37.8990002,119374,39449.0,45318.0,5869.0,35452.67899999999
93,-122.0600298,37.9116602,119374,45415.0,49475.0,4060.0,37360.77899999999
94,-122.0611036,37.977657,119374,49970.0,62722.0,12752.0,45621.41799999999
95,-122.0657451,37.9779108,119374,62770.0,64671.0,1901.0,46331.27299999999
96,-122.0597261,37.9106449,119374,65009.0,120052.0,55043.0,54537.145999999986
97,-121.819357,37.2650941,119518,31502.0,39654.0,8152.0,13492.236
98,-121.9209666,37.2698424,119518,40166.0,62123.0,21957.0,26332.725
99,-121.9411595,37.2725166,119518,62229.0,117334.0,55105.0,28752.932
100,-121.9843003,37.3144143,119554,32265.0,33617.0,1352.0,8605.425
101,-122.0489771,37.3375215,119554,33965.0,40426.0,6461.0,16354.976999999999
102,-122.0623227,37.3669613,119554,40690.0,44464.0,3774.0,20810.35
103,-122.0182094,37.3623301,119554,44811.0,118202.0,73391.0,25962.521
104,-122.1042696,37.4293819,119810,31566.0,64370.0,32804.0,9749.161
105,-122.1841963,37.4513358,119810,65052.0,117349.0,52297.0,19302.843000000004
106,-122.3197421,37.9355744,120713,40261.0,41479.0,1218.0,33586.56500000001
107,-122.3521494,37.9459824,120713,43770.0,64742.0,20972.0,82356.339
108,-122.242409,38.0983122,120713,65899.0,92694.0,26795.0,108287.82400000002
109,-122.2389279,38.0967879,120713,92707.0,125013.0,32306.0,108636.25300000003
110,-122.0491676,37.9420487,120879,29109.0,68112.0,39003.0,14290.250999999998
111,-121.9960585,37.848378,120879,68993.0,114822.0,45829.0,31131.324000000004
112,-122.1730531,37.4429782,121902,28883.0,47199.0,18316.0,3091.821
113,-122.1998507,37.4412106,121902,47475.0,59660.0,12185.0,7301.264
114,-122.192995,37.4494027,121902,59730.0,115059.0,55329.0,8394.108
115,-121.9159541,37.4948541,122967,23887.0,38040.0,14153.0,59.481
116,-121.8937369,37.3884065,122967,38678.0,39287.0,609.0,16389.751000000007
117,-121.9578687,37.4068747,122967,39728.0,56131.0,16403.0,24921.109000000008
118,-121.9208297,37.4895993,122967,56849.0,110285.0,53436.0,41088.03100000001
119,-122.2802015,37.4757519,123869,27226.0,28346.0,1120.0,14044.187
120,-122.1648736,37.429394,123869,29190.0,54189.0,24999.0,30751.115
121,-122.2242563,37.4670405,123869,54851.0,56999.0,2148.0,40026.963
122,-122.2839891,37.4823217,123869,57443.0,69249.0,11806.0,48590.819
123,-122.2802015,37.4757519,123869,70149.0,112413.0,42264.0,57453.872
124,-122.2988941,38.2819989,124101,25752.0,32665.0,6913.0,4374.272
125,-122.293645,38.2819138,124101,32819.0,33597.0,778.0,6476.97
126,-122.090668,38.2460824,124101,35165.0,44454.0,9289.0,42708.74100000001
127,-122.293645,38.2819138,124101,45682.0,46460.0,778.0,70258.097
128,-122.3312474,38.2700663,124101,47027.0,50609.0,3582.0,80031.534
129,-122.2924743,38.2746223,124101,50894.0,51672.0,778.0,85511.075
130,-122.2529433,38.0934197,124101,52839.0,64594.0,11755.0,110485.114
131,-122.293645,38.2819138,124101,65956.0,111981.0,46025.0,135321.435
132,-121.7642462,37.6813745,125587,42910.0,65944.0,23034.0,8749.843999999997
133,-121.7759989,37.6913435,125587,66061.0,68004.0,1943.0,10563.721999999996
134,-121.6966281,37.6470033,125587,68502.0,128880.0,60378.0,20764.311999999998
135,-121.9363294,37.2675697,126067,33856.0,39928.0,6072.0,8253.847
136,-121.8856868,37.301724,126067,40288.0,62228.0,21940.0,15826.666999999998
137,-121.9823451,37.2298321,126067,63001.0,67417.0,4416.0,33069.921
138,-121.8802778,37.2922724,126067,68261.0,69559.0,1298.0,48772.583
139,-121.8638116,37.3147773,126067,69781.0,75548.0,5767.0,53298.306000000004
140,-122.0094577,37.3076656,126067,76795.0,78251.0,1456.0,72244.326
141,-121.8802778,37.2922724,126067,78994.0,119808.0,40814.0,87596.019
142,-121.7889593,37.239897,126096,43685.0,44326.0,641.0,10122.732
143,-121.8586091,37.2681543,126096,44820.0,50742.0,5922.0,20127.833000000006
144,-121.8721058,37.2686845,126096,50842.0,129632.0,78790.0,21998.209000000006
145,-122.2704348,37.7927607,127205,46850.0,49673.0,2823.0,7483.860999999998
146,-122.2015714,37.8080121,127205,50037.0,132890.0,82853.0,14867.764999999996
147,-121.9925363,37.4063534,128170,47507.0,48632.0,1125.0,10708.306000000006
148,-121.9843295,37.4034,128170,51274.0,66676.0,15402.0,42559.02900000001
149,-122.0552518,37.332044,128170,67491.0,79111.0,11620.0,61546.31000000002
150,-122.0324372,37.3424535,128170,79253.0,133333.0,54080.0,64818.35200000002
151,-121.8225438,38.434415,128870,29170.0,36163.0,6993.0,1239.29
152,-121.8223182,38.4718541,128870,36317.0,37270.0,953.0,5400.4439999999995
153,-121.8225438,38.434415,128870,37425.0,42445.0,5020.0,9561.614000000001
154,-121.8225438,38.434415,128870,44840.0,115524.0,70684.0,54862.723000000005
155,-122.4756564,37.6602196,12915,24465.0,26903.0,2438.0,10629.551000000001
156,-122.2178422,37.8683587,12915,28547.0,52050.0,23503.0,50284.471000000005
157,-122.4023764,37.6100365,12915,54836.0,110430.0,55594.0,102670.862
158,-121.8137677,37.3099581,130810,23047.0,32014.0,8967.0,9914.108000000002
159,-121.8043795,37.3215448,130810,32197.0,55341.0,23144.0,13766.718
160,-121.8525982,37.3914683,130810,55808.0,109036.0,53228.0,25584.460000000006
161,-122.489364,37.6833607,132408,43082.0,82933.0,39851.0,4960.957
162,-122.4625883,37.6576171,132408,83136.0,129178.0,46042.0,9720.216
163,-121.9904091,37.8033809,132423,57631.0,63810.0,6179.0,14999.048999999999
164,-122.041886,37.9152216,132423,64610.0,67948.0,3338.0,31257.504000000004
165,-122.0702648,37.9064024,132423,68230.0,143467.0,75237.0,34314.251000000004
166,-122.5307505,38.0496486,132769,48671.0,54693.0,6022.0,8102.56
167,-122.5641534,38.0714672,132769,54929.0,62538.0,7609.0,12877.767999999998
168,-122.5307505,38.0496486,132769,62776.0,134226.0,71450.0,17392.492999999995
169,-122.4504776,37.7164897,133161,27593.0,67937.0,40344.0,5910.865000000001
170,-122.4790551,37.6781126,133161,68254.0,70950.0,2696.0,11327.52
171,-122.4851145,37.7226443,133161,71276.0,78455.0,7179.0,17739.836
172,-122.4790551,37.6781126,133161,78782.0,113659.0,34877.0,24310.877
173,-122.0635477,37.8973079,133433,26792.0,30747.0,3955.0,5368.017999999998
174,-122.0609852,37.9290058,133433,31087.0,32121.0,1034.0,10474.253999999999
175,-122.0636027,37.9710869,133433,32381.0,36600.0,4219.0,15204.990999999998
176,-122.0349775,37.8635013,133433,37151.0,112978.0,75827.0,28643.205999999995
177,-122.0735087,37.9263805,133442,24437.0,27377.0,2940.0,3267.689999999999
178,-122.0996144,37.9099524,133442,27805.0,46799.0,18994.0,9459.146
179,-122.0788665,37.961335,133442,47117.0,51924.0,4807.0,16021.317000000003
180,-122.0996144,37.9099524,133442,52340.0,62805.0,10465.0,23300.522000000004
181,-122.0884341,37.9697413,133442,63161.0,68017.0,4856.0,30339.375000000004
182,-122.0996144,37.9099524,133442,68538.0,110595.0,42057.0,38358.303
183,-122.1754992,37.4187311,133695,27432.0,32000.0,4568.0,6922.008000000001
184,-122.1745338,37.4842894,133695,32804.0,61562.0,28758.0,19457.41
185,-122.1563262,37.4386433,133695,62244.0,72993.0,10749.0,28720.924
186,-122.1590096,37.4403407,133695,73021.0,113425.0,40404.0,29023.653
187,-122.0686995,37.3234384,133813,29248.0,37551.0,8303.0,503.433
188,-121.9878693,37.3818551,133813,38192.0,49616.0,11424.0,17024.445
189,-121.9795435,37.3842866,133813,49716.0,72781.0,23065.0,18974.385
190,-122.053574,37.264668,133813,74042.0,115620.0,41578.0,43197.995
191,-121.7694073,37.6835631,134215,44694.0,46998.0,2304.0,3506.0030000000006
192,-121.7617323,37.6851031,134215,47176.0,49961.0,2785.0,7214.835000000001
193,-121.5845224,37.7458772,134215,51271.0,60286.0,9015.0,29953.431
194,-121.7342102,37.6825946,134215,60932.0,63704.0,2772.0,48159.101
195,-121.7606606,37.7001091,134215,63824.0,82181.0,18357.0,51293.725000000006
196,-121.7342102,37.6825946,134215,82300.0,130931.0,48631.0,54440.256
197,-122.2393038,37.8159958,135222,26820.0,62250.0,35430.0,2516.974
198,-122.2293439,37.798904,135222,62428.0,64457.0,2029.0,5578.058999999999
199,-122.2294889,37.8007683,135222,64807.0,113079.0,48272.0,7285.338999999999
200,-122.0652587,37.6414122,135758,23173.0,43350.0,20177.0,1903.399
201,-122.2075447,37.7541411,135758,44774.0,48112.0,3338.0,28416.663000000004
202,-122.1921961,37.7541824,135758,48236.0,68949.0,20713.0,30736.980000000003
203,-122.0768113,37.6493084,135758,69625.0,109436.0,39811.0,48904.141
204,-121.7140898,37.9832964,137144,27547.0,56627.0,29080.0,12664.05
205,-121.645904,37.9908981,137144,57171.0,78656.0,21485.0,19616.167
206,-121.645904,37.9908981,137144,78657.0,112917.0,34260.0,19630.434999999998
207,-121.9766272,37.293745,138559,19966.0,26220.0,6254.0,14747.943000000003
208,-121.9659484,37.3085716,138559,26383.0,28451.0,2068.0,17306.343
209,-121.8430292,37.2730013,138559,29116.0,40367.0,11251.0,32995.906
210,-121.980864,37.329976,138559,41636.0,43085.0,1449.0,54860.60800000001
211,-122.0009966,37.322947,138559,43240.0,69252.0,26012.0,57536.812000000005
212,-121.8430292,37.2730013,138559,70231.0,105753.0,35522.0,76830.29
213,-122.0324087,37.3376266,139633,31219.0,39970.0,8751.0,3508.7600000000007
214,-122.0049877,37.3522666,139633,40205.0,47828.0,7623.0,7642.651000000001
215,-122.1108145,37.405736,139633,48527.0,59632.0,11105.0,19174.427
216,-122.0415117,37.3594358,139633,60199.0,61692.0,1493.0,29136.759000000002
217,-122.0049877,37.3522666,139633,61864.0,117421.0,55557.0,32023.632
218,-122.0587445,37.9066645,139649,23008.0,49553.0,26545.0,21367.641
219,-121.8556542,38.0231115,139649,50680.0,52247.0,1567.0,49842.12700000001
220,-121.864524,37.9979724,139649,52687.0,108255.0,55568.0,54075.57400000001
221,-121.5212737,37.0187875,139699,41501.0,72075.0,30574.0,6721.902
222,-121.5960033,37.1098333,139699,72526.0,76600.0,4074.0,14964.573
223,-121.5681463,36.9996128,139699,77003.0,78480.0,1477.0,26012.926
224,-121.6087584,37.1053188,139699,78968.0,127504.0,48536.0,38461.80300000001
225,-121.8530662,37.5357971,140369,23656.0,48794.0,25138.0,25766.106
226,-121.8177927,37.4863719,140369,51799.0,55964.0,4165.0,68833.84700000001
227,-121.9028076,37.6563048,140369,57291.0,60035.0,2744.0,90531.973
228,-121.8530662,37.5357971,140369,60829.0,108395.0,47566.0,105024.45
229,-121.7893594,37.3304232,140558,26627.0,31828.0,5201.0,6555.268
230,-121.823142,37.3341198,140558,32990.0,112748.0,79758.0,28514.996000000006
231,-121.9818189,38.3589743,141138,48974.0,60324.0,11350.0,5649.243999999999
232,-121.934031,38.358614,141138,60638.0,135172.0,74534.0,14173.378999999999
233,-122.470639,37.74885,141621,30306.0,56099.0,25793.0,3716.2249999999995
234,-122.4940242,37.7349027,141621,56318.0,116443.0,60125.0,6953.681
235,-121.6158574,37.9088453,142473,19406.0,39973.0,20567.0,9152.228999999998
236,-122.0735087,37.9263805,142473,42784.0,53962.0,11178.0,74827.16
237,-122.0587445,37.9066645,142473,54161.0,79371.0,25210.0,78936.871
238,-121.957321,37.9595147,142473,80057.0,84419.0,4362.0,90691.628
239,-121.6070006,37.8310733,142473,86299.0,105433.0,19134.0,129656.391
240,-122.6603288,38.2468126,142921,49764.0,51245.0,1481.0,1270.96
241,-122.6562155,38.2458964,142921,51607.0,56716.0,5109.0,6995.325000000001
242,-122.6209299,38.275598,142921,57044.0,62624.0,5580.0,14046.103000000001
243,-122.7051742,38.3360549,142921,63372.0,72453.0,9081.0,30076.034000000003
244,-122.6603288,38.2468126,142921,73044.0,136058.0,63014.0,42566.590000000004
245,-121.9800184,38.3549285,144130,28908.0,52270.0,23362.0,5956.3240000000005
246,-121.977494,38.370842,144130,52409.0,114967.0,62558.0,7901.945
247,-121.9501418,37.3094384,14455,47370.0,48396.0,1026.0,11624.641000000001
248,-121.9192568,37.3299639,14455,49656.0,52929.0,3273.0,26273.515000000003
249,-121.8627874,37.3566641,14455,53259.0,133311.0,80052.0,32554.035000000003
250,-121.9701456,37.2493927,144942,29658.0,71346.0,41688.0,15968.296000000004
251,-121.8970457,37.3505899,144942,72028.0,79500.0,7472.0,32855.65700000001
252,-121.8970457,37.3505899,144942,79986.0,115397.0,35411.0,37234.86300000001
253,-122.0237654,37.5807352,144983,29292.0,31679.0,2387.0,3848.232
254,-122.0675693,37.5550553,144983,32060.0,33937.0,1877.0,11259.123
255,-122.0992841,37.6458796,144983,34987.0,35591.0,604.0,28039.885
256,-122.0034016,37.5914208,144983,36215.0,44408.0,8193.0,39889.912
257,-122.2266784,37.4800496,144983,45820.0,51828.0,6008.0,68251.795
258,-122.0034016,37.5914208,144983,53051.0,57872.0,4821.0,97170.076
259,-122.1705161,37.4509755,144983,59320.0,69584.0,10264.0,124904.994
260,-122.0034016,37.5914208,144983,70812.0,115471.0,44659.0,149066.296
261,-121.8055265,37.2461619,145535,27494.0,36750.0,9256.0,606.831
262,-121.6545649,37.130302,145535,37529.0,50377.0,12848.0,22469.236
263,-121.6577046,37.1060084,145535,50629.0,68480.0,17851.0,26228.542
264,-121.8172849,37.2410625,145535,69568.0,113855.0,44287.0,53118.868
265,-122.2530597,37.8570429,148169,18764.0,44276.0,25512.0,584.992
266,-122.2818561,37.8701153,148169,44631.0,49201.0,4570.0,4792.9619999999995
267,-122.2873882,37.8545527,148169,49528.0,66571.0,17043.0,8580.188999999998
268,-122.2594312,37.8577556,148169,66811.0,105112.0,38301.0,11212.029999999999
269,-121.9236222,37.387438,14883,33044.0,41275.0,8231.0,28517.123999999993
270,-122.0159763,37.1656703,14883,42522.0,118166.0,75644.0,57438.73299999999
271,-122.3719178,37.5874967,149328,27906.0,47977.0,20071.0,472.082
272,-122.3850829,37.6378176,149328,48379.0,50415.0,2036.0,9151.624
273,-122.3807354,37.6529078,149328,50693.0,70938.0,20245.0,15156.076000000001
274,-122.3752393,37.5893902,149328,71473.0,114288.0,42815.0,27674.795000000002
275,-121.6522776,37.1276397,150850,70510.0,154043.0,83533.0,65661.42599999998
276,-122.4133836,37.7680266,150936,63474.0,65358.0,1884.0,1937.539
